,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Time Difference Between LC4 – LC1,Time Between First Measurements
0,32783,205021,-54749,425512,1584459847.26095,1584459847.26147,1584459847.26194,1584459847.26241,0.001467227935791,0.001933336257935
1,32867,205068,-54775,425482,1584459847.26288,1584459847.27897,1584459847.27946,1584459847.27994,0.017064332962036,0.017763614654541
2,32937,205427,-54853,425489,1584459847.28064,1584459847.2914,1584459847.29188,1584459847.29235,0.011710166931152,0.012222528457642
3,32743,205346,-54703,425579,1584459847.29287,1584459847.30352,1584459847.30401,1584459847.3045,0.011631965637207,0.012110471725464
4,32802,205291,-54645,425651,1584459847.30498,1584459847.30545,1584459847.31631,1584459847.31691,0.011931657791138,0.012453317642212
5,32785,205323,-54686,425656,1584459847.31743,1584459847.31795,1584459847.31846,1584459847.32934,0.011909484863281,0.012419939041138
6,32700,205077,-54576,425405,1584459847.32985,1584459847.3305,1584459847.33109,1584459847.34207,0.012218713760376,0.012751579284668
7,32863,205234,-54480,425496,1584459847.3426,1584459847.3431,1584459847.3436,1584459847.3543,0.011700630187988,0.012222766876221
8,32898,205266,-54656,425478,1584459847.35482,1584459847.3553,1584459847.35576,1584459847.36635,0.011525869369507,0.012010097503662
9,33044,205238,-54763,425497,1584459847.36683,1584459847.36731,1584459847.36777,1584459847.37836,0.011524200439453,0.012034177780151
10,32852,205246,-1,425668,1584459847.37887,1584459847.37934,1584459847.3798,1584459847.39048,0.011614084243775,0.012088537216187
11,32660,205216,-54759,425601,1584459847.39096,1584459847.39142,1584459847.39188,1584459847.45308,0.062118530273438,0.062597990036011
12,32953,205181,-54724,425692,1584459847.45356,1584459847.45402,1584459847.45448,1584459847.46507,0.011517763137817,0.012008905410767
13,32793,205318,-54855,425640,1584459847.46556,1584459847.46605,1584459847.46653,1584459847.47715,0.011584281921387,0.012053489685059
14,32681,205437,-54734,425710,1584459847.47762,1584459847.47808,1584459847.47854,1584459847.48912,0.011500835418701,0.01197361946106
15,32942,205188,-54732,425540,1584459847.48959,1584459847.49016,1584459847.49067,1584459847.50133,0.011734247207642,0.01221489906311
16,32714,205155,-54680,425601,1584459847.50181,1584459847.50227,1584459847.50274,1584459847.51336,0.011550426483154,0.012085914611816
17,32726,205203,-54569,425533,1584459847.51389,1584459847.51435,1584459847.51485,1584459847.52543,0.011542558670044,0.012015104293823
18,32747,205289,-54709,425515,1584459847.52591,1584459847.52636,1584459847.52683,1584459847.53743,0.011523962020874,0.011996746063233
19,32839,205258,-54650,425590,1584459847.5379,1584459847.53837,1584459847.53887,1584459847.54946,0.011551141738892,0.012022256851196
20,32943,205167,-54830,425604,1584459847.54993,1584459847.55048,1584459847.55095,1584459847.56158,0.011653661727905,0.012151479721069
21,32803,205307,-54808,425606,1584459847.56208,1584459847.56256,1584459847.56304,1584459847.57363,0.011556148529053,0.012027263641358
22,32512,205247,-54807,425477,1584459847.57411,1584459847.57457,1584459847.57503,1584459847.58561,0.011500120162964,0.01197099685669
23,33105,205392,-54820,425496,1584459847.58608,1584459847.58656,1584459847.58704,1584459847.59764,0.011561870574951,0.012035369873047
24,32548,205284,-54838,425420,1584459847.59811,1584459847.59857,1584459847.59904,1584459847.60966,0.011549472808838,0.012134790420532
25,32740,205005,-54554,425769,1584459847.61025,1584459847.61074,1584459847.61123,1584459847.62184,0.011589288711548,0.012071132659912
26,33002,205108,-54647,425677,1584459847.62232,1584459847.62278,1584459847.62324,1584459847.63383,0.011516809463501,0.011995553970337
27,32555,205143,-54650,425549,1584459847.63431,1584459847.63482,1584459847.63529,1584459847.64587,0.011561393737793,0.012031555175781
28,32913,205153,-54601,425710,1584459847.64634,1584459847.6468,1584459847.64727,1584459847.65794,0.011595249176025,0.0120689868927
29,32796,205112,-54785,425605,1584459847.65841,1584459847.65891,1584459847.65938,1584459847.66996,0.011546611785889,0.012128591537476
30,32560,205015,-54636,425656,1584459847.67054,1584459847.671,1584459847.67147,1584459847.68207,0.011524677276611,0.012019634246826
31,33109,205253,-54818,425528,1584459847.68256,1584459847.68304,1584459847.68351,1584459847.69409,0.011530637741089,0.012002229690552
32,32775,205027,-54678,425687,1584459847.69456,1584459847.69503,1584459847.6955,1584459847.70614,0.011580228805542,0.012067794799805
33,32963,205277,-54746,425547,1584459847.70663,1584459847.70711,1584459847.70758,1584459847.71818,0.011543989181519,0.012018203735352
34,32760,205091,-54657,425427,1584459847.71865,1584459847.71911,1584459847.71957,1584459847.73024,0.011591196060181,0.012083768844605
35,32614,205025,-54606,425388,1584459847.73073,1584459847.73121,1584459847.73168,1584459847.79282,0.062088966369629,0.062571287155151
36,32568,205077,-54755,425555,1584459847.79331,1584459847.79377,1584459847.79423,1584459847.80489,0.011587381362915,0.012060165405274
37,32837,205109,-54805,425505,1584459847.80537,1584459847.80583,1584459847.80629,1584459847.81687,0.011501789093018,0.011973381042481
38,32891,205138,-54760,425568,1584459847.81734,1584459847.81784,1584459847.81831,1584459847.82893,0.011593818664551,0.0120689868927
39,32959,262143,-54532,425412,1584459847.82941,1584459847.82987,1584459847.83043,1584459847.84103,0.011621475219727,0.01209306716919
40,32754,204984,-54543,425554,1584459847.8415,1584459847.84196,1584459847.89301,1584459847.89348,0.051981210708618,0.052454233169556
41,32992,205158,-54594,425426,1584459847.89395,1584459847.89442,1584459847.90508,1584459847.90557,0.011613845825195,0.012084245681763
42,33197,205137,-54512,425345,1584459847.90604,1584459847.9065,1584459847.91712,1584459847.91759,0.011554718017578,0.012027502059937
