,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,False,146247,-8078,314626,1584978468.3958292,1584978468.3964572,1584978468.397026,1584978468.3974938,False,146247,-8078,314626
1,-6772737,146246,-7903,314643,1584978468.397999,1584978468.3984568,1584978468.4103312,1584978468.4107978,-6772737,146246,-7903,314643
2,150487,146444,-7871,314445,1584978468.411256,1584978468.4117079,1584978468.4224021,1584978468.422858,150487,146444,-7871,314445
3,150544,146434,-7870,314514,1584978468.423306,1584978468.4237437,1584978468.4342844,1584978468.4347236,150544,146434,-7870,314514
4,150458,146587,-8030,314455,1584978468.4351645,1584978468.4356043,1584978468.4472969,1584978468.4478216,150458,146587,-8030,314455
5,150662,146682,-8131,314455,1584978468.4483154,1584978468.4487653,1584978468.4594722,1584978468.4599354,150662,146682,-8131,314455
6,150740,146773,-7929,314534,1584978468.4603963,1584978468.4608636,1584978468.4714975,1584978468.4719613,150740,146773,-7929,314534
7,150521,146602,-7972,314462,1584978468.4724143,1584978468.472863,1584978468.483458,1584978468.4839232,150521,146602,-7972,314462
8,150564,146661,-7884,314598,1584978468.4843767,1584978468.4848423,1584978468.4954126,1584978468.4958668,150564,146661,-7884,314598
9,150593,146427,-7900,314596,1584978468.4963996,1584978468.4968488,1584978468.5074384,1584978468.5079029,150593,146427,-7900,314596
10,150560,146469,-8107,314378,1584978468.5083532,1584978468.5088084,1584978468.5193932,1584978468.5198479,150560,146469,-8107,314378
11,150452,146546,-8118,314453,1584978468.5203066,1584978468.520747,1584978468.5313303,1584978468.531787,150452,146546,-8118,314453
12,150549,146444,-8150,314467,1584978468.5322385,1584978468.5326908,1584978468.5432396,1584978468.5436876,150549,146444,-8150,314467
13,150634,146516,-8109,314333,1584978468.5441449,1584978468.5445898,1584978468.5551417,1584978468.5555952,150634,146516,-8109,314333
14,150622,146510,-8120,314447,1584978468.5561311,1584978468.5565877,1584978468.5671813,1584978468.567634,150622,146510,-8120,314447
15,150598,146481,-8125,314560,1584978468.5680895,1584978468.56853,1584978468.5790856,1584978468.5795364,150598,146481,-8125,314560
16,150462,146554,-7990,314415,1584978468.5799835,1584978468.5804327,1584978468.591013,1584978468.591468,150462,146554,-7990,314415
17,150526,146346,-8110,314434,1584978468.5919268,1584978468.5923667,1584978468.6029186,1584978468.6033766,150526,146346,-8110,314434
18,150427,146357,-8046,314512,1584978468.6038284,1584978468.6042776,1584978468.614885,1584978468.6153398,150427,146357,-8046,314512
19,155647,146359,-8062,314507,1584978468.6157992,1584978468.6163435,1584978468.6269338,1584978468.6273892,155647,146359,-8062,314507
20,150547,146393,-7863,314441,1584978468.6278398,1584978468.6788735,1584978468.679325,1584978468.6797826,150547,146393,-7863,314441
21,150547,146357,-7914,314509,1584978468.6802337,1584978468.690821,1584978468.6912627,1584978468.6917121,150547,146357,-7914,314509
22,150520,146360,-8042,314362,1584978468.692168,1584978468.7027218,1584978468.7031696,1584978468.7036176,150520,146360,-8042,314362
23,150527,146314,-8117,314879,1584978468.7040684,1584978468.7147024,1584978468.7151506,1584978468.7257283,150527,146314,-8117,314879
24,150461,146352,-8123,405702,1584978468.7262928,1584978468.726742,1584978468.7271924,1584978468.7377758,150461,146352,-8123,405702
25,156115,147795,90152,325306,1584978468.7888005,1584978468.7892563,1584978468.7897103,1584978468.7901576,156115,147795,90152,325306
26,142710,148532,-7184,311730,1584978468.8007507,1584978468.8011982,1584978468.801639,1584978468.8020995,142710,148532,-7184,311730
27,150144,150617,-10856,319461,1584978468.8126934,1584978468.8131394,1584978468.8135881,1584978468.8140383,150144,150617,-10856,319461
28,152905,146069,-4679,331933,1584978468.824631,1584978468.8250766,1584978468.8255215,1584978468.8259807,152905,146069,-4679,331933
29,155535,144786,6203,340437,1584978468.8366845,1584978468.837141,1584978468.837584,1584978468.8380244,155535,144786,6203,340437
30,151462,140495,25738,334679,1584978468.848587,1584978468.8490307,1584978468.8494742,1584978468.8499193,151462,140495,25738,334679
31,155349,144010,10521,326615,1584978468.860504,1584978468.8609645,1584978468.861405,1584978468.8618429,155349,144010,10521,326615
32,152914,145431,7679,329086,1584978468.8724225,1584978468.872867,1584978468.8733184,1584978468.873763,152914,145431,7679,329086
33,156426,146399,15202,344877,1584978468.8843355,1584978468.8847954,1584978468.8852358,1584978468.885677,156426,146399,15202,344877
34,154678,143482,20868,355673,1584978468.8964336,1584978468.8968801,1584978468.8973289,1584978468.8977687,154678,143482,20868,355673
35,153318,141719,25027,348004,1584978468.9083333,1584978468.908795,1584978468.9092395,1584978468.9096894,153318,141719,25027,348004
36,155630,144735,28731,351634,1584978468.9203365,1584978468.92079,1584978468.9212308,1584978468.9216728,155630,144735,28731,351634
37,156255,145044,31219,368486,1584978468.932242,1584978468.932694,1584978468.9331386,1584978468.9335842,156255,145044,31219,368486
38,153633,142372,37648,369944,1584978468.9542992,1584978468.9547544,1584978468.9552016,1584978468.9556582,153633,142372,37648,369944
39,155557,143606,48455,367327,1584978468.9663892,1584978468.9668493,1584978468.9774344,1584978468.9778867,155557,143606,48455,367327
40,156088,143181,51305,370169,1584978468.9783518,1584978468.9787986,1584978468.9893687,1584978468.9898157,156088,143181,51305,370169
41,154883,142244,54013,372750,1584978468.9902658,1584978468.9907095,1584978469.0012975,1584978469.0017393,154883,142244,54013,372750
42,155578,142608,62036,377519,1584978469.0021968,1584978469.0026388,1584978469.0131924,1584978469.0136406,155578,142608,62036,377519
