,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,152616,155967,-5759,299945,1585002365.0397623,1585002365.040278,1585002365.0407324,1585002365.0411925,152616,155967,-5759,299945
1,152524,156097,-5916,299904,1585002365.0416434,1585002365.0522428,1585002365.06305,1585002365.0635197,152524,156097,-5916,299904
2,152650,155958,-5834,300129,1585002365.0639858,1585002365.0644443,1585002365.0750835,1585002365.0755446,152650,155958,-5834,300129
3,152700,155914,-5831,300152,1585002365.0761259,1585002365.0765939,1585002365.0774088,1585002365.0881176,152700,155914,-5831,300152
4,152659,155954,-5851,300084,1585002365.088584,1585002365.0890398,1585002365.0894873,1585002365.100166,152659,155954,-5851,300084
5,152692,156012,-5748,299982,1585002365.100627,1585002365.1010737,1585002365.101514,1585002365.1120777,152692,156012,-5748,299982
6,152705,156108,-5753,300048,1585002365.1125264,1585002365.112965,1585002365.1134048,1585002365.1239693,152705,156108,-5753,300048
7,152681,155984,-5719,300152,1585002365.1244247,1585002365.1248693,1585002365.125316,1585002365.135887,152681,155984,-5719,300152
8,152580,156282,-5743,300279,1585002365.1365056,1585002365.1369605,1585002365.1374047,1585002365.148,152580,156282,-5743,300279
9,152588,156262,-5857,300412,1585002365.1484523,1585002365.1488965,1585002365.149337,1585002365.159976,152588,156262,-5857,300412
10,152621,156110,-5905,300360,1585002365.1604316,1585002365.1608782,1585002365.161321,1585002365.1719234,152621,156110,-5905,300360
11,152640,156197,-5910,300181,1585002365.1723773,1585002365.1728203,1585002365.1732621,1585002365.1838393,152640,156197,-5910,300181
12,152596,156035,-5850,300257,1585002365.1842914,1585002365.1847363,1585002365.18518,1585002365.1957338,152596,156035,-5850,300257
13,152607,156010,-5877,300239,1585002365.1963184,1585002365.1967633,1585002365.1972048,1585002365.207784,152607,156010,-5877,300239
14,152746,156118,-5793,300079,1585002365.2183552,1585002365.2188,1585002365.2192433,1585002365.2196913,152746,156118,-5793,300079
15,152674,156027,-5884,300017,1585002365.2303584,1585002365.230804,1585002365.2312512,1585002365.2317042,152674,156027,-5884,300017
16,152687,155984,-5800,299907,1585002365.2422805,1585002365.2427342,1585002365.2431793,1585002365.2436314,152687,155984,-5800,299907
17,152536,156073,-5724,299967,1585002365.2541916,1585002365.2546334,1585002365.255076,1585002365.255523,152536,156073,-5724,299967
18,152628,155989,-5953,300117,1585002365.2662878,1585002365.266736,1585002365.2671812,1585002365.2676308,152628,155989,-5953,300117
19,152586,156175,-6023,300186,1585002365.3287845,1585002365.3292408,1585002365.329822,1585002365.3302882,152586,156175,-6023,300186
20,152623,156078,-5962,300092,1585002365.3408587,1585002365.3413022,1585002365.3417442,1585002365.3421943,152623,156078,-5962,300092
21,152615,155946,-5959,299998,1585002365.3527634,1585002365.3532078,1585002365.3536506,1585002365.3540993,152615,155946,-5959,299998
22,152593,156046,-5946,300135,1585002365.3647127,1585002365.3652303,1585002365.3656764,1585002365.366306,152593,156046,-5946,300135
23,152633,156230,-5914,300256,1585002365.3768811,1585002365.3773277,1585002365.3777728,1585002365.3782241,152633,156230,-5914,300256
