,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,61652,234651,-75818,389138,1586619901.5828974,1586619901.583389,1586619901.583831,1586619901.5842795,1586619901.5833845,1586619901.583827,1586619901.5842755,1586619901.584717
1,61381,234590,-75984,389095,1586619901.5847273,1586619901.5852294,1586619901.5958354,1586619901.5962906,1586619901.5852256,1586619901.5958316,1586619901.5962863,1586619901.5967276
2,61618,234355,-76099,388946,1586619901.5967412,1586619901.5971804,1586619901.607818,1586619901.6082735,1586619901.5971766,1586619901.6078134,1586619901.6082692,1586619901.6087115
3,61622,234744,-75736,389152,1586619901.6087236,1586619901.609156,1586619901.6197102,1586619901.6201556,1586619901.609152,1586619901.6197062,1586619901.6201518,1586619901.6205926
4,61552,234484,-76021,388896,1586619901.6206024,1586619901.6210463,1586619901.631691,1586619901.6321661,1586619901.6210418,1586619901.6316862,1586619901.6321614,1586619901.632618
5,61753,234657,-75899,389028,1586619901.6326323,1586619901.6330788,1586619901.6438944,1586619901.6443756,1586619901.6330748,1586619901.6438894,1586619901.6443715,1586619901.6448307
6,61449,234529,-75860,389088,1586619901.6448436,1586619901.6455603,1586619901.6562645,1586619901.6567338,1586619901.6455555,1586619901.65626,1586619901.6567295,1586619901.6571794
7,61696,234275,-76032,388883,1586619901.657193,1586619901.6576338,1586619901.6683793,1586619901.668872,1586619901.65763,1586619901.6683748,1586619901.6688676,1586619901.669372
8,61438,234606,-75932,389192,1586619901.6693885,1586619901.6699126,1586619901.6806266,1586619901.6810868,1586619901.6699064,1586619901.6806216,1586619901.6810818,1586619901.6815262
9,61557,234269,-76079,388919,1586619901.6815398,1586619901.6819751,1586619901.6925876,1586619901.6930346,1586619901.6819713,1586619901.6925836,1586619901.6930306,1586619901.6934705
10,61572,234432,-75703,389035,1586619901.6934807,1586619901.6939209,1586619901.7044637,1586619901.7049866,1586619901.693917,1586619901.7044597,1586619901.7049825,1586619901.7054243
11,61345,234443,-75755,389121,1586619901.7054343,1586619901.7058704,1586619901.7164118,1586619901.716856,1586619901.7058666,1586619901.7164078,1586619901.7168522,1586619901.7172935
12,61912,234282,-75936,388925,1586619901.7173033,1586619901.7177384,1586619901.72828,1586619901.7287252,1586619901.7177346,1586619901.728276,1586619901.7287214,1586619901.7291589
13,61518,234596,-75730,389149,1586619901.7291687,1586619901.7296028,1586619901.7401488,1586619901.740594,1586619901.729599,1586619901.7401447,1586619901.7405899,1586619901.7410305
14,61686,234300,-76070,389137,1586619901.7410405,1586619901.7414753,1586619901.7520669,1586619901.7525136,1586619901.7414715,1586619901.7520628,1586619901.7525096,1586619901.7529528
15,61424,234513,-75932,389177,1586619901.7529626,1586619901.7533975,1586619901.7639432,1586619901.7643874,1586619901.753394,1586619901.7639391,1586619901.7643836,1586619901.764823
16,61506,234420,-75989,389345,1586619901.764833,1586619901.765595,1586619901.7761464,1586619901.7765973,1586619901.7655897,1586619901.776142,1586619901.7765925,1586619901.7770343
17,61785,234109,-76304,389037,1586619901.7770455,1586619901.7774804,1586619901.7880197,1586619901.788466,1586619901.7774765,1586619901.7880158,1586619901.7884622,1586619901.7889009
18,61270,234646,-76042,389108,1586619901.7889109,1586619901.7893455,1586619901.799884,1586619901.80033,1586619901.7893417,1586619901.7998803,1586619901.800326,1586619901.800764
19,61670,234214,-76080,389126,1586619901.8007739,1586619901.801209,1586619901.8117483,1586619901.812192,1586619901.8012052,1586619901.8117445,1586619901.8121881,1586619901.8126273
20,61287,234547,-75979,388881,1586619901.812637,1586619901.8130693,1586619901.8236132,1586619901.8240578,1586619901.8130655,1586619901.823609,1586619901.824054,1586619901.8244913
21,61476,234720,-76033,389150,1586619901.8245013,1586619901.8250124,1586619901.8355525,1586619901.8359954,1586619901.8250084,1586619901.8355486,1586619901.8359916,1586619901.8364294
22,61726,234455,-76058,389042,1586619901.8364394,1586619901.8368707,1586619901.8474145,1586619901.8478596,1586619901.8368669,1586619901.8474104,1586619901.8478558,1586619901.8482914
23,61362,234683,-75844,389182,1586619901.8483016,1586619901.8487332,1586619901.8593023,1586619901.8597476,1586619901.8487294,1586619901.8592982,1586619901.8597438,1586619901.8601818
24,61849,234243,-76050,389237,1586619901.8601918,1586619901.8606253,1586619901.8711686,1586619901.8716135,1586619901.8606212,1586619901.8711646,1586619901.8716097,1586619901.872047
25,61394,234432,-75939,388878,1586619901.8720565,1586619901.8724954,1586619901.8830397,1586619901.8834875,1586619901.8724904,1586619901.8830352,1586619901.883483,1586619901.8839242
26,61737,234645,-75903,389134,1586619901.8839345,1586619901.8843694,1586619901.8949804,1586619901.8954258,1586619901.8843656,1586619901.8949761,1586619901.895422,1586619901.8958623
27,61687,234349,-76119,388970,1586619901.895872,1586619901.896308,1586619901.906852,1586619901.9072971,1586619901.8963041,1586619901.906848,1586619901.9072928,1586619901.9178324
28,61640,234683,-75766,388968,1586619901.9178429,1586619901.9182794,1586619901.9187152,1586619901.919158,1586619901.9182758,1586619901.9187112,1586619901.9191542,1586619901.929691
29,61308,234435,-75942,389220,1586619901.929701,1586619901.9301353,1586619901.930572,1586619901.9310143,1586619901.9301314,1586619901.9305682,1586619901.9310105,1586619901.941549
30,61780,234577,-75938,388780,1586619901.941559,1586619901.9419944,1586619901.9424317,1586619901.9428728,1586619901.9419906,1586619901.9424279,1586619901.942869,1586619901.9534082
31,61365,234612,-75810,389024,1586619901.9534187,1586619901.9538524,1586619901.9542885,1586619901.9547315,1586619901.9538484,1586619901.9542842,1586619901.9547276,1586619901.9653573
32,61541,234288,-75997,389060,1586619901.9653676,1586619901.9658022,1586619901.9662392,1586619901.9666822,1586619901.9657984,1586619901.9662354,1586619901.966678,1586619901.9772198
33,61787,234676,-75851,388932,1586619901.97723,1586619901.9776661,1586619901.9781034,1586619901.9785466,1586619901.9776623,1586619901.9780998,1586619901.9785426,1586619901.9890828
34,61450,234484,-76067,389183,1586619901.989093,1586619901.9895277,1586619901.9899616,1586619901.9904037,1586619901.989524,1586619901.9899578,1586619901.9904,1586619902.0009363
35,61804,234457,-75879,388888,1586619902.0009463,1586619902.0013855,1586619902.00183,1586619902.0022783,1586619902.0013807,1586619902.0018256,1586619902.0022738,1586619902.0128403
36,61401,234507,-75864,389006,1586619902.0128531,1586619902.0132916,1586619902.0137308,1586619902.0141745,1586619902.0132878,1586619902.013727,1586619902.0141706,1586619902.0247126
37,61695,234465,-76079,389076,1586619902.024723,1586619902.0252469,1586619902.0256872,1586619902.0261314,1586619902.025243,1586619902.0256834,1586619902.0261276,1586619902.0368018
38,61618,234757,-75786,389012,1586619902.0368125,1586619902.037252,1586619902.0376909,1586619902.0381343,1586619902.0372477,1586619902.037687,1586619902.0381305,1586619902.048671
39,61583,234437,-76037,389400,1586619902.048681,1586619902.0491133,1586619902.0495474,1586619902.0499887,1586619902.0491095,1586619902.0495436,1586619902.0499852,1586619902.0605218
40,61930,234663,-75896,389100,1586619902.0605319,1586619902.0609658,1586619902.061402,1586619902.0618458,1586619902.060962,1586619902.0613985,1586619902.061842,1586619902.0724201
41,61409,234752,-75873,389039,1586619902.0724304,1586619902.072864,1586619902.0733001,1586619902.0737405,1586619902.0728602,1586619902.0732963,1586619902.0737364,1586619902.084279
42,61543,234432,-76077,389202,1586619902.0842896,1586619902.0847259,1586619902.0853617,1586619902.0858083,1586619902.0847216,1586619902.0853577,1586619902.0858045,1586619902.0963519
43,61404,234594,-75743,389008,1586619902.0963619,1586619902.0967987,1586619902.0972376,1586619902.09768,1586619902.0967946,1586619902.0972338,1586619902.0976763,1586619902.108214
