,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,81414,218910,-62698,374629,1586771716.6130424,1586771716.6135876,1586771716.6140857,1586771716.6145768,1586771716.6135836,1586771716.6140814,1586771716.6145725,1586771716.6150286
1,81555,219391,-62656,374751,1586771716.6150389,1586771716.61556,1586771716.6262639,1586771716.626799,1586771716.6155536,1586771716.6262586,1586771716.6267948,1586771716.6272788
2,81291,219060,-62622,374476,1586771716.62729,1586771716.6277716,1586771716.6384692,1586771716.6389644,1586771716.6277676,1586771716.6384625,1586771716.6389594,1586771716.6394622
3,81757,218755,-62794,374479,1586771716.6394746,1586771716.6399264,1586771716.6505663,1586771716.6510267,1586771716.6399226,1586771716.650562,1586771716.6510227,1586771716.6515207
4,81393,218808,-62613,374825,1586771716.6515317,1586771716.6520214,1586771716.6632078,1586771716.6637363,1586771716.6520164,1586771716.6632006,1586771716.6637306,1586771716.6642735
5,81517,218706,-62809,374707,1586771716.6642895,1586771716.6647599,1586771716.675643,1586771716.6761386,1586771716.6647553,1586771716.675638,1586771716.676134,1586771716.6767273
6,81284,219006,-62756,374684,1586771716.6767523,1586771716.67728,1586771716.6880019,1586771716.6884773,1586771716.677276,1586771716.6879969,1586771716.688472,1586771716.6889307
7,81289,218572,-62631,374595,1586771716.688953,1586771716.689438,1586771716.700011,1586771716.7005172,1586771716.6894336,1586771716.700007,1586771716.7005134,1586771716.700969
8,81680,218652,-62801,374394,1586771716.700979,1586771716.7014728,1586771716.7120686,1586771716.7125323,1586771716.7014666,1586771716.7120638,1586771716.7125275,1586771716.7131052
9,81345,219039,-62509,374665,1586771716.7131164,1586771716.7135718,1586771716.7241602,1586771716.7246423,1586771716.7135677,1586771716.724156,1586771716.7246382,1586771716.7251098
10,81784,218687,-62810,374561,1586771716.7251198,1586771716.7256243,1586771716.736241,1586771716.736745,1586771716.7256205,1586771716.736237,1586771716.7367413,1586771716.7371976
11,81603,219017,-62730,374761,1586771716.7372081,1586771716.7376578,1586771716.7482576,1586771716.7487223,1586771716.7376537,1586771716.748253,1586771716.7487183,1586771716.7492228
12,81658,218757,-62640,374920,1586771716.749233,1586771716.7496889,1586771716.7602656,1586771716.76076,1586771716.7496848,1586771716.7602613,1586771716.760756,1586771716.7612178
13,81707,218903,-62688,374692,1586771716.7612278,1586771716.7617214,1586771716.772286,1586771716.772757,1586771716.7617176,1586771716.772282,1586771716.7727525,1586771716.773341
14,81529,219105,-62605,374786,1586771716.7733512,1586771716.7738051,1586771716.7844117,1586771716.7848752,1586771716.7738013,1586771716.7844076,1586771716.784871,1586771716.7853513
15,81980,218707,-62798,374721,1586771716.785361,1586771716.7858334,1586771716.7963984,1586771716.7969005,1586771716.7858298,1586771716.7963946,1586771716.7968965,1586771716.7973788
16,81493,218973,-62762,374581,1586771716.7973888,1586771716.797869,1586771716.8084452,1586771716.8089108,1586771716.7978642,1586771716.8084402,1586771716.8089063,1586771716.8094192
17,81761,218707,-62734,374764,1586771716.8094306,1586771716.8098853,1586771716.8204882,1586771716.8209515,1586771716.809881,1586771716.8204842,1586771716.8209472,1586771716.821444
18,81577,218751,-62826,374633,1586771716.821455,1586771716.8219402,1586771716.8325012,1586771716.8330803,1586771716.8219364,1586771716.8324974,1586771716.833076,1586771716.8335335
19,81592,218893,-62664,374800,1586771716.833543,1586771716.8340063,1586771716.8445888,1586771716.8450513,1586771716.8340025,1586771716.844585,1586771716.8450472,1586771716.8455627
