,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,81221,218839,-62149,374718,1586772144.0315824,1586772144.0321002,1586772144.032555,1586772144.0330942,1586772144.0320957,1586772144.0325508,1586772144.0330899,1586772144.0335443
1,80810,219231,-62060,374811,1586772144.0335543,1586772144.0340028,1586772144.044657,1586772144.0451205,1586772144.033999,1586772144.0446522,1586772144.0451167,1586772144.0455718
2,81176,219025,-62179,374648,1586772144.0455823,1586772144.0460327,1586772144.056738,1586772144.0572138,1586772144.0460286,1586772144.0567327,1586772144.0572095,1586772144.0576696
3,81017,219247,-62161,374781,1586772144.057681,1586772144.0581357,1586772144.0686967,1586772144.0691526,1586772144.0581315,1586772144.068693,1586772144.0691488,1586772144.0696008
4,81027,219045,-62055,374851,1586772144.0696142,1586772144.0700653,1586772144.0808952,1586772144.081402,1586772144.0700605,1586772144.080889,1586772144.0813966,1586772144.081912
5,81093,219020,-62165,374686,1586772144.0819259,1586772144.0823896,1586772144.0933533,1586772144.0938275,1586772144.0823853,1586772144.0933468,1586772144.0938234,1586772144.0942929
6,80903,219364,-62049,374956,1586772144.0943046,1586772144.094761,1586772144.1054358,1586772144.1059074,1586772144.0947568,1586772144.1054308,1586772144.1059039,1586772144.106351
7,81259,218990,-62305,374676,1586772144.106363,1586772144.1068141,1586772144.1173751,1586772144.1178315,1586772144.1068103,1586772144.117371,1586772144.1178277,1586772144.11828
8,80792,219119,-62223,374601,1586772144.1182897,1586772144.1187432,1586772144.1293013,1586772144.1297665,1586772144.1187382,1586772144.1292963,1586772144.1297615,1586772144.1302137
9,81226,218945,-62104,374809,1586772144.1302242,1586772144.1306782,1586772144.1412299,1586772144.1416845,1586772144.1306741,1586772144.1412249,1586772144.1416807,1586772144.142131
10,81153,218932,-62248,374589,1586772144.1421409,1586772144.1425872,1586772144.1532207,1586772144.1536815,1586772144.1425834,1586772144.1532166,1586772144.1536775,1586772144.1541278
11,81102,219289,-61945,374784,1586772144.1541376,1586772144.1545842,1586772144.1651328,1586772144.1655948,1586772144.15458,1586772144.165129,1586772144.165591,1586772144.166041
12,81402,218925,-62084,374787,1586772144.1660507,1586772144.166494,1586772144.1770523,1586772144.177512,1586772144.16649,1586772144.177048,1586772144.177508,1586772144.1880667
13,81208,219187,-62242,374775,1586772144.1880767,1586772144.1885235,1586772144.1889696,1586772144.1894257,1586772144.1885197,1586772144.1889658,1586772144.189422,1586772144.1999717
14,81019,219145,-62104,374892,1586772144.1999826,1586772144.2004342,1586772144.2008862,1586772144.2013369,1586772144.2004302,1586772144.2008827,1586772144.201333,1586772144.2118895
15,81180,218991,-62275,374487,1586772144.2118993,1586772144.2123468,1586772144.212858,1586772144.2133195,1586772144.212343,1586772144.212854,1586772144.2133155,1586772144.2239053
16,81172,219230,-62076,374700,1586772144.2239153,1586772144.2243752,1586772144.2248285,1586772144.2252853,1586772144.2243705,1586772144.2248237,1586772144.2252808,1586772144.2358475
17,80835,218707,-62305,374730,1586772144.2358596,1586772144.2363076,1586772144.2367597,1586772144.2473216,1586772144.2363038,1586772144.2367556,1586772144.2473176,1586772144.2477715
18,81335,219151,-62432,374676,1586772144.2477808,1586772144.2482388,1586772144.248696,1586772144.2592604,1586772144.2482347,1586772144.2486923,1586772144.2592564,1586772144.2597082
19,81138,219106,-62163,374855,1586772144.2597184,1586772144.2601676,1586772144.2606215,1586772144.2711804,1586772144.2601638,1586772144.2606177,1586772144.271176,1586772144.271634
20,81349,218989,-62267,374723,1586772144.271644,1586772144.2720957,1586772144.2725475,1586772144.2831805,1586772144.2720919,1586772144.2725437,1586772144.2831764,1586772144.283634
21,81061,219162,-62046,374797,1586772144.2836437,1586772144.2840948,1586772144.2845495,1586772144.2951076,1586772144.284091,1586772144.2845454,1586772144.2951038,1586772144.2955594
22,81108,218899,-62174,374822,1586772144.2955694,1586772144.2960198,1586772144.2964692,1586772144.3070347,1586772144.296016,1586772144.2964656,1586772144.3070302,1586772144.3074825
23,81220,219167,-62116,374693,1586772144.3074923,1586772144.307942,1586772144.308393,1586772144.3189573,1586772144.307938,1586772144.308389,1586772144.318953,1586772144.3194108
24,80911,219032,-61979,374923,1586772144.3194208,1586772144.3198676,1586772144.3203137,1586772144.3308744,1586772144.3198636,1586772144.3203099,1586772144.3308704,1586772144.3313222
25,81375,218977,-62183,374595,1586772144.3313315,1586772144.3317907,1586772144.332242,1586772144.3428726,1586772144.3317854,1586772144.3322375,1586772144.3428674,1586772144.3433256
26,80855,219227,-62040,374618,1586772144.343337,1586772144.343785,1586772144.3442366,1586772144.354795,1586772144.3437812,1586772144.3442328,1586772144.354791,1586772144.3552432
