,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,95751,276813,-61808,371835,1586771867.7518048,1586771867.7523098,1586771867.7528234,1586771867.7532885,1586771867.7523055,1586771867.7528176,1586771867.753284,1586771867.7537308
1,95493,276571,-61799,371817,1586771867.7537408,1586771867.764352,1586771867.7648087,1586771867.765269,1586771867.7643476,1586771867.7648048,1586771867.765265,1586771867.7657084
2,95744,276393,-61963,371713,1586771867.7657187,1586771867.7763903,1586771867.7768426,1586771867.7773025,1586771867.776385,1586771867.7768383,1586771867.7772985,1586771867.7777474
3,95586,276591,-61865,371855,1586771867.7777596,1586771867.788367,1586771867.7888107,1586771867.7892582,1586771867.7883627,1586771867.7888067,1586771867.7892544,1586771867.7896962
4,95389,276437,-62044,371599,1586771867.7897062,1586771867.800458,1586771867.8009343,1586771867.8014128,1586771867.8004494,1586771867.800928,1586771867.8014073,1586771867.801877
5,95658,276823,-62099,371756,1586771867.8018918,1586771867.812642,1586771867.8132794,1586771867.813744,1586771867.812637,1586771867.813275,1586771867.8137398,1586771867.8141897
6,95297,276481,-62053,371704,1586771867.8142018,1586771867.8248765,1586771867.8253317,1586771867.825792,1586771867.8248718,1586771867.8253272,1586771867.8257875,1586771867.826233
7,95774,276372,-61991,371536,1586771867.8262448,1586771867.8368013,1586771867.837246,1586771867.837695,1586771867.8367972,1586771867.837242,1586771867.8376908,1586771867.8381326
8,95548,276726,-61772,371762,1586771867.8381426,1586771867.848693,1586771867.8491406,1586771867.849591,1586771867.8486881,1586771867.8491364,1586771867.8495865,1586771867.8500302
9,95584,276360,-62098,371580,1586771867.8500404,1586771867.8605864,1586771867.8610308,1586771867.8614805,1586771867.8605824,1586771867.861027,1586771867.8614764,1586771867.8619184
10,95807,276746,-61935,371681,1586771867.861928,1586771867.862371,1586771867.8730032,1586771867.873455,1586771867.8623672,1586771867.872999,1586771867.873451,1586771867.873896
11,95565,276921,-61916,371740,1586771867.873906,1586771867.87435,1586771867.884897,1586771867.885345,1586771867.874346,1586771867.8848927,1586771867.885341,1586771867.8857877
12,95912,276534,-62285,371613,1586771867.885798,1586771867.8862388,1586771867.896784,1586771867.897233,1586771867.886235,1586771867.8967803,1586771867.897229,1586771867.8976705
13,95413,276680,-62093,371943,1586771867.8976803,1586771867.8981197,1586771867.9086637,1586771867.909113,1586771867.8981159,1586771867.9086597,1586771867.9091089,1586771867.9095495
14,95598,274856,-62094,371889,1586771867.9095597,1586771867.9099996,1586771867.920546,1586771867.9209952,1586771867.9099958,1586771867.920542,1586771867.9209914,1586771867.9214325
15,94731,267848,-61783,372456,1586771867.9214423,1586771867.9218848,1586771867.9324307,1586771867.93295,1586771867.9218807,1586771867.9324267,1586771867.932946,1586771867.9333909
16,92677,256378,-61503,372965,1586771867.9334013,1586771867.9338496,1586771867.9444063,1586771867.9448576,1586771867.9338448,1586771867.9444008,1586771867.944853,1586771867.9554152
17,85044,243943,-61849,372960,1586771867.955428,1586771867.9558735,1586771867.9563174,1586771867.956767,1586771867.9558697,1586771867.9563136,1586771867.956763,1586771867.9673088
18,83601,232226,-62136,373543,1586771867.9673193,1586771867.9677625,1586771867.9682052,1586771867.9686556,1586771867.9677587,1586771867.9682014,1586771867.9686518,1586771867.9791977
19,83777,225921,-62480,374072,1586771867.9792078,1586771867.9796517,1586771867.980093,1586771867.9805408,1586771867.9796476,1586771867.9800892,1586771867.980537,1586771867.9910817
20,81817,220053,-62109,374428,1586771867.991092,1586771867.9915323,1586771867.9919734,1586771867.9924214,1586771867.9915285,1586771867.9919696,1586771867.9924173,1586771868.0030484
21,81477,218803,-62036,374833,1586771868.003059,1586771868.0035033,1586771868.003948,1586771868.0043945,1586771868.0034995,1586771868.003944,1586771868.0043907,1586771868.0149386
22,80939,218880,-62169,374574,1586771868.0149486,1586771868.0153897,1586771868.0158305,1586771868.0263815,1586771868.0153859,1586771868.0158265,1586771868.0263774,1586771868.0268204
23,80997,218919,-62062,374629,1586771868.0268304,1586771868.0272696,1586771868.0277092,1586771868.03826,1586771868.0272658,1586771868.0277057,1586771868.038256,1586771868.0386977
24,80761,218826,-62106,374623,1586771868.038708,1586771868.0391479,1586771868.0395875,1586771868.0501423,1586771868.0391436,1586771868.0395837,1586771868.050138,1586771868.050582
25,81266,219101,-62044,374645,1586771868.050592,1586771868.0510354,1586771868.0514786,1586771868.06203,1586771868.0510306,1586771868.0514736,1586771868.0620253,1586771868.062472
26,81312,219163,-61810,374922,1586771868.0624828,1586771868.0629997,1586771868.0634434,1586771868.0739944,1586771868.0629957,1586771868.0634396,1586771868.0739903,1586771868.0744345
27,81195,219087,-62146,374571,1586771868.0744445,1586771868.0748854,1586771868.0753257,1586771868.0858805,1586771868.0748813,1586771868.075322,1586771868.0858765,1586771868.0863204
28,81133,219200,-62112,374659,1586771868.0863304,1586771868.0867696,1586771868.0872116,1586771868.0977614,1586771868.0867658,1586771868.0872078,1586771868.097757,1586771868.0982
29,80875,218844,-62158,374713,1586771868.09821,1586771868.098648,1586771868.0990884,1586771868.1096377,1586771868.0986443,1586771868.0990846,1586771868.1096334,1586771868.110077
30,81274,219251,-61953,374428,1586771868.110087,1586771868.1105263,1586771868.110968,1586771868.1215189,1586771868.1105223,1586771868.110964,1586771868.121515,1586771868.1219614
31,80818,218879,-61904,374742,1586771868.1219716,1586771868.1224124,1586771868.1229258,1586771868.133479,1586771868.1224084,1586771868.1229217,1586771868.1334748,1586771868.13392
32,81127,218813,-62080,374376,1586771868.1339302,1586771868.1343713,1586771868.185298,1586771868.1857498,1586771868.1343672,1586771868.1852937,1586771868.185746,1586771868.1861877
33,80836,219073,-62270,374692,1586771868.186198,1586771868.186638,1586771868.1971827,1586771868.1976337,1586771868.1866343,1586771868.1971788,1586771868.19763,1586771868.1980736
34,81305,219206,-61901,374721,1586771868.1980836,1586771868.1985242,1586771868.2091026,1586771868.2095525,1586771868.1985204,1586771868.2090986,1586771868.2095485,1586771868.209991
35,81011,218907,-62048,374663,1586771868.210001,1586771868.2104461,1586771868.2209928,1586771868.2214468,1586771868.2104416,1586771868.2209878,1586771868.2214417,1586771868.2218866
36,81045,219145,-62081,374697,1586771868.2218978,1586771868.2223399,1586771868.2329574,1586771868.2334092,1586771868.2223358,1586771868.2329533,1586771868.2334054,1586771868.2338479
37,81218,218836,-61980,374458,1586771868.2338579,1586771868.2343006,1586771868.2448416,1586771868.2452888,1586771868.2342968,1586771868.2448373,1586771868.245285,1586771868.2457254
38,80986,218824,-62287,374641,1586771868.2457354,1586771868.246176,1586771868.2567246,1586771868.2571738,1586771868.2461722,1586771868.2567203,1586771868.2571697,1586771868.2576134
39,81106,218858,-62039,374672,1586771868.2576232,1586771868.2681653,1586771868.2686067,1586771868.2690563,1586771868.268161,1586771868.2686028,1586771868.2690523,1586771868.2694907
40,81269,218682,-62098,374607,1586771868.2695007,1586771868.2699404,1586771868.280486,1586771868.280934,1586771868.2699363,1586771868.280482,1586771868.28093,1586771868.2813742
41,81206,219099,-62044,374697,1586771868.2813842,1586771868.2818244,1586771868.292364,1586771868.292883,1586771868.2818203,1586771868.2923596,1586771868.2928789,1586771868.2933238
42,81072,218860,-61893,374627,1586771868.2933335,1586771868.2937744,1586771868.3043199,1586771868.314869,1586771868.2937706,1586771868.3043156,1586771868.314865,1586771868.3153088
43,81275,218859,-62118,374652,1586771868.3153188,1586771868.3157573,1586771868.3161972,1586771868.3267465,1586771868.3157535,1586771868.316193,1586771868.326742,1586771868.3271859
44,80940,218966,-61867,374530,1586771868.327196,1586771868.327639,1586771868.328083,1586771868.338635,1586771868.3276353,1586771868.328079,1586771868.338631,1586771868.3390794
45,80809,219015,-62095,374786,1586771868.3390894,1586771868.349633,1586771868.3500774,1586771868.350526,1586771868.3496292,1586771868.3500733,1586771868.3505223,1586771868.3509667
46,81004,218930,-62100,374718,1586771868.3509767,1586771868.3514247,1586771868.3619733,1586771868.3624282,1586771868.3514197,1586771868.3619683,1586771868.3624232,1586771868.3629403
47,81209,219180,-61879,374587,1586771868.3629522,1586771868.3633957,1586771868.3739436,1586771868.3743951,1586771868.3633916,1586771868.3739398,1586771868.3743913,1586771868.3748355
48,80937,219075,-62093,374722,1586771868.3748453,1586771868.3752887,1586771868.3858361,1586771868.3862891,1586771868.375285,1586771868.3858318,1586771868.3862853,1586771868.3867288
49,81260,218687,-61880,374499,1586771868.3867388,1586771868.3871813,1586771868.3977277,1586771868.3981795,1586771868.3871775,1586771868.397724,1586771868.3981755,1586771868.3986187
50,80919,218910,-62036,374713,1586771868.398629,1586771868.399071,1586771868.409618,1586771868.410071,1586771868.3990672,1586771868.4096138,1586771868.4100666,1586771868.4105105
51,81374,218608,-62032,374551,1586771868.4105206,1586771868.4109626,1586771868.421511,1586771868.4219623,1586771868.4109585,1586771868.421507,1586771868.4219584,1586771868.432503
52,81093,218822,-61949,374424,1586771868.4325135,1586771868.4330235,1586771868.43347,1586771868.4339192,1586771868.4330196,1586771868.433466,1586771868.4339154,1586771868.4444625
53,81247,218844,-62339,374741,1586771868.4444728,1586771868.4449172,1586771868.4453616,1586771868.4458115,1586771868.4449134,1586771868.4453578,1586771868.4458075,1586771868.4563513
54,80961,218632,-61982,374585,1586771868.4563615,1586771868.456808,1586771868.457256,1586771868.4577057,1586771868.456804,1586771868.4572523,1586771868.457702,1586771868.4682522
55,81415,219201,-62146,374676,1586771868.4682627,1586771868.4687102,1586771868.4691553,1586771868.469606,1586771868.4687061,1586771868.4691513,1586771868.4696019,1586771868.4801497
56,80988,219180,-62091,374774,1586771868.48016,1586771868.4806042,1586771868.481049,1586771868.4814975,1586771868.4806,1586771868.4810452,1586771868.4814937,1586771868.4920392
57,89817,221435,-61942,378640,1586771868.4920497,1586771868.4924912,1586771868.493013,1586771868.4934645,1586771868.4924872,1586771868.4930089,1586771868.4934607,1586771868.5040092
58,138122,236505,-60668,388108,1586771868.50402,1586771868.5044692,1586771868.5049171,1586771868.5053694,1586771868.5044644,1586771868.5049121,1586771868.5053647,1586771868.5159116
59,120545,232493,-57666,378292,1586771868.515923,1586771868.516367,1586771868.5168135,1586771868.517262,1586771868.5163627,1586771868.51681,1586771868.517258,1586771868.527805
60,83972,219327,-61087,375320,1586771868.5278153,1586771868.5282595,1586771868.5287054,1586771868.5291579,1586771868.5282557,1586771868.528701,1586771868.529154,1586771868.5396993
61,91240,222029,-62427,380163,1586771868.5397093,1586771868.540156,1586771868.5406034,1586771868.5410554,1586771868.540152,1586771868.5405993,1586771868.5410514,1586771868.5515974
62,122117,230472,-61458,382475,1586771868.5516076,1586771868.552052,1586771868.5524986,1586771868.5530212,1586771868.552048,1586771868.5524948,1586771868.5530174,1586771868.5635684
63,106881,226057,-60569,377225,1586771868.5635784,1586771868.5640235,1586771868.5644674,1586771868.5649168,1586771868.5640197,1586771868.5644634,1586771868.5649128,1586771868.575456
64,95259,223716,-60856,380668,1586771868.575466,1586771868.5759115,1586771868.5763593,1586771868.5768085,1586771868.5759075,1586771868.5763552,1586771868.5768049,1586771868.5873544
65,117235,231071,-60864,381820,1586771868.5873647,1586771868.5878093,1586771868.5882566,1586771868.5887043,1586771868.5878053,1586771868.5882528,1586771868.5887005,1586771868.5992465
66,113530,226439,-61109,379812,1586771868.5992568,1586771868.599698,1586771868.6001425,1586771868.6005914,1586771868.5996943,1586771868.6001387,1586771868.6005876,1586771868.611132
