,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,80962,218987,-61901,374784,1586771760.5528862,1586771760.553404,1586771760.553934,1586771760.5544271,1586771760.5533996,1586771760.5539298,1586771760.5544229,1586771760.554911
1,81218,219064,-61942,374917,1586771760.5549226,1586771760.5656226,1586771760.5661047,1586771760.566617,1586771760.565618,1586771760.5661,1586771760.5666127,1586771760.5670977
2,81353,218725,-62144,374763,1586771760.5671086,1586771760.5779092,1586771760.5784042,1586771760.578929,1586771760.5778832,1586771760.5783994,1586771760.5789247,1586771760.5794055
3,81052,218967,-62010,374785,1586771760.579418,1586771760.590039,1586771760.5904984,1586771760.5909612,1586771760.5900342,1586771760.5904944,1586771760.5909572,1586771760.591452
4,81168,218855,-62012,374947,1586771760.5914624,1586771760.603857,1586771760.6043413,1586771760.6048212,1586771760.6038477,1586771760.604335,1586771760.604814,1586771760.6052873
5,80812,219016,-62005,374684,1586771760.6053038,1586771760.6160665,1586771760.616524,1586771760.6169882,1586771760.616061,1586771760.6165197,1586771760.6169837,1586771760.6174326
6,81220,218906,-62050,374980,1586771760.6174455,1586771760.6280997,1586771760.6285503,1586771760.6290097,1586771760.6280947,1586771760.6285462,1586771760.6290052,1586771760.6294577
7,81066,218600,-61962,375006,1586771760.6294687,1586771760.640023,1586771760.6404655,1586771760.6409123,1586771760.640019,1586771760.6404617,1586771760.6409085,1586771760.6413517
8,81149,219007,-62137,374803,1586771760.6413615,1586771760.6519172,1586771760.6523643,1586771760.652888,1586771760.6519125,1586771760.6523595,1586771760.6528835,1586771760.6533334
9,81253,218759,-61943,375033,1586771760.6533437,1586771760.6638932,1586771760.664341,1586771760.6647956,1586771760.6638892,1586771760.6643372,1586771760.6647916,1586771760.665234
10,81058,218816,-62104,374702,1586771760.665244,1586771760.6757927,1586771760.676235,1586771760.6766832,1586771760.6757886,1586771760.6762311,1586771760.6766791,1586771760.6771224
11,81408,218861,-62201,374747,1586771760.6771321,1586771760.687679,1586771760.6881256,1586771760.6885765,1586771760.6876752,1586771760.6881218,1586771760.6885724,1586771760.6890175
12,80990,218736,-61997,374892,1586771760.689027,1586771760.6995747,1586771760.7000208,1586771760.7004704,1586771760.6995707,1586771760.700017,1586771760.7004666,1586771760.7009137
13,81265,219064,-62151,374678,1586771760.7009232,1586771760.7114704,1586771760.7119155,1586771760.7224681,1586771760.7114663,1586771760.7119117,1586771760.722464,1586771760.7229784
14,81067,218787,-62080,374805,1586771760.7229886,1586771760.723433,1586771760.7238781,1586771760.734436,1586771760.7234292,1586771760.723874,1586771760.734432,1586771760.7449806
15,81307,218969,-62020,374728,1586771760.7449903,1586771760.7454345,1586771760.7458813,1586771760.7463338,1586771760.7454307,1586771760.7458773,1586771760.74633,1586771760.7568784
16,81026,218522,-62169,374956,1586771760.7568884,1586771760.7573404,1586771760.7577887,1586771760.7582405,1586771760.757335,1586771760.757784,1586771760.758236,1586771760.768789
17,81528,218871,-61930,374806,1586771760.7687998,1586771760.769244,1586771760.7696903,1586771760.7701395,1586771760.7692401,1586771760.7696865,1586771760.7701356,1586771760.780685
18,81050,218620,-62084,374759,1586771760.7806952,1586771760.7811396,1586771760.7815847,1586771760.7820365,1586771760.7811358,1586771760.7815807,1586771760.7820327,1586771760.7925806
19,81188,218852,-61766,374788,1586771760.7925909,1586771760.7931035,1586771760.7935495,1586771760.7940004,1586771760.7930992,1586771760.7935457,1586771760.7939963,1586771760.804548
20,81274,218930,-61957,374718,1586771760.804558,1586771760.8050015,1586771760.805446,1586771760.805896,1586771760.8049974,1586771760.8054419,1586771760.8058915,1586771760.8164399
21,80943,218780,-62171,374766,1586771760.81645,1586771760.8168962,1586771760.8173394,1586771760.8177886,1586771760.8168924,1586771760.8173354,1586771760.8177848,1586771760.8283405
22,81236,219164,-61972,374676,1586771760.8283508,1586771760.8287969,1586771760.8292413,1586771760.8296895,1586771760.8287928,1586771760.8292375,1586771760.8296854,1586771760.8402338
23,80904,218823,-62171,374879,1586771760.8402438,1586771760.8406882,1586771760.8411307,1586771760.8415797,1586771760.8406842,1586771760.841127,1586771760.8415759,1586771760.852123
24,81264,219023,-62028,374936,1586771760.852133,1586771760.8525767,1586771760.8530853,1586771760.853538,1586771760.8525727,1586771760.853081,1586771760.8535337,1586771760.8640835
25,81001,219021,-62151,374904,1586771760.8640935,1586771760.8645437,1586771760.8649895,1586771760.8654432,1586771760.864539,1586771760.8649848,1586771760.8654385,1586771760.8759959
26,80984,218536,-62268,375091,1586771760.8760068,1586771760.8764546,1586771760.876897,1586771760.877347,1586771760.8764505,1586771760.8768933,1586771760.8773432,1586771760.887892
27,81298,218748,-62026,374818,1586771760.8879018,1586771760.888346,1586771760.888791,1586771760.88924,1586771760.888342,1586771760.888787,1586771760.8892362,1586771760.8997846
28,81022,218619,-62213,374765,1586771760.8997943,1586771760.900237,1586771760.9006805,1586771760.9011285,1586771760.900233,1586771760.9006765,1586771760.9011242,1586771760.911673
29,81431,218934,-62120,374807,1586771760.9116833,1586771760.91213,1586771760.912574,1586771760.9130898,1586771760.912126,1586771760.91257,1586771760.913086,1586771760.9236355
30,80968,218745,-62028,374628,1586771760.9236457,1586771760.924092,1586771760.9245355,1586771760.9249861,1586771760.924088,1586771760.9245317,1586771760.9249823,1586771760.935529
31,81158,219004,-61807,374808,1586771760.9355392,1586771760.9460895,1586771760.9465346,1586771760.9469843,1586771760.9460855,1586771760.9465306,1586771760.94698,1586771760.9474263
32,80998,218658,-62061,374639,1586771760.947436,1586771760.9478784,1586771760.958445,1586771760.9588988,1586771760.9478745,1586771760.958441,1586771760.9588943,1586771760.9593456
33,81308,218844,-61963,374756,1586771760.9593554,1586771760.9598005,1586771760.970353,1586771760.970804,1586771760.9597967,1586771760.970349,1586771760.9708,1586771760.971243
34,80914,219075,-62053,375018,1586771760.971253,1586771760.9716976,1586771760.9822443,1586771760.9826958,1586771760.9716935,1586771760.9822402,1586771760.9826915,1586771760.9832115
35,81253,218796,-62300,374725,1586771760.9832218,1586771760.9836729,1586771760.9942303,1586771760.994685,1586771760.9836679,1586771760.9942253,1586771760.9946802,1586771760.9951282
36,81007,218914,-62179,374773,1586771760.9951391,1586771760.9955866,1586771761.0061998,1586771761.006667,1586771760.9955826,1586771761.0061953,1586771761.0066628,1586771761.00711
37,81014,218678,-62297,374670,1586771761.0071206,1586771761.0075665,1586771761.0182333,1586771761.0186963,1586771761.0075624,1586771761.0182288,1586771761.0186918,1586771761.0191457
38,81160,219002,-61996,374645,1586771761.019157,1586771761.0196047,1586771761.0301743,1586771761.0306253,1586771761.0196009,1586771761.0301702,1586771761.0306213,1586771761.0310664
