,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,131978,239403,-65184,374338,1586771800.2019248,1586771800.202425,1586771800.2029467,1586771800.203404,1586771800.2024205,1586771800.2029424,1586771800.2034,1586771800.2038465
1,131205,240024,-65544,374078,1586771800.203857,1586771800.2043018,1586771800.2149289,1586771800.2153876,1586771800.204298,1586771800.2149248,1586771800.2153835,1586771800.2158272
2,134214,241314,-65135,374473,1586771800.2158387,1586771800.2910893,1586771800.2915492,1586771800.2920082,1586771800.2910833,1586771800.291545,1586771800.292004,1586771800.2924488
3,130647,240198,-65147,374376,1586771800.2924597,1586771800.3031023,1586771800.30355,1586771800.3040059,1586771800.303098,1586771800.303546,1586771800.3040018,1586771800.3145492
4,131283,240439,-65258,374682,1586771800.3145597,1586771800.3150125,1586771800.3154569,1586771800.315913,1586771800.3150077,1586771800.3154519,1586771800.3159072,1586771800.3264587
5,130924,240591,-64970,374314,1586771800.3264697,1586771800.3269145,1586771800.3273585,1586771800.3278089,1586771800.3269105,1586771800.3273547,1586771800.3278046,1586771800.3383524
6,131649,240096,-64648,375059,1586771800.3383627,1586771800.3388114,1586771800.3392568,1586771800.33971,1586771800.3388076,1586771800.339253,1586771800.3397062,1586771800.3502567
7,132595,240373,-64307,375801,1586771800.3502672,1586771800.3507156,1586771800.3511624,1586771800.3516183,1586771800.3507116,1586771800.3511586,1586771800.3516145,1586771800.3622005
8,129452,238292,-63917,375812,1586771800.3622112,1586771800.3626611,1586771800.3631847,1586771800.3636398,1586771800.3626566,1586771800.3631797,1586771800.3636353,1586771800.3741906
9,129853,238308,-64109,375468,1586771800.3742018,1586771800.3746455,1586771800.37509,1586771800.3755426,1586771800.3746414,1586771800.375086,1586771800.3755386,1586771800.386095
10,130010,239701,-64693,374589,1586771800.3861055,1586771800.386549,1586771800.386994,1586771800.387445,1586771800.3865452,1586771800.38699,1586771800.3874412,1586771800.3979876
11,131397,240509,-64857,374619,1586771800.3979976,1586771800.3984456,1586771800.3988879,1586771800.3993382,1586771800.3984416,1586771800.398884,1586771800.3993344,1586771800.4098845
12,131984,241401,-64902,374232,1586771800.4098947,1586771800.4103432,1586771800.4107866,1586771800.411236,1586771800.410339,1586771800.4107826,1586771800.411232,1586771800.4217799
13,130869,243005,-64913,372761,1586771800.4217904,1586771800.4222345,1586771800.422678,1586771800.4232428,1586771800.4222307,1586771800.4226742,1586771800.423239,1586771800.4338617
14,125956,249031,-64217,373476,1586771800.4338727,1586771800.4343174,1586771800.4347618,1586771800.4352136,1586771800.4343133,1586771800.434758,1586771800.4352098,1586771800.445765
15,118970,246269,-64960,374092,1586771800.445776,1586771800.446224,1586771800.4466686,1586771800.4471219,1586771800.4462197,1586771800.4466648,1586771800.447118,1586771800.4576674
16,130025,244699,-64663,375273,1586771800.4576778,1586771800.458129,1586771800.4585748,1586771800.4590304,1586771800.458124,1586771800.4585702,1586771800.4590259,1586771800.4695756
17,133391,241426,-64446,375627,1586771800.469587,1586771800.4700341,1586771800.470477,1586771800.4709277,1586771800.47003,1586771800.4704733,1586771800.4709237,1586771800.4814725
18,128746,238698,-64197,375447,1586771800.4814827,1586771800.4819248,1586771800.482368,1586771800.4829407,1586771800.481921,1586771800.4823642,1586771800.4829369,1586771800.4934883
19,131020,239889,-65103,374350,1586771800.4934988,1586771800.504044,1586771800.50449,1586771800.515046,1586771800.50404,1586771800.504486,1586771800.5150418,1586771800.5154877
20,129865,239783,-64942,374270,1586771800.5154977,1586771800.5159383,1586771800.5163834,1586771800.5269487,1586771800.5159345,1586771800.5163796,1586771800.5269444,1586771800.5273893
21,132845,241076,-64957,374568,1586771800.5273995,1586771800.5278435,1586771800.5282888,1586771800.5388405,1586771800.5278397,1586771800.528285,1586771800.5388365,1586771800.539282
22,131090,240245,-64878,374515,1586771800.539292,1586771800.5397387,1586771800.5401855,1586771800.5507386,1586771800.5397348,1586771800.5401814,1586771800.5507345,1586771800.5511801
23,131386,240672,-65115,374642,1586771800.5511904,1586771800.5516362,1586771800.5520833,1586771800.5626373,1586771800.5516322,1586771800.5520792,1586771800.562633,1586771800.563149
24,132327,240962,-64952,374519,1586771800.5631595,1586771800.5636055,1586771800.5640526,1586771800.5746095,1586771800.5636017,1586771800.5640485,1586771800.5746052,1586771800.5750518
25,131985,239798,-64979,374413,1586771800.575062,1586771800.5755126,1586771800.5759623,1586771800.58655,1586771800.5755076,1586771800.5759578,1586771800.586545,1586771800.5869975
26,131720,241135,-65008,374510,1586771800.5870082,1586771800.5874538,1586771800.5878987,1586771800.598455,1586771800.58745,1586771800.5878947,1586771800.5984507,1586771800.5988963
27,131068,240328,-64824,374428,1586771800.5989065,1586771800.5993452,1586771800.599787,1586771800.6103783,1586771800.5993414,1586771800.5997832,1586771800.6103742,1586771800.6108198
28,132383,240481,-65044,374730,1586771800.61083,1586771800.6112738,1586771800.6117175,1586771800.6222734,1586771800.6112697,1586771800.6117136,1586771800.6222692,1586771800.6328833
29,130539,241180,-65109,373884,1586771800.6328938,1586771800.6333404,1586771800.6337855,1586771800.6342351,1586771800.6333363,1586771800.6337814,1586771800.6342313,1586771800.6447787
30,126862,242220,-65084,373459,1586771800.644789,1586771800.6553357,1586771800.6557803,1586771800.6562335,1586771800.6553316,1586771800.6557763,1586771800.6562293,1586771800.6566758
31,129906,241371,-65188,374365,1586771800.6566858,1586771800.6571283,1586771800.6676755,1586771800.6681275,1586771800.6571245,1586771800.6676712,1586771800.6681237,1586771800.6685665
32,133383,240506,-64803,374482,1586771800.6685765,1586771800.6690207,1586771800.679566,1586771800.6800146,1586771800.6690166,1586771800.6795614,1586771800.6800108,1586771800.6804526
33,129825,239602,-64944,374518,1586771800.6804628,1586771800.6809008,1586771800.6914737,1586771800.6919234,1586771800.6808968,1586771800.6914697,1586771800.6919193,1586771800.6923623
34,131627,241140,-65032,374561,1586771800.692372,1586771800.6929233,1586771800.7034717,1586771800.703922,1586771800.6929195,1586771800.7034676,1586771800.7039177,1586771800.7043617
35,132250,239863,-65062,374434,1586771800.7043717,1586771800.7048194,1586771800.715369,1586771800.715824,1586771800.704815,1586771800.7153637,1586771800.7158194,1586771800.7162662
36,130236,240366,-65115,374609,1586771800.7162786,1586771800.7167182,1586771800.7272644,1586771800.7277153,1586771800.7167141,1586771800.72726,1586771800.7277112,1586771800.728154
37,132258,240699,-65232,374599,1586771800.7281635,1586771800.7286062,1586771800.739155,1586771800.7396054,1586771800.7286024,1586771800.739151,1586771800.7396014,1586771800.7400444
38,131290,240140,-65113,374568,1586771800.7400544,1586771800.7404943,1586771800.7510376,1586771800.7514868,1586771800.7404902,1586771800.7510335,1586771800.7514827,1586771800.7519221
39,129956,243740,-65190,374105,1586771800.7519321,1586771800.7523713,1586771800.762991,1586771800.7634435,1586771800.7523673,1586771800.7629867,1586771800.7634397,1586771800.7638834
40,130252,241665,-65166,373783,1586771800.7638936,1586771800.7643318,1586771800.7748775,1586771800.7753277,1586771800.764328,1586771800.7748733,1586771800.7753236,1586771800.7757657
41,128565,241316,-65076,374442,1586771800.7757757,1586771800.7762156,1586771800.7867625,1586771800.7872121,1586771800.7762117,1586771800.7867584,1586771800.7872078,1586771800.787651
42,132267,240932,-64954,374752,1586771800.787661,1586771800.7881045,1586771800.7986531,1586771800.7991042,1586771800.7881007,1586771800.798649,1586771800.7991004,1586771800.7995417
