,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,129413,246185,-65998,372188,1586771835.2249868,1586771835.2254894,1586771835.2259443,1586771835.2264044,1586771835.225485,1586771835.2259402,1586771835.2264001,1586771835.226848
1,137540,241824,-66037,374140,1586771835.226858,1586771835.2374704,1586771835.237924,1586771835.2383814,1586771835.2374659,1586771835.2379198,1586771835.2383773,1586771835.2388237
2,131938,238370,-65027,374658,1586771835.2388341,1586771835.2495363,1586771835.249995,1586771835.2504559,1586771835.2495308,1586771835.2499907,1586771835.2504518,1586771835.2509015
3,133355,238822,-65492,374444,1586771835.2509127,1586771835.2614782,1586771835.2619224,1586771835.2623737,1586771835.261473,1586771835.2619185,1586771835.2623694,1586771835.262953
4,135815,239414,-65711,373726,1586771835.2629638,1586771835.2826533,1586771835.2832873,1586771835.2837703,1586771835.2826464,1586771835.283281,1586771835.2837656,1586771835.2842264
5,136939,240764,-66493,372810,1586771835.2842407,1586771835.2949204,1586771835.2953768,1586771835.2958367,1586771835.2949147,1586771835.2953722,1586771835.2958326,1586771835.306393
6,135956,239845,-65971,374035,1586771835.3064048,1586771835.306851,1586771835.3072956,1586771835.307743,1586771835.3068466,1586771835.3072915,1586771835.307739,1586771835.318288
7,135053,242011,-65640,373383,1586771835.3182983,1586771835.318747,1586771835.3191907,1586771835.3196416,1586771835.318743,1586771835.3191867,1586771835.3196375,1586771835.3301973
8,131166,244004,-65851,372628,1586771835.3302078,1586771835.3306627,1586771835.3311107,1586771835.3315632,1586771835.3306572,1586771835.3311057,1586771835.331558,1586771835.3421123
9,129064,245759,-65997,373173,1586771835.3421235,1586771835.3425717,1586771835.3431222,1586771835.3435729,1586771835.3425677,1586771835.3431184,1586771835.3435688,1586771835.3541217
10,133666,241624,-65616,373850,1586771835.3541322,1586771835.3545792,1586771835.405514,1586771835.405968,1586771835.354575,1586771835.4055097,1586771835.4059637,1586771835.4064078
11,130352,240183,-65124,374053,1586771835.406418,1586771835.4068592,1586771835.4174092,1586771835.4178624,1586771835.406855,1586771835.4174051,1586771835.4178586,1586771835.4284356
12,132376,240671,-65201,373292,1586771835.4284456,1586771835.4288921,1586771835.4293387,1586771835.429792,1586771835.428888,1586771835.4293349,1586771835.429788,1586771835.4403443
13,130859,242299,-65899,373498,1586771835.4403548,1586771835.4408016,1586771835.441246,1586771835.4416974,1586771835.4407978,1586771835.4412417,1586771835.4416935,1586771835.452244
14,131284,240955,-65304,373671,1586771835.4522543,1586771835.4527032,1586771835.453217,1586771835.4536726,1586771835.4526994,1586771835.4532132,1586771835.4536686,1586771835.4642198
15,132148,240553,-65457,373770,1586771835.4642298,1586771835.464678,1586771835.4651244,1586771835.465576,1586771835.4646742,1586771835.4651206,1586771835.465572,1586771835.4761245
16,132967,241742,-65382,373185,1586771835.4761353,1586771835.4765856,1586771835.4770336,1586771835.4774914,1586771835.4765809,1586771835.477029,1586771835.4774868,1586771835.4880412
17,131300,243112,-65599,372989,1586771835.4880521,1586771835.488501,1586771835.488946,1586771835.489397,1586771835.4884973,1586771835.4889421,1586771835.4893932,1586771835.4999514
18,132087,242564,-66099,373135,1586771835.4999619,1586771835.5004094,1586771835.500857,1586771835.5013087,1586771835.5004053,1586771835.5008533,1586771835.5013049,1586771835.5118587
