,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,128515,239705,-64368,375982,1586771964.5435357,1586771964.5440452,1586771964.544505,1586771964.5449734,1586771964.544041,1586771964.5445008,1586771964.5449688,1586771964.545425
1,131608,240346,-63908,376144,1586771964.545435,1586771964.545891,1586771964.5565386,1586771964.5570073,1586771964.5458872,1586771964.5565338,1586771964.5570033,1586771964.5574582
2,130555,239309,-64498,375656,1586771964.5574691,1586771964.557917,1586771964.5685842,1586771964.569049,1586771964.557913,1586771964.568578,1586771964.569045,1586771964.5695112
3,130795,239727,-64199,375740,1586771964.5695226,1586771964.5699737,1586771964.5805404,1586771964.5810022,1586771964.56997,1586771964.5805364,1586771964.5809984,1586771964.5814443
4,130562,239442,-63959,375699,1586771964.5814564,1586771964.5819094,1586771964.5926452,1586771964.5934367,1586771964.5819046,1586771964.5926366,1586771964.5934308,1586771964.5939143
5,129910,239662,-63853,375771,1586771964.5939302,1586771964.5944073,1586771964.6051788,1586771964.605669,1586771964.5944033,1586771964.6051714,1586771964.6056647,1586771964.6061432
6,129321,240067,-63576,376053,1586771964.6061556,1586771964.60661,1586771964.6172826,1586771964.6177526,1586771964.606606,1586771964.6172774,1586771964.617748,1586771964.618204
7,129586,239114,-63963,375638,1586771964.6182182,1586771964.6186697,1586771964.6292355,1586771964.6296937,1586771964.618666,1586771964.6292317,1586771964.6296897,1586771964.6301396
8,129266,239417,-63982,375840,1586771964.6301496,1586771964.6306052,1586771964.6411712,1586771964.6416342,1586771964.6306002,1586771964.641166,1586771964.6416297,1586771964.6420906
9,130175,239279,-63856,375664,1586771964.6421015,1586771964.642552,1586771964.6531823,1586771964.653647,1586771964.642548,1586771964.6531782,1586771964.6536427,1586771964.6540935
10,129765,239402,-64106,375607,1586771964.6541038,1586771964.6545498,1586771964.6651187,1586771964.665581,1586771964.654546,1586771964.6651146,1586771964.6655772,1586771964.666028
11,129690,239945,-63812,375815,1586771964.6660383,1586771964.6664898,1586771964.677063,1586771964.6775231,1586771964.666486,1586771964.6770585,1586771964.6775193,1586771964.6779704
12,130261,237710,-63785,376439,1586771964.6779804,1586771964.6784358,1586771964.6890364,1586771964.6895063,1586771964.6784322,1586771964.6890318,1586771964.6895025,1586771964.6899536
13,132574,234337,-63269,378285,1586771964.6899638,1586771964.6904168,1586771964.7009842,1586771964.7014403,1586771964.690413,1586771964.7009802,1586771964.701436,1586771964.701886
14,132525,235211,-63699,377606,1586771964.701896,1586771964.7023482,1586771964.712978,1586771964.713444,1586771964.7023444,1586771964.7129738,1586771964.71344,1586771964.7138896
15,130728,239044,-64239,376192,1586771964.7138996,1586771964.714352,1586771964.724912,1586771964.7253678,1586771964.7143478,1586771964.7249076,1586771964.725364,1586771964.7258132
16,131426,239732,-64011,376097,1586771964.7258263,1586771964.7262845,1586771964.7368398,1586771964.7373056,1586771964.72628,1586771964.7368345,1586771964.7373009,1586771964.7377543
17,130500,239141,-64025,375828,1586771964.7377653,1586771964.7382164,1586771964.748773,1586771964.7492306,1586771964.7382126,1586771964.748769,1586771964.7492268,1586771964.7496786
18,129041,239751,-63852,375940,1586771964.7496889,1586771964.750135,1586771964.7606874,1586771964.7611477,1586771964.7501311,1586771964.760683,1586771964.7611434,1586771964.7615955
19,130271,239370,-63872,375841,1586771964.7616057,1586771964.7620516,1586771964.7726095,1586771964.7731342,1586771964.7620478,1586771964.7726054,1586771964.7731304,1586771964.7735841
20,129368,239505,-64094,375668,1586771964.773594,1586771964.7740366,1586771964.7845972,1586771964.785052,1586771964.7740328,1586771964.784593,1586771964.7850482,1586771964.785501
21,129538,239736,-63826,375786,1586771964.785511,1586771964.7859612,1586771964.7965555,1586771964.7970123,1586771964.7859573,1586771964.7965517,1586771964.7970083,1586771964.7974591
22,129766,239559,-63917,375663,1586771964.7974694,1586771964.797911,1586771964.8084733,1586771964.8089285,1586771964.797907,1586771964.8084693,1586771964.8089244,1586771964.8093772
23,129694,239918,-64038,375774,1586771964.8093872,1586771964.8098357,1586771964.8203926,1586771964.8208523,1586771964.8098319,1586771964.8203886,1586771964.8208485,1586771964.8212934
24,130475,237960,-63725,377069,1586771964.8213036,1586771964.8217459,1586771964.832303,1586771964.8327544,1586771964.821742,1586771964.832299,1586771964.8327506,1586771964.8332736
25,131260,235294,-63879,377309,1586771964.8332837,1586771964.8337414,1586771964.8443015,1586771964.844765,1586771964.8337364,1586771964.8442965,1586771964.8447602,1586771964.8452125
26,132237,237067,-63861,376623,1586771964.8452234,1586771964.845669,1586771964.856221,1586771964.8566737,1586771964.845665,1586771964.856217,1586771964.85667,1586771964.8571236
27,130826,239440,-63931,375930,1586771964.8571336,1586771964.857582,1586771964.8681324,1586771964.8685908,1586771964.857578,1586771964.8681285,1586771964.868587,1586771964.8791387
28,130537,239639,-63958,375692,1586771964.8791497,1586771964.879601,1586771964.880048,1586771964.8805015,1586771964.879597,1586771964.8800442,1586771964.8804977,1586771964.89106
29,129257,239318,-63862,375706,1586771964.8910716,1586771964.8915174,1586771964.891965,1586771964.8924203,1586771964.8915136,1586771964.8919609,1586771964.8924165,1586771964.9030678
30,129903,239479,-64042,375609,1586771964.9030797,1586771964.9035332,1586771964.9039862,1586771964.9044414,1586771964.9035292,1586771964.9039822,1586771964.9044375,1586771964.9150062
31,129382,239667,-63864,376024,1586771964.915017,1586771964.9154696,1586771964.9159245,1586771964.9163814,1586771964.9154654,1586771964.915921,1586771964.9163775,1586771964.926931
32,130027,238556,-63907,376662,1586771964.926941,1586771964.9273937,1586771964.9278412,1586771964.9283001,1586771964.9273899,1586771964.9278374,1586771964.928296,1586771964.9388533
33,131916,237044,-63622,376906,1586771964.9388633,1586771964.9393137,1586771964.9397657,1586771964.9402237,1586771964.9393098,1586771964.9397619,1586771964.9402196,1586771964.9507847
