,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,83623,217182,-60672,372831,1586772870.8194084,1586772870.819912,1586772870.820364,1586772870.820826,1586772870.8199077,1586772870.82036,1586772870.8208218,1586772870.8314342
1,83931,217212,-60318,372403,1586772870.8314486,1586772870.831902,1586772870.8323522,1586772870.832949,1586772870.8318982,1586772870.8323483,1586772870.8329444,1586772870.8436086
2,83601,217474,-60508,372686,1586772870.8436234,1586772870.8440704,1586772870.8445203,1586772870.844976,1586772870.8440652,1586772870.8445165,1586772870.8449721,1586772870.8555338
3,83476,216866,-60391,372743,1586772870.855546,1586772870.8559897,1586772870.856433,1586772870.856887,1586772870.8559859,1586772870.8564293,1586772870.8568833,1586772870.867574
4,83667,217215,-60316,372583,1586772870.8675911,1586772870.868085,1586772870.8685503,1586772870.8690264,1586772870.8680797,1586772870.8685453,1586772870.869021,1586772870.8797994
5,83287,216944,-60589,372734,1586772870.879814,1586772870.880269,1586772870.880726,1586772870.881196,1586772870.8802648,1586772870.8807216,1586772870.8811886,1586772870.8918543
6,83586,216904,-60445,372730,1586772870.8918686,1586772870.8923147,1586772870.8929305,1586772870.8934057,1586772870.8923106,1586772870.8927555,1586772870.8934014,1586772870.9039602
7,83428,217165,-60770,372743,1586772870.903971,1586772870.9044151,1586772870.904861,1586772870.905308,1586772870.9044116,1586772870.9048574,1586772870.905304,1586772870.9158654
8,83628,217017,-60612,372799,1586772870.915876,1586772870.9163277,1586772870.9167736,1586772870.9172277,1586772870.9163225,1586772870.9167693,1586772870.9172232,1586772870.9277737
9,83580,217446,-60612,372696,1586772870.9277844,1586772870.9282303,1586772870.9286711,1586772870.929165,1586772870.9282265,1586772870.9286675,1586772870.929161,1586772870.9397154
10,83553,217263,-60900,372913,1586772870.9397259,1586772870.940168,1586772870.9406152,1586772870.941064,1586772870.940164,1586772870.9406114,1586772870.94106,1586772870.951632
11,83756,217454,-60524,372711,1586772870.951643,1586772870.9520879,1586772870.9525287,1586772870.95307,1586772870.9520843,1586772870.952525,1586772870.9530642,1586772870.9636235
12,83345,217609,-60446,372659,1586772870.9636343,1586772870.9640756,1586772870.9645202,1586772870.9649668,1586772870.9640718,1586772870.9645166,1586772870.9649627,1586772870.9755185
13,83638,217253,-60431,372882,1586772870.975529,1586772870.9759722,1586772870.9764135,1586772870.9768677,1586772870.9759684,1586772870.97641,1586772870.9768639,1586772870.987411
14,83650,217004,-60705,372767,1586772870.9874218,1586772870.997981,1586772870.998428,1586772870.9988823,1586772870.997977,1586772870.9984243,1586772870.9988787,1586772870.9993277
15,83645,217004,-60602,372694,1586772870.9993377,1586772870.9997766,1586772871.0103645,1586772871.0108297,1586772870.999773,1586772871.010325,1586772871.0108256,1586772871.0112696
16,83239,217357,-60714,372576,1586772871.0112798,1586772871.0117283,1586772871.0222898,1586772871.0227435,1586772871.0117235,1586772871.0222847,1586772871.0227392,1586772871.0232942
17,83730,217133,-60603,372659,1586772871.023306,1586772871.0237474,1586772871.0343032,1586772871.0347538,1586772871.0237434,1586772871.034299,1586772871.0347497,1586772871.0351884
18,83273,217468,-60566,373085,1586772871.0351996,1586772871.035643,1586772871.0461931,1586772871.0466397,1586772871.0356393,1586772871.0461884,1586772871.0466356,1586772871.0470884
19,83505,217254,-60653,372887,1586772871.0470986,1586772871.0475383,1586772871.058092,1586772871.058543,1586772871.0475347,1586772871.0580878,1586772871.058539,1586772871.058988
20,83334,217158,-60527,372869,1586772871.0589983,1586772871.0594397,1586772871.0700264,1586772871.0704758,1586772871.0594358,1586772871.0700226,1586772871.070472,1586772871.0709212
21,83283,217302,-60703,372807,1586772871.070931,1586772871.0713747,1586772871.0819316,1586772871.082381,1586772871.0713708,1586772871.0819275,1586772871.0823772,1586772871.082887
22,83658,217176,-60655,372789,1586772871.0828972,1586772871.0833423,1586772871.0938895,1586772871.094344,1586772871.0833387,1586772871.0938854,1586772871.0943398,1586772871.0947814
