,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,83535,216514,-60411,372120,1586772913.0206676,1586772913.0211635,1586772913.021607,1586772913.0220547,1586772913.0211592,1586772913.0216017,1586772913.0220504,1586772913.022488
1,1048575,216606,-60226,372443,1586772913.0224984,1586772913.033274,1586772913.0337226,1586772913.034172,1586772913.033269,1586772913.0337186,1586772913.0341682,1586772913.034606
2,84092,216474,-60190,372428,1586772913.0346174,1586772913.0961547,1586772913.096602,1586772913.0970519,1586772913.0961497,1586772913.0965977,1586772913.0970476,1586772913.0974846
3,84196,216808,-60303,372196,1586772913.0974963,1586772913.108042,1586772913.1084785,1586772913.108918,1586772913.1080377,1586772913.1084743,1586772913.1089144,1586772913.1093497
4,83974,216624,-60394,372262,1586772913.1093595,1586772913.1199012,1586772913.1203842,1586772913.120833,1586772913.1198967,1586772913.1203797,1586772913.1208284,1586772913.1212695
5,84079,216805,-60341,372541,1586772913.1212807,1586772913.1318696,1586772913.1323073,1586772913.1327496,1586772913.1318653,1586772913.1323037,1586772913.132746,1586772913.1332536
6,83758,216804,-60520,372226,1586772913.133264,1586772913.1438103,1586772913.1442475,1586772913.1446893,1586772913.1438062,1586772913.1442435,1586772913.1446855,1586772913.1451235
7,84011,216407,-60225,372389,1586772913.1451337,1586772913.1556726,1586772913.15611,1586772913.156552,1586772913.1556685,1586772913.1561062,1586772913.1565483,1586772913.156985
8,83820,216678,-60228,372226,1586772913.156995,1586772913.1675382,1586772913.1679802,1586772913.1684234,1586772913.1675336,1586772913.167976,1586772913.168419,1586772913.1688566
9,83941,216505,-60246,372071,1586772913.1688673,1586772913.1794043,1586772913.1798425,1586772913.1802833,1586772913.1794004,1586772913.179839,1586772913.1802797,1586772913.1807148
10,83889,216587,-60066,372254,1586772913.180725,1586772913.1912642,1586772913.1917028,1586772913.1921432,1586772913.19126,1586772913.1916993,1586772913.192139,1586772913.1925755
11,2097151,216635,-60188,372274,1586772913.1925855,1586772913.2031944,1586772913.2036324,1586772913.2040744,1586772913.2031906,1586772913.2036285,1586772913.2040706,1586772913.204506
12,83911,216805,-60454,372112,1586772913.2045157,1586772913.2655604,1586772913.2659962,1586772913.2664368,1586772913.2655566,1586772913.2659924,1586772913.266433,1586772913.266867
13,84089,216601,-60208,372207,1586772913.2668767,1586772913.2774143,1586772913.2778504,1586772913.2782907,1586772913.2774103,1586772913.2778466,1586772913.2782872,1586772913.2787216
14,84053,216892,-60311,372534,1586772913.2787313,1586772913.289272,1586772913.2897081,1586772913.290149,1586772913.2892683,1586772913.289704,1586772913.290145,1586772913.2905803
15,83803,216258,-60345,372388,1586772913.2905903,1586772913.3011277,1586772913.3015654,1586772913.3020058,1586772913.3011239,1586772913.3015616,1586772913.302002,1586772913.3024387
16,84203,216453,-60138,372418,1586772913.302449,1586772913.3130608,1586772913.3135014,1586772913.3139882,1586772913.313056,1586772913.3134968,1586772913.3139834,1586772913.3144252
17,83780,216773,-60393,372259,1586772913.3144367,1586772913.3249793,1586772913.3254216,1586772913.3258648,1586772913.324975,1586772913.325418,1586772913.3258605,1586772913.3262994
18,84149,216605,-60112,372374,1586772913.3263092,1586772913.3368516,1586772913.3372915,1586772913.3377333,1586772913.3368475,1586772913.3372877,1586772913.3377295,1586772913.3381646
19,83986,216830,-60253,372492,1586772913.3381748,1586772913.3487487,1586772913.3491888,1586772913.34964,1586772913.3487446,1586772913.3491848,1586772913.3496358,1586772913.3500762
20,83841,216304,-60345,372230,1586772913.3500865,1586772913.3606346,1586772913.3610756,1586772913.3615184,1586772913.3606308,1586772913.3610718,1586772913.3615146,1586772913.361952
21,84214,216715,-60233,372433,1586772913.3619623,1586772913.372503,1586772913.3730216,1586772913.3734658,1586772913.3724992,1586772913.3730178,1586772913.373462,1586772913.3739414
22,83882,216759,-60493,372280,1586772913.3739517,1586772913.3845048,1586772913.3849442,1586772913.3853893,1586772913.3845005,1586772913.3849404,1586772913.3853858,1586772913.385822
23,84205,216560,-60267,372307,1586772913.3858318,1586772913.396373,1586772913.3968117,1586772913.3972535,1586772913.3963692,1586772913.396808,1586772913.3972495,1586772913.3976872
24,83748,216996,-60457,372393,1586772913.3976972,1586772913.4082353,1586772913.408675,1586772913.409119,1586772913.4082315,1586772913.408671,1586772913.4091153,1586772913.4095542
25,83953,216652,-60550,372203,1586772913.4095643,1586772913.4201117,1586772913.4205556,1586772913.4210033,1586772913.4201071,1586772913.4205506,1586772913.4209986,1586772913.4214385
26,83886,216632,-60315,372402,1586772913.4214492,1586772913.4218864,1586772913.4324274,1586772913.4329405,1586772913.4218826,1586772913.4324234,1586772913.4329364,1586772913.4333773
27,83679,216563,-60344,372483,1586772913.4333875,1586772913.4338238,1586772913.4443715,1586772913.4448173,1586772913.4338202,1586772913.4443676,1586772913.4448135,1586772913.4452543
28,84076,216436,-60045,372305,1586772913.445264,1586772913.4457026,1586772913.4562476,1586772913.456693,1586772913.4456987,1586772913.456244,1586772913.4566891,1586772913.4571269
29,83825,216760,-60112,372493,1586772913.4571366,1586772913.4575713,1586772913.4681115,1586772913.468558,1586772913.4575677,1586772913.4681075,1586772913.468554,1586772913.4689934
30,84202,216447,-60343,372453,1586772913.4690037,1586772913.4694407,1586772913.4799802,1586772913.4804626,1586772913.4694371,1586772913.4799762,1586772913.4804587,1586772913.4808986
31,83939,216724,-60352,372517,1586772913.4809086,1586772913.4813457,1586772913.4918907,1586772913.4923372,1586772913.4813416,1586772913.4918866,1586772913.4923334,1586772913.566797
32,83907,216454,-60443,372238,1586772913.5668104,1586772913.5672586,1586772913.5677004,1586772913.5681446,1586772913.5672545,1586772913.5676966,1586772913.5681407,1586772913.578693
33,83999,216300,-60161,372472,1586772913.5787032,1586772913.5791426,1586772913.5795798,1586772913.580026,1586772913.579139,1586772913.5795763,1586772913.580022,1586772913.5905614
34,84336,216526,-60153,372252,1586772913.5905719,1586772913.591011,1586772913.5914488,1586772913.5918913,1586772913.5910072,1586772913.5914452,1586772913.5918875,1586772913.6024282
35,83882,216540,-60315,372121,1586772913.6024382,1586772913.602956,1586772913.6033995,1586772913.6038465,1586772913.602951,1586772913.603395,1586772913.603842,1586772913.6244836
36,83820,216705,-60523,372438,1586772913.6244953,1586772913.6249335,1586772913.6253715,1586772913.6258147,1586772913.6249294,1586772913.6253679,1586772913.6258109,1586772913.636352
37,83892,216598,-60270,372335,1586772913.6363623,1586772913.6367977,1586772913.6372356,1586772913.6376796,1586772913.636794,1586772913.637232,1586772913.6376758,1586772913.6482513
38,84037,216799,-60344,372464,1586772913.648261,1586772913.6487014,1586772913.6491416,1586772913.6495855,1586772913.6486979,1586772913.6491377,1586772913.6495817,1586772913.6601224
39,83836,216522,-60410,372321,1586772913.6601324,1586772913.660567,1586772913.661003,1586772913.6614444,1586772913.6605632,1586772913.660999,1586772913.6614406,1586772913.671978
