,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,82486,217707,-60693,373310,1586772783.1424778,1586772783.1430368,1586772783.1434824,1586772783.1439283,1586772783.1430326,1586772783.1434782,1586772783.1439245,1586772783.1951954
1,82442,217762,-60864,373217,1586772783.1952164,1586772783.195676,1586772783.196134,1586772783.1966076,1586772783.1956716,1586772783.1961305,1586772783.196604,1586772783.2074826
2,82761,218244,-60644,373311,1586772783.2075012,1586772783.2079573,1586772783.2084067,1586772783.208877,1586772783.207953,1586772783.2084026,1586772783.208873,1586772783.219456
3,82626,218003,-60558,373049,1586772783.2194672,1586772783.2199018,1586772783.2203364,1586772783.220776,1586772783.2198982,1586772783.2203326,1586772783.2207723,1586772783.2313147
4,82777,217915,-60721,373170,1586772783.2313247,1586772783.2317693,1586772783.232206,1586772783.23265,1586772783.231764,1586772783.2322016,1586772783.2326448,1586772783.24325
5,82851,217587,-60525,373104,1586772783.243261,1586772783.243695,1586772783.2441292,1586772783.2445714,1586772783.2436912,1586772783.2441254,1586772783.2445676,1586772783.255107
6,82467,217033,-60723,373060,1586772783.2551167,1586772783.2555513,1586772783.2559836,1586772783.2564242,1586772783.2555473,1586772783.25598,1586772783.2564204,1586772783.2670093
7,82893,217382,-60680,373234,1586772783.2670195,1586772783.2674544,1586772783.2678893,1586772783.2683258,1586772783.2674508,1586772783.2678852,1586772783.2683222,1586772783.2788653
8,82606,217149,-60824,373081,1586772783.278876,1586772783.2793143,1586772783.279751,1586772783.2801936,1586772783.2793093,1586772783.2797468,1586772783.2801893,1586772783.2907307
9,82647,217700,-60659,373310,1586772783.2907417,1586772783.301274,1586772783.3017101,1586772783.3021502,1586772783.30127,1586772783.3017066,1586772783.3021467,1586772783.3025818
10,82439,217602,-60749,373157,1586772783.3025918,1586772783.3132005,1586772783.3136392,1586772783.314081,1586772783.3131962,1586772783.3136353,1586772783.3140771,1586772783.314515
11,82886,217974,-60598,373061,1586772783.3145251,1586772783.3149586,1586772783.3254967,1586772783.3259363,1586772783.314955,1586772783.3254926,1586772783.3259325,1586772783.3263705
12,82621,217815,-60611,373335,1586772783.3263803,1586772783.3268166,1586772783.337355,1586772783.3377993,1586772783.326813,1586772783.337351,1586772783.3377955,1586772783.3483338
13,82915,217857,-60647,373101,1586772783.3483443,1586772783.3487768,1586772783.34921,1586772783.3496482,1586772783.3487728,1586772783.3492062,1586772783.3496447,1586772783.3601797
14,82681,217849,-60535,373169,1586772783.3601897,1586772783.3606222,1586772783.361056,1586772783.3614972,1586772783.3606184,1586772783.3610523,1586772783.3614933,1586772783.3720627
15,82844,217331,-60814,373195,1586772783.372073,1586772783.3725069,1586772783.373013,1586772783.373455,1586772783.3725033,1586772783.373009,1586772783.3734515,1586772783.3839953
16,82515,217288,-60454,373025,1586772783.3840063,1586772783.3945456,1586772783.394985,1586772783.395427,1586772783.3945405,1586772783.3949804,1586772783.3954225,1586772783.395862
17,83014,217436,-60568,373218,1586772783.3958728,1586772783.3963063,1586772783.4068432,1586772783.4072824,1586772783.3963022,1586772783.4068394,1586772783.4072788,1586772783.4077144
18,82631,217619,-60492,372960,1586772783.4077246,1586772783.4081569,1586772783.4186916,1586772783.419131,1586772783.4081533,1586772783.4186878,1586772783.4191272,1586772783.4195633
19,83012,217322,-60812,372923,1586772783.4195735,1586772783.4200053,1586772783.4305437,1586772783.4309833,1586772783.4200015,1586772783.4305398,1586772783.4309795,1586772783.4314165
20,82862,217790,-60577,373113,1586772783.4314263,1586772783.4318576,1586772783.4423957,1586772783.4429128,1586772783.431854,1586772783.4423919,1586772783.442909,1586772783.4433482
21,82817,217697,-60476,373157,1586772783.4433584,1586772783.443792,1586772783.454329,1586772783.5052836,1586772783.4437883,1586772783.4543252,1586772783.5052795,1586772783.505722
22,83079,217682,-60609,372925,1586772783.5057323,1586772783.5061696,1586772783.5066054,1586772783.5171475,1586772783.5061655,1586772783.5066016,1586772783.5171437,1586772783.5175827
23,83009,217321,-60644,372979,1586772783.5175927,1586772783.5180254,1586772783.518459,1586772783.5290043,1586772783.5180216,1586772783.5184555,1586772783.5290003,1586772783.5294387
24,82769,217206,-60346,372881,1586772783.5294487,1586772783.529882,1586772783.530315,1586772783.5408592,1586772783.5298784,1586772783.530311,1586772783.5408554,1586772783.5412934
25,82981,217183,-60580,372800,1586772783.5413034,1586772783.5417414,1586772783.5421767,1586772783.5527194,1586772783.5417361,1586772783.5421724,1586772783.5527148,1586772783.5532281
26,82365,217151,-60506,373025,1586772783.5532393,1586772783.5536737,1586772783.5541074,1586772783.5646544,1586772783.55367,1586772783.5541036,1586772783.5646503,1586772783.5650887
27,82802,217627,-60554,372903,1586772783.565099,1586772783.5655317,1586772783.565965,1586772783.5765355,1586772783.565528,1586772783.5659611,1586772783.5765314,1586772783.5769691
28,82731,217466,-60476,372925,1586772783.5769794,1586772783.5774186,1586772783.5778563,1586772783.5884042,1586772783.5774148,1586772783.5778525,1586772783.5884001,1586772783.5888379
29,82762,217664,-60276,373036,1586772783.5888476,1586772783.5892804,1586772783.589715,1586772783.600257,1586772783.5892763,1586772783.5897114,1586772783.600253,1586772783.600693
30,82933,217721,-60672,372908,1586772783.6007028,1586772783.6011345,1586772783.601568,1586772783.612107,1586772783.601131,1586772783.6015644,1586772783.612103,1586772783.612539
31,82732,217403,-60606,373166,1586772783.6125493,1586772783.6130548,1586772783.613492,1586772783.6240363,1586772783.6130507,1586772783.6134884,1586772783.6240323,1586772783.6244702
32,83041,217663,-60686,372968,1586772783.6244805,1586772783.6249135,1586772783.625347,1586772783.6358886,1586772783.6249096,1586772783.6253433,1586772783.6358845,1586772783.6363237
33,82724,217244,-60637,373011,1586772783.6363342,1586772783.636767,1586772783.6372,1586772783.64774,1586772783.636763,1586772783.6371963,1586772783.647736,1586772783.6481729
34,83004,217147,-60392,373092,1586772783.6481829,1586772783.6486151,1586772783.6490521,1586772783.6595962,1586772783.6486113,1586772783.6490486,1586772783.6595922,1586772783.6600327
35,82818,217173,-60685,372893,1586772783.6600428,1586772783.6604798,1586772783.6609185,1586772783.6714666,1586772783.6604753,1586772783.6609142,1586772783.6714616,1586772783.6719034
36,82808,217021,-60525,373088,1586772783.6719155,1586772783.6723487,1586772783.6728535,1586772783.6834028,1586772783.672345,1586772783.6728494,1586772783.683399,1586772783.6838417
37,83033,217311,-60531,373023,1586772783.683852,1586772783.6842864,1586772783.6847239,1586772783.6952646,1586772783.6842825,1586772783.6847203,1586772783.6952608,1586772783.6957
38,82759,217229,-60647,372971,1586772783.69571,1586772783.6961432,1586772783.6965806,1586772783.707128,1586772783.6961396,1586772783.6965768,1586772783.7071242,1586772783.707565
39,83076,217686,-60512,373177,1586772783.707575,1586772783.7080073,1586772783.7084415,1586772783.7189827,1586772783.7080035,1586772783.708438,1586772783.7189786,1586772783.719418
40,82790,217577,-60617,373013,1586772783.719428,1586772783.7198617,1586772783.7202969,1586772783.730841,1586772783.719858,1586772783.720293,1586772783.730837,1586772783.731278
41,82942,217419,-60379,373118,1586772783.7312877,1586772783.7317216,1586772783.7321599,1586772783.7427046,1586772783.7317178,1586772783.7321558,1586772783.7427008,1586772783.7432218
