,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,83187,217038,-60632,372609,1586772892.3645046,1586772892.3650115,1586772892.3654578,1586772892.3659084,1586772892.3650072,1586772892.3654535,1586772892.365904,1586772892.3663425
1,83942,217379,-60441,372817,1586772892.3663528,1586772892.3769548,1586772892.377401,1586772892.3778532,1586772892.3769505,1586772892.3773975,1586772892.377849,1586772892.37829
2,83444,217187,-60464,372686,1586772892.3783004,1586772892.3787436,1586772892.3893864,1586772892.389839,1586772892.3787382,1586772892.3893816,1586772892.3898346,1586772892.3902764
3,83295,216843,-60827,372402,1586772892.3902879,1586772892.3907251,1586772892.401282,1586772892.401728,1586772892.3907213,1586772892.4012783,1586772892.401724,1586772892.4021616
4,83137,217241,-60800,372750,1586772892.4021716,1586772892.4026139,1586772892.413554,1586772892.4140263,1586772892.4026086,1586772892.4135475,1586772892.414021,1586772892.4144802
5,83127,217083,-60560,372616,1586772892.414495,1586772892.414943,1586772892.4256842,1586772892.4261498,1586772892.4149392,1586772892.4256794,1586772892.4261456,1586772892.426594
6,83783,217184,-60451,372606,1586772892.4266062,1586772892.4270494,1586772892.437697,1586772892.4381566,1586772892.4270453,1586772892.4376924,1586772892.4381526,1586772892.4385924
7,83525,217148,-60561,372636,1586772892.4386039,1586772892.43904,1586772892.4495893,1586772892.4500341,1586772892.4390361,1586772892.4495854,1586772892.45003,1586772892.450468
8,83695,216825,-60794,372487,1586772892.4504783,1586772892.4509218,1586772892.46147,1586772892.4619188,1586772892.450917,1586772892.4614642,1586772892.461914,1586772892.4623582
9,83300,217221,-60474,372731,1586772892.4623687,1586772892.4629338,1586772892.473483,1586772892.4739323,1586772892.4629297,1586772892.4734793,1586772892.4739285,1586772892.4743655
10,83383,217086,-60556,372618,1586772892.4743757,1586772892.4748118,1586772892.4853542,1586772892.4857984,1586772892.474808,1586772892.4853504,1586772892.4857945,1586772892.4862323
11,83872,217273,-60673,372364,1586772892.4862423,1586772892.486679,1586772892.4972215,1586772892.4976661,1586772892.4866753,1586772892.4972177,1586772892.4976623,1586772892.4981005
12,83470,217252,-60476,372641,1586772892.4981105,1586772892.4985468,1586772892.5090857,1586772892.5095265,1586772892.498543,1586772892.5090818,1586772892.5095227,1586772892.509958
13,83715,216978,-60669,372629,1586772892.5099678,1586772892.5104043,1586772892.5209444,1586772892.5213873,1586772892.5104005,1586772892.5209405,1586772892.5213835,1586772892.5218184
14,83410,217110,-60564,372780,1586772892.5218284,1586772892.5222633,1586772892.5328698,1586772892.5333145,1586772892.5222595,1586772892.5328658,1586772892.5333107,1586772892.533751
15,83586,216667,-60637,372674,1586772892.5337608,1586772892.5341985,1586772892.5447385,1586772892.5451806,1586772892.5341947,1586772892.5447347,1586772892.5451767,1586772892.5456123
16,83681,217017,-60585,372569,1586772892.5456223,1586772892.546062,1586772892.5566049,1586772892.5570514,1586772892.5460577,1586772892.5566006,1586772892.557047,1586772892.557486
17,83535,217080,-60398,372778,1586772892.5574965,1586772892.557933,1586772892.568474,1586772892.5689178,1586772892.5579293,1586772892.56847,1586772892.5689137,1586772892.5693512
18,83872,216894,-60668,372550,1586772892.5693612,1586772892.5697944,1586772892.5803623,1586772892.5808067,1586772892.5697904,1586772892.580358,1586772892.580803,1586772892.5812402
19,83500,217173,-60636,372655,1586772892.5812497,1586772892.5816832,1586772892.5922263,1586772892.5926692,1586772892.5816796,1586772892.5922225,1586772892.5926654,1586772892.5931697
20,83736,216946,-60848,372565,1586772892.5931802,1586772892.5936158,1586772892.6041584,1586772892.6046033,1586772892.593612,1586772892.6041546,1586772892.6045995,1586772892.6050372
21,83465,217142,-60757,372307,1586772892.6050472,1586772892.6054833,1586772892.616023,1586772892.6164665,1586772892.6054795,1586772892.616019,1586772892.6164627,1586772892.6169024
22,83652,217285,-60341,372583,1586772892.6169121,1586772892.6173472,1586772892.6278896,1586772892.628334,1586772892.6173434,1586772892.6278856,1586772892.6283302,1586772892.6287696
23,83799,217032,-60674,372550,1586772892.6287794,1586772892.6292148,1586772892.639754,1586772892.6401975,1586772892.629211,1586772892.6397502,1586772892.6401937,1586772892.6406295
24,83386,217095,-60586,372632,1586772892.6406393,1586772892.6410718,1586772892.6516118,1586772892.6520538,1586772892.641068,1586772892.651608,1586772892.65205,1586772892.652486
25,83719,216840,-60535,372827,1586772892.652496,1586772892.653012,1586772892.663561,1586772892.6640067,1586772892.653007,1586772892.6635566,1586772892.664002,1586772892.6745446
26,83647,217152,-60680,372536,1586772892.6745553,1586772892.6749904,1586772892.6754277,1586772892.6758685,1586772892.6749861,1586772892.6754239,1586772892.6758645,1586772892.6864038
27,83486,217212,-60524,372680,1586772892.686414,1586772892.686849,1586772892.6872857,1586772892.6877277,1586772892.6868453,1586772892.687282,1586772892.6877236,1586772892.6982615
28,83395,216875,-60628,372544,1586772892.6982718,1586772892.698708,1586772892.699145,1586772892.6995869,1586772892.6987042,1586772892.699141,1586772892.699583,1586772892.7101219
29,83640,217165,-60527,372621,1586772892.710132,1586772892.7105677,1586772892.7110045,1586772892.7114465,1586772892.710564,1586772892.7110007,1586772892.7114427,1586772892.72198
30,83258,216867,-60682,372795,1586772892.7219906,1586772892.7224247,1586772892.7229333,1586772892.7233784,1586772892.722421,1586772892.7229295,1586772892.7233746,1586772892.7339125
