,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,82842,217356,-60671,372885,1586772848.9173071,1586772848.9178078,1586772848.9182525,1586772848.9187067,1586772848.9178038,1586772848.9182487,1586772848.9187028,1586772848.9191482
1,82734,217372,-60758,372961,1586772848.9191582,1586772848.9297655,1586772848.9302158,1586772848.9306738,1586772848.929761,1586772848.9302118,1586772848.93067,1586772848.9311087
2,83127,217446,-60476,524287,1586772848.9311197,1586772848.9417582,1586772848.9422026,1586772848.942652,1586772848.9417539,1586772848.942199,1586772848.9426482,1586772848.9432275
3,82753,217027,-60705,373196,1586772848.9432404,1586772848.953826,1586772848.954271,1586772848.9547203,1586772848.9538217,1586772848.954267,1586772848.9547162,1586772849.0061343
4,82881,217753,-60431,373233,1586772849.006148,1586772849.006603,1586772849.0070522,1586772849.0075088,1586772849.0065975,1586772849.0070472,1586772849.007504,1586772849.018051
5,83155,217810,-60614,373120,1586772849.018062,1586772849.0185003,1586772849.0290437,1586772849.0294905,1586772849.0184965,1586772849.0290399,1586772849.0294867,1586772849.029926
6,82815,217584,-60638,373109,1586772849.029936,1586772849.030376,1586772849.040921,1586772849.0413716,1586772849.0303724,1586772849.0409172,1586772849.0413675,1586772849.0418088
7,83168,217508,-60689,372724,1586772849.0418186,1586772849.0422552,1586772849.0528815,1586772849.053333,1586772849.0422516,1586772849.0528777,1586772849.0533292,1586772849.0537677
8,83098,217359,-60458,373024,1586772849.0537777,1586772849.054218,1586772849.0648174,1586772849.0652647,1586772849.0542133,1586772849.0648122,1586772849.0652602,1586772849.0657015
9,82917,217141,-60589,373107,1586772849.065712,1586772849.0661495,1586772849.0766976,1586772849.077144,1586772849.0661454,1586772849.0766935,1586772849.0771399,1586772849.0775795
10,83135,217581,-60586,372827,1586772849.0775895,1586772849.0780256,1586772849.088566,1586772849.0890107,1586772849.078022,1586772849.0885625,1586772849.089007,1586772849.0894454
11,82793,217348,-60747,373121,1586772849.0894556,1586772849.0898917,1586772849.1004314,1586772849.1008756,1586772849.0898879,1586772849.1004279,1586772849.1008716,1586772849.101312
12,83152,217586,-60859,373166,1586772849.101322,1586772849.1017606,1586772849.112299,1586772849.1127448,1586772849.1017566,1586772849.1122952,1586772849.1127412,1586772849.1132467
13,82940,217701,-60571,373053,1586772849.113257,1586772849.1136942,1586772849.1242368,1586772849.124681,1586772849.1136904,1586772849.1242328,1586772849.1246772,1586772849.1251144
14,83021,217475,-60632,373065,1586772849.1251245,1586772849.1255593,1586772849.1361003,1586772849.136544,1586772849.1255558,1586772849.1360962,1586772849.1365402,1586772849.136978
15,83098,217759,-60540,372889,1586772849.1369877,1586772849.1374235,1586772849.1479614,1586772849.148406,1586772849.13742,1586772849.1479576,1586772849.148402,1586772849.1488411
16,82838,217423,-60546,373177,1586772849.1488512,1586772849.14929,1586772849.1598332,1586772849.16028,1586772849.1492853,1586772849.1598284,1586772849.1602752,1586772849.160714
17,83191,217534,-60764,372920,1586772849.1607246,1586772849.161161,1586772849.1717014,1586772849.1721458,1586772849.1611571,1586772849.1716976,1586772849.172142,1586772849.1826808
18,82902,217410,-60463,372915,1586772849.182691,1586772849.1831882,1586772849.1836286,1586772849.1840734,1586772849.1831844,1586772849.1836247,1586772849.1840694,1586772849.1946094
19,82784,217104,-60692,373033,1586772849.1946197,1586772849.195056,1586772849.1954944,1586772849.1959379,1586772849.1950524,1586772849.1954906,1586772849.195934,1586772849.206472
20,82826,217401,-60732,372747,1586772849.2064824,1586772849.2069192,1586772849.2073574,1586772849.2078009,1586772849.2069154,1586772849.2073536,1586772849.207797,1586772849.2183402
21,83093,217252,-60590,373114,1586772849.2183502,1586772849.218787,1586772849.2192264,1586772849.2196684,1586772849.2187831,1586772849.2192228,1586772849.2196646,1586772849.230203
