,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,83244,217808,-61327,373233,1586772395.5483212,1586772395.54889,1586772395.5493596,1586772395.5498815,1586772395.5488858,1586772395.5493553,1586772395.5498772,1586772395.5503442
1,82870,217793,-61247,373392,1586772395.5503547,1586772395.56111,1586772395.5615768,1586772395.562064,1586772395.5611053,1586772395.5615728,1586772395.5620599,1586772395.562574
2,82797,217862,-61435,373675,1586772395.5625854,1586772395.5734546,1586772395.5739415,1586772395.5744262,1586772395.5734487,1586772395.5739372,1586772395.5744221,1586772395.57493
3,82504,217460,-61273,373517,1586772395.574941,1586772395.5855234,1586772395.5860279,1586772395.5865095,1586772395.585519,1586772395.586023,1586772395.5865052,1586772395.5869904
4,83120,217964,-61120,373671,1586772395.5870008,1586772395.5979023,1586772395.5984986,1586772395.5990098,1586772395.5978956,1586772395.598462,1586772395.5990043,1586772395.5995398
5,82772,217984,-61252,373436,1586772395.5995564,1586772395.6103995,1586772395.6109607,1586772395.6114829,1586772395.610394,1586772395.610956,1586772395.6114786,1586772395.6119492
6,82584,217712,-61359,373474,1586772395.6119611,1586772395.6227167,1586772395.6233191,1586772395.623861,1586772395.6227098,1586772395.6233144,1586772395.6238565,1586772395.624317
7,82640,217508,-61168,373704,1586772395.6243281,1586772395.63496,1586772395.635425,1586772395.635917,1586772395.6349561,1586772395.635421,1586772395.6359131,1586772395.6363912
8,82524,217250,-61211,373455,1586772395.6364014,1586772395.646984,1586772395.6475074,1586772395.6479976,1586772395.6469789,1586772395.6475027,1586772395.647993,1586772395.648503
9,82962,217785,-61380,373456,1586772395.6485143,1586772395.6590981,1586772395.659567,1586772395.6600666,1586772395.6590939,1586772395.659563,1586772395.6600628,1586772395.6605244
10,82749,217810,-61242,373459,1586772395.6605344,1586772395.6711407,1586772395.6716235,1586772395.6721308,1586772395.6711361,1586772395.6716194,1586772395.6721268,1586772395.6726239
11,83112,217900,-61387,373288,1586772395.6726341,1586772395.673184,1586772395.6837864,1586772395.6842577,1586772395.6731799,1586772395.6837823,1586772395.6842537,1586772395.6847684
12,82807,217833,-61302,373651,1586772395.684779,1586772395.6852398,1586772395.69586,1586772395.6963472,1586772395.6852357,1586772395.6958556,1586772395.6963427,1586772395.6968405
13,82632,217624,-61164,373577,1586772395.6968513,1586772395.6973507,1586772395.7079208,1586772395.708413,1586772395.697347,1586772395.7079167,1586772395.708409,1586772395.7088885
14,82853,218014,-61292,373632,1586772395.7088988,1586772395.70936,1586772395.7200208,1586772395.7205057,1586772395.709356,1586772395.7200167,1586772395.7205014,1586772395.7210126
15,82556,217794,-61217,373624,1586772395.721023,1586772395.7214837,1586772395.7320657,1586772395.7325816,1586772395.7214797,1586772395.7320616,1586772395.7325778,1586772395.733141
16,82974,217570,-61394,373474,1586772395.7331514,1586772395.7336595,1586772395.74423,1586772395.7447562,1586772395.7336545,1586772395.744225,1586772395.7447512,1586772395.7452173
17,82443,217353,-61266,373661,1586772395.7452292,1586772395.745689,1586772395.7562885,1586772395.7567558,1586772395.745685,1586772395.7562842,1586772395.7567515,1586772395.7572508
18,82525,217263,-61101,373501,1586772395.7572613,1586772395.7577195,1586772395.7682981,1586772395.7688234,1586772395.7577157,1586772395.7682939,1586772395.768819,1586772395.769282
19,82647,217753,-61330,373253,1586772395.769292,1586772395.7697911,1586772395.7803612,1586772395.7808793,1586772395.7697873,1586772395.7803571,1586772395.7808754,1586772395.7813563
20,82641,217467,-61133,373333,1586772395.7813663,1586772395.7818248,1586772395.7924345,1586772395.793008,1586772395.781821,1586772395.7924302,1586772395.793004,1586772395.793508
