,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,82400,218229,-61316,373724,1586772572.830415,1586772572.8309274,1586772572.8313835,1586772572.8318486,1586772572.830923,1586772572.8313797,1586772572.8318446,1586772572.8322945
1,82318,218072,-61510,373551,1586772572.8323042,1586772572.8430777,1586772572.8435376,1586772572.8440018,1586772572.8430731,1586772572.8435335,1586772572.8439977,1586772572.8444486
2,82606,218283,-61403,373817,1586772572.8444593,1586772572.8551412,1586772572.855596,1586772572.8560588,1586772572.8551364,1586772572.855592,1586772572.856055,1586772572.8565094
3,82176,217797,-61417,373537,1586772572.856521,1586772572.8670878,1586772572.8675382,1586772572.8679945,1586772572.8670838,1586772572.8675344,1586772572.8679907,1586772572.8684402
4,82581,218068,-61514,373655,1586772572.8684494,1586772572.8791766,1586772572.8796575,1586772572.880143,1586772572.8791692,1586772572.8796525,1586772572.8801365,1586772572.8806136
5,82304,218049,-61347,373797,1586772572.880629,1586772572.891401,1586772572.8918636,1586772572.892335,1586772572.891396,1586772572.8918595,1586772572.8923304,1586772572.8930192
6,82247,217898,-61480,373512,1586772572.8930335,1586772572.9037077,1586772572.904165,1586772572.9046319,1586772572.903703,1586772572.904161,1586772572.9046278,1586772572.9050806
7,82340,218112,-61407,373659,1586772572.9050918,1586772572.9156482,1586772572.9160964,1586772572.9165502,1586772572.9156444,1586772572.9160926,1586772572.9165463,1586772572.9169939
8,82174,217695,-61488,373546,1586772572.9170036,1586772572.9275627,1586772572.9280174,1586772572.9284747,1586772572.9275577,1586772572.9280126,1586772572.9284694,1586772572.9289234
9,82461,217898,-61570,373616,1586772572.9289346,1586772572.939486,1586772572.939935,1586772572.9403882,1586772572.9394822,1586772572.9399314,1586772572.940384,1586772572.940833
10,82129,217938,-61255,373861,1586772572.940843,1586772572.9513953,1586772572.9518466,1586772572.952303,1586772572.9513912,1586772572.9518428,1586772572.952299,1586772572.9527524
11,82399,218075,-61443,373706,1586772572.9528468,1586772572.963423,1586772572.9638727,1586772572.9643257,1586772572.9634192,1586772572.9638689,1586772572.9643219,1586772572.9647732
12,82371,218279,-61258,373779,1586772572.964783,1586772572.9753387,1586772572.9757893,1586772572.976244,1586772572.9753346,1586772572.9757855,1586772572.9762402,1586772572.9766903
13,82230,217973,-61363,373678,1586772572.9766996,1586772572.9872591,1586772572.9877114,1586772572.9881666,1586772572.987255,1586772572.9877076,1586772572.9881628,1586772572.9886122
14,82512,218226,-61467,373705,1586772572.9886215,1586772572.9991746,1586772572.999624,1586772573.0000787,1586772572.9991705,1586772572.9996197,1586772573.0000744,1586772573.0005217
15,82129,218181,-61198,373814,1586772573.0005312,1586772573.0110803,1586772573.0115292,1586772573.0119832,1586772573.0110765,1586772573.0115254,1586772573.011979,1586772573.0124276
16,82595,218117,-61425,373601,1586772573.012437,1586772573.0231173,1586772573.0235734,1586772573.0240314,1586772573.0231118,1586772573.0235684,1586772573.0240269,1586772573.024478
17,82271,218142,-61443,373943,1586772573.0244887,1586772573.0249374,1586772573.0354924,1586772573.0359476,1586772573.0249336,1586772573.0354884,1586772573.0359435,1586772573.0363913
18,82515,217751,-61533,373889,1586772573.036401,1586772573.0368488,1586772573.047403,1586772573.0579534,1586772573.036845,1586772573.0473988,1586772573.057949,1586772573.0584006
19,82535,218150,-61651,373805,1586772573.0584102,1586772573.058858,1586772573.0593069,1586772573.0698717,1586772573.058854,1586772573.0593033,1586772573.0698676,1586772573.0703204
20,82225,218160,-61274,374121,1586772573.0703306,1586772573.0707796,1586772573.0712268,1586772573.0817845,1586772573.0707757,1586772573.071223,1586772573.0817804,1586772573.0822308
21,82537,218029,-61518,373797,1586772573.0822406,1586772573.0826893,1586772573.0832062,1586772573.093766,1586772573.0826855,1586772573.0832024,1586772573.0937614,1586772573.094212
22,82455,218273,-61448,373824,1586772573.094222,1586772573.09467,1586772573.0951176,1586772573.1056733,1586772573.0946662,1586772573.095114,1586772573.105669,1586772573.1061199
23,82381,218041,-61374,373778,1586772573.10613,1586772573.1065762,1586772573.1070206,1586772573.1175835,1586772573.1065724,1586772573.1070166,1586772573.1175797,1586772573.118031
24,82307,218318,-61583,373674,1586772573.1180408,1586772573.1184895,1586772573.1189806,1586772573.1295707,1586772573.1184857,1586772573.1189766,1586772573.129567,1586772573.1300166
25,82603,218042,-61427,373914,1586772573.1300268,1586772573.1304817,1586772573.1309314,1586772573.1414967,1586772573.1304767,1586772573.1309268,1586772573.1414917,1586772573.1419468
26,82340,218015,-61699,373721,1586772573.1419575,1586772573.1424046,1586772573.1429236,1586772573.1534822,1586772573.1424007,1586772573.1429198,1586772573.1534781,1586772573.153927
27,82701,217759,-61609,373841,1586772573.1539369,1586772573.1543846,1586772573.205322,1586772573.2057784,1586772573.1543806,1586772573.205318,1586772573.2057743,1586772573.2062268
28,82084,218238,-61446,373705,1586772573.2062368,1586772573.206687,1586772573.2172434,1586772573.217699,1586772573.2066832,1586772573.2172396,1586772573.2176952,1586772573.2181435
29,82360,217910,-61484,373728,1586772573.2181532,1586772573.2186003,1586772573.2291539,1586772573.2296097,1586772573.2185965,1586772573.2291496,1586772573.2296057,1586772573.2300544
30,81915,218076,-61527,373942,1586772573.2300642,1586772573.2305114,1586772573.2410638,1586772573.2415197,1586772573.2305076,1586772573.2410598,1586772573.2415156,1586772573.2419655
31,82400,218141,-61343,373582,1586772573.2419755,1586772573.2424235,1586772573.253049,1586772573.253507,1586772573.24242,1586772573.253045,1586772573.253503,1586772573.253953
32,82266,217828,-61599,373791,1586772573.253963,1586772573.254411,1586772573.264965,1586772573.2654202,1586772573.2544072,1586772573.264961,1586772573.2654161,1586772573.2658644
33,82224,218070,-61420,373749,1586772573.2658744,1586772573.2663217,1586772573.2768724,1586772573.277328,1586772573.2663176,1586772573.2768683,1586772573.2773242,1586772573.2777734
