,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,82078,218303,-61360,374153,1586772485.5196347,1586772485.520152,1586772485.5206084,1586772485.521078,1586772485.5201478,1586772485.5206044,1586772485.5210743,1586772485.521531
1,82315,218173,-1,373779,1586772485.5215409,1586772485.5321662,1586772485.5326965,1586772485.5332818,1586772485.5321615,1586772485.5326924,1586772485.5332775,1586772485.5337355
2,82365,218464,-63057,377816,1586772485.5337465,1586772485.544423,1586772485.5448842,1586772485.596368,1586772485.5444183,1586772485.5448804,1586772485.5963626,1586772485.5968297
3,152760,232496,-59836,376035,1586772485.5968425,1586772485.597299,1586772485.5977564,1586772485.6083465,1586772485.597295,1586772485.5977523,1586772485.608342,1586772485.6087987
4,102288,234844,-62247,373881,1586772485.6088095,1586772485.609271,1586772485.6097271,1586772485.620298,1586772485.6092658,1586772485.6097221,1586772485.6202931,1586772485.6207547
5,84798,219151,-61833,374619,1586772485.6207657,1586772485.6212196,1586772485.6216726,1586772485.6322365,1586772485.6212156,1586772485.6216688,1586772485.6322324,1586772485.6326842
6,104951,221637,-61220,374805,1586772485.6326942,1586772485.6332247,1586772485.6336799,1586772485.6442413,1586772485.6332207,1586772485.633676,1586772485.6442373,1586772485.6446927
7,100285,227133,-62200,373708,1586772485.6447024,1586772485.6451511,1586772485.6455998,1586772485.656165,1586772485.6451473,1586772485.6455963,1586772485.6561608,1586772485.6566143
8,87141,219371,-60947,375702,1586772485.656624,1586772485.6570802,1586772485.6575367,1586772485.6681018,1586772485.657075,1586772485.657532,1586772485.6680973,1586772485.668554
9,109458,225377,-61130,375201,1586772485.6685648,1586772485.669019,1586772485.669474,1586772485.6800346,1586772485.669015,1586772485.6694698,1586772485.6800303,1586772485.6804845
10,108745,229283,-62528,374684,1586772485.6804945,1586772485.6809454,1586772485.6813953,1586772485.6919556,1586772485.6809416,1586772485.6813915,1586772485.6919515,1586772485.6924028
11,105968,224531,-61708,375273,1586772485.6924126,1586772485.6929479,1586772485.6934047,1586772485.703965,1586772485.6929438,1586772485.6934009,1586772485.703961,1586772485.7044156
12,113060,227864,-61818,375817,1586772485.7044256,1586772485.7048774,1586772485.7053297,1586772485.715891,1586772485.7048736,1586772485.705326,1586772485.715887,1586772485.7163436
13,118751,229968,-61862,376099,1586772485.7163537,1586772485.7168045,1586772485.7172563,1586772485.727833,1586772485.716801,1586772485.7172525,1586772485.727829,1586772485.7383845
14,137565,236489,-61960,376940,1586772485.7383943,1586772485.7388897,1586772485.7393408,1586772485.7398033,1586772485.7388856,1586772485.7393372,1586772485.7397995,1586772485.7503603
15,143787,238168,-63199,376923,1586772485.7503707,1586772485.750826,1586772485.7512767,1586772485.7517362,1586772485.750822,1586772485.751273,1586772485.751732,1586772485.762285
16,151268,240843,-62930,377521,1586772485.7622948,1586772485.762753,1586772485.763276,1586772485.7637386,1586772485.7627482,1586772485.7632713,1586772485.7637339,1586772485.7742918
17,156343,245231,-61455,378345,1586772485.7743025,1586772485.7747548,1586772485.7752054,1586772485.775665,1586772485.774751,1586772485.7752016,1586772485.7756612,1586772485.7862191
18,157384,251884,-60291,375788,1586772485.7862296,1586772485.7866843,1586772485.7871351,1586772485.787594,1586772485.7866802,1586772485.7871313,1586772485.78759,1586772485.798142
19,166601,258611,-64717,374393,1586772485.7981517,1586772485.7986035,1586772485.7990534,1586772485.7995112,1586772485.7985997,1586772485.7990491,1586772485.7995076,1586772485.8100657
20,168574,259968,-64914,373631,1586772485.8100765,1586772485.8105307,1586772485.8109798,1586772485.811438,1586772485.8105266,1586772485.810976,1586772485.8114343,1586772485.8219883
21,168623,260510,-65530,373691,1586772485.8219984,1586772485.8224494,1586772485.8229666,1586772485.8234277,1586772485.8224454,1586772485.822963,1586772485.8234239,1586772485.8339787
22,167955,259878,-65505,373608,1586772485.833989,1586772485.8344433,1586772485.834895,1586772485.8353543,1586772485.8344395,1586772485.834891,1586772485.8353505,1586772485.8459048
23,167876,259530,-65633,373299,1586772485.8459148,1586772485.846366,1586772485.8468165,1586772485.8473146,1586772485.846362,1586772485.8468127,1586772485.8473108,1586772485.8578696
24,168736,259907,-65890,373856,1586772485.8578799,1586772485.8583326,1586772485.8587844,1586772485.8592417,1586772485.8583288,1586772485.8587806,1586772485.859238,1586772485.8697891
25,169912,259572,-65786,373716,1586772485.8697994,1586772485.8702545,1586772485.8707087,1586772485.87117,1586772485.8702502,1586772485.8707044,1586772485.871166,1586772485.8817244
26,170994,259987,-65936,373827,1586772485.881735,1586772485.882189,1586772485.8826387,1586772485.8831708,1586772485.8821852,1586772485.8826346,1586772485.8831666,1586772485.893725
27,181088,263838,-67364,374347,1586772485.8937352,1586772485.8941877,1586772485.89464,1586772485.895099,1586772485.8941839,1586772485.894636,1586772485.895095,1586772485.9056768
28,196535,267638,-66800,376349,1586772485.9056869,1586772485.906137,1586772485.9065895,1586772485.9070466,1586772485.9061332,1586772485.9065857,1586772485.9070427,1586772485.9175982
29,193482,262203,-65295,378065,1586772485.9176087,1586772485.9180608,1586772485.918515,1586772485.9189756,1586772485.9180567,1586772485.9185114,1586772485.9189713,1586772485.929531
