,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,81578,217837,-61306,374113,1586772449.3917468,1586772449.392267,1586772449.3929179,1586772449.3934004,1586772449.3922627,1586772449.3929126,1586772449.3933957,1586772449.3938575
1,81652,217847,-61078,373815,1586772449.3938682,1586772449.4045784,1586772449.4050467,1586772449.4055653,1586772449.4045734,1586772449.4050426,1586772449.405561,1586772449.4060295
2,82006,217937,-61467,373801,1586772449.4060407,1586772449.4167984,1586772449.4172716,1586772449.4177585,1586772449.4167933,1586772449.4172652,1586772449.4177544,1586772449.4182622
3,82070,217967,-61493,373833,1586772449.4182878,1586772449.4288812,1586772449.4293818,1586772449.4298487,1586772449.428877,1586772449.4293778,1586772449.4298444,1586772449.4303296
4,81968,218538,-61367,False,1586772449.4303393,1586772449.441212,1586772449.4418204,1586772449.4423523,1586772449.4412057,1586772449.4418137,1586772449.4423468,1586772449.4430034
5,82145,218362,-61492,373856,1586772449.443035,1586772449.4538352,1586772449.4544272,1586772449.4549143,1586772449.4538307,1586772449.4544227,1586772449.45491,1586772449.4656827
6,81781,218269,-61207,374128,1586772449.4656966,1586772449.4661665,1586772449.4666889,1586772449.4671671,1586772449.4661624,1586772449.4666843,1586772449.4671628,1586772449.4777462
7,82002,218362,-61376,373969,1586772449.477757,1586772449.4782534,1586772449.4787455,1586772449.4893599,1586772449.4782493,1586772449.4787412,1586772449.4893556,1586772449.489819
8,81822,218113,-61342,373664,1586772449.4898293,1586772449.4903243,1586772449.490811,1586772449.5013888,1586772449.4903176,1586772449.4908063,1586772449.5013843,1586772449.5018957
9,81987,218343,-61525,373828,1586772449.5019069,1586772449.5023692,1586772449.5030036,1586772449.513585,1586772449.502365,1586772449.5029993,1586772449.513581,1586772449.5140722
10,82096,218052,-61480,373746,1586772449.5140822,1586772449.5145879,1586772449.565599,1586772449.5660717,1586772449.5145838,1586772449.5655947,1586772449.5660677,1586772449.5665534
11,82030,218379,-61211,373995,1586772449.566564,1586772449.5670435,1586772449.577658,1586772449.578162,1586772449.5670395,1586772449.5776534,1586772449.578158,1586772449.5786555
12,81923,218100,-61347,373901,1586772449.5786657,1586772449.5791693,1586772449.5897398,1586772449.5902169,1586772449.579165,1586772449.5897355,1586772449.590213,1586772449.5907083
13,82257,218492,-61339,373906,1586772449.5907185,1586772449.5911784,1586772449.6017888,1586772449.6022542,1586772449.5911744,1586772449.6017842,1586772449.6022503,1586772449.6027453
14,81649,218078,-61233,374011,1586772449.6027553,1586772449.6033285,1586772449.6139073,1586772449.614407,1586772449.6033244,1586772449.6139028,1586772449.6144028,1586772449.6148636
15,81993,217978,-61365,373933,1586772449.6148734,1586772449.6153657,1586772449.6259387,1586772449.626432,1586772449.6153617,1586772449.6259344,1586772449.6264281,1586772449.6269233
16,81511,218182,-61180,374099,1586772449.6269338,1586772449.6273975,1586772449.638008,1586772449.6384819,1586772449.6273894,1586772449.638003,1586772449.6384764,1586772449.6389518
17,81919,217710,-61281,374047,1586772449.6389627,1586772449.6394708,1586772449.650039,1586772449.6505628,1586772449.639467,1586772449.6500347,1586772449.650559,1586772449.6510215
18,82093,218041,-61301,373800,1586772449.6510315,1586772449.6514988,1586772449.6620953,1586772449.6625638,1586772449.651495,1586772449.6620913,1586772449.6625597,1586772449.6631346
19,81839,218024,-61269,373963,1586772449.6631472,1586772449.6636415,1586772449.674253,1586772449.6747484,1586772449.6636374,1586772449.6742487,1586772449.6747446,1586772449.6752148
20,82070,218063,-61703,373787,1586772449.6752248,1586772449.6757164,1586772449.6862872,1586772449.6867971,1586772449.6757123,1586772449.6862824,1586772449.6867929,1586772449.6872537
21,81701,218324,-61357,373894,1586772449.687264,1586772449.6877828,1586772449.6983795,1586772449.6988618,1586772449.6877637,1586772449.6983755,1586772449.698858,1586772449.69936
22,82282,218189,-61374,373924,1586772449.69937,1586772449.6998308,1586772449.7104366,1586772449.7109053,1586772449.6998267,1586772449.7104325,1586772449.7109015,1586772449.7113779
23,82049,218459,-61330,373882,1586772449.7113879,1586772449.711898,1586772449.7224932,1586772449.7230823,1586772449.7118914,1586772449.7224889,1586772449.7230783,1586772449.7235422
24,82040,218475,-61148,374079,1586772449.7235525,1586772449.724037,1586772449.7346547,1586772449.7351239,1586772449.7240317,1586772449.7346504,1586772449.7351198,1586772449.7356412
25,82136,218442,-61384,373883,1586772449.735654,1586772449.7361197,1586772449.7467456,1586772449.7472177,1586772449.7361152,1586772449.7467408,1586772449.7472131,1586772449.7476852
26,81701,218441,-61232,373827,1586772449.747696,1586772449.7481892,1586772449.758756,1586772449.759263,1586772449.748185,1586772449.758752,1586772449.759259,1586772449.7597556
27,82159,217866,-61371,373918,1586772449.7597659,1586772449.7602358,1586772449.770822,1586772449.7712917,1586772449.760232,1586772449.7708178,1586772449.7712874,1586772449.7717893
28,81741,218075,-61366,373729,1586772449.7717996,1586772449.7722547,1586772449.7830029,1586772449.7834945,1586772449.7722507,1586772449.7829988,1586772449.7834904,1586772449.7839768
29,82061,218033,-61261,373959,1586772449.783987,1586772449.7844958,1586772449.795072,1586772449.7955816,1586772449.7844918,1586772449.7950678,1586772449.7955775,1586772449.7960413
30,82146,218016,-61521,373873,1586772449.7960517,1586772449.7965584,1586772449.8071437,1586772449.8076572,1586772449.7965543,1586772449.8071373,1586772449.807653,1586772449.8081474
31,81901,218292,-61311,373995,1586772449.8081577,1586772449.8086526,1586772449.819261,1586772449.8197303,1586772449.8086486,1586772449.819257,1586772449.8197262,1586772449.8201962
32,82085,217882,-61325,373981,1586772449.8202062,1586772449.8207002,1586772449.8312879,1586772449.831806,1586772449.8206964,1586772449.8312657,1586772449.8318021,1586772449.8322625
33,81714,218325,-61250,374194,1586772449.83229,1586772449.8969615,1586772449.8974369,1586772449.8979466,1586772449.8969567,1586772449.8974323,1586772449.8979425,1586772449.898432
34,81867,218058,-61405,373875,1586772449.8984423,1586772449.909062,1586772449.9095426,1586772449.9100041,1586772449.9090579,1586772449.9095385,1586772449.9100003,1586772449.9105015
35,81961,217925,-61086,374017,1586772449.9105117,1586772449.9210885,1586772449.9215808,1586772449.9220695,1586772449.9210837,1586772449.921576,1586772449.9220648,1586772449.922557
36,2097151,218125,-61348,373908,1586772449.9225686,1586772449.9332917,1586772449.9337544,1586772449.934262,1586772449.9332874,1586772449.9337506,1586772449.934258,1586772449.9347198
37,81920,218464,-61265,373748,1586772449.9347296,1586772449.9958599,1586772449.9963286,1586772449.9968374,1586772449.9958553,1586772449.9963245,1586772449.9968336,1586772449.9972954
