,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,15878,339160,-158862,411564,1583773126.148318,1583773126.1485822,1583773126.1488857,1583773126.1491227,15878,339160,-158862,411564
1,15979,339157,-159022,411529,1583773126.1493545,1583773126.159702,1583773126.159928,1583773126.1601596,15979,339157,-159022,411529
2,15941,339147,-158956,411597,1583773126.1603885,1583773126.1807673,1583773126.1809943,1583773126.181223,15941,339147,-158956,411597
3,16007,339223,-158849,411548,1583773126.1814508,1583773126.1917515,1583773126.1919773,1583773126.1922057,16007,339223,-158849,411548
4,15885,339190,-158888,411666,1583773126.192433,1583773126.2028122,1583773126.2030425,1583773126.203278,15885,339190,-158888,411666
5,15807,339257,-158977,411726,1583773126.2035112,1583773126.2138147,1583773126.2140396,1583773126.2142692,15807,339257,-158977,411726
6,15917,339380,-158935,411703,1583773126.2144976,1583773126.224802,1583773126.2351692,1583773126.2354066,15917,339380,-158935,411703
7,15873,339116,-159103,411590,1583773126.2356389,1583773126.235865,1583773126.2462544,1583773126.2464943,15873,339116,-159103,411590
8,15975,339204,-159187,411589,1583773126.2467265,1583773126.2469583,1583773126.25727,1583773126.2575028,15975,339204,-159187,411589
9,15977,339316,-159071,524287,1583773126.257733,1583773126.257956,1583773126.268398,1583773126.2686381,15977,339316,-159071,524287
10,16131,339338,-159019,411569,1583773126.2689695,1583773126.269194,1583773126.2795684,1583773126.2798076,16131,339338,-159019,411569
11,16136,339346,-158946,411554,1583773126.330618,1583773126.3308508,1583773126.331077,1583773126.3313127,16136,339346,-158946,411554
12,16004,339218,-159035,411426,1583773126.3417852,1583773126.3420262,1583773126.3422608,1583773126.3425124,16004,339218,-159035,411426
13,16074,339230,-159100,411639,1583773126.352885,1583773126.3531103,1583773126.3533356,1583773126.3535683,16074,339230,-159100,411639
14,15860,339255,-158912,411627,1583773126.374139,1583773126.374369,1583773126.3745952,1583773126.3748314,15860,339255,-158912,411627
15,15960,339370,-158831,411590,1583773126.385146,1583773126.385371,1583773126.3855956,1583773126.3858254,15960,339370,-158831,411590
16,15819,339367,-158992,411679,1583773126.3961966,1583773126.39643,1583773126.3966591,1583773126.3968954,15819,339367,-158992,411679
17,15866,339365,-159122,411543,1583773126.4072862,1583773126.4075136,1583773126.407742,1583773126.4079769,15866,339365,-159122,411543
18,15908,339231,-158966,411713,1583773126.4182897,1583773126.418514,1583773126.4188042,1583773126.419033,15908,339231,-158966,411713
19,15952,339230,-158793,411734,1583773126.4293406,1583773126.429564,1583773126.439891,1583773126.4401248,15952,339230,-158793,411734
20,15951,339396,-158780,411806,1583773126.4403548,1583773126.440578,1583773126.450885,1583773126.451116,15951,339396,-158780,411806
21,15902,339238,-159067,411703,1583773126.4513464,1583773126.45157,1583773126.4618788,1583773126.4621098,15902,339238,-159067,411703
22,16073,339097,-159076,411576,1583773126.4623396,1583773126.4625616,1583773126.4728897,1583773126.4731238,16073,339097,-159076,411576
23,16086,338933,-159031,411555,1583773126.483511,1583773126.4837396,1583773126.4839659,1583773126.4842,16086,338933,-159031,411555
24,16091,339008,-159126,411615,1583773126.4945405,1583773126.494768,1583773126.4949963,1583773126.495228,16091,339008,-159126,411615
25,15822,339380,-159209,411649,1583773126.5056548,1583773126.5058923,1583773126.5061216,1583773126.506358,15822,339380,-159209,411649
26,15833,339234,-159158,411623,1583773126.5167623,1583773126.516991,1583773126.517218,1583773126.5174537,15833,339234,-159158,411623
27,15940,339367,-158956,411486,1583773126.5277724,1583773126.5279963,1583773126.5282223,1583773126.5284517,15940,339367,-158956,411486
28,15978,339248,-158894,411578,1583773126.5389225,1583773126.539152,1583773126.5393777,1583773126.539612,15978,339248,-158894,411578
29,16034,339076,-159048,411572,1583773126.5499957,1583773126.550222,1583773126.5504487,1583773126.5506818,16034,339076,-159048,411572
30,16032,339225,-159143,411719,1583773126.5609946,1583773126.5612185,1583773126.571577,1583773126.571814,16032,339225,-159143,411719
31,16098,339076,-159175,411768,1583773126.5822947,1583773126.582532,1583773126.5827641,1583773126.5830069,16098,339076,-159175,411768
32,16110,339121,-159076,411611,1583773126.5934196,1583773126.593646,1583773126.5938728,1583773126.5941048,16110,339121,-159076,411611
33,16178,339253,-159005,411509,1583773126.6045072,1583773126.604737,1583773126.6049635,1583773126.6051998,16178,339253,-159005,411509
34,16063,339189,-159010,False,1583773126.6156666,1583773126.6158943,1583773126.6161208,1583773126.6163566,16063,339189,-159010,False
35,16093,339411,-159040,411690,1583773126.6268463,1583773126.62734,1583773126.627801,1583773126.6282759,16093,339411,-159040,411690
36,16195,339045,-159045,411581,1583773126.7001512,1583773126.700606,1583773126.7010584,1583773126.7015219,16195,339045,-159045,411581
37,16007,339214,-159048,411727,1583773126.7124825,1583773126.7129488,1583773126.7134092,1583773126.7138815,16007,339214,-159048,411727
38,15943,339423,-159127,411739,1583773126.7245867,1583773126.725038,1583773126.725779,1583773126.7262492,15943,339423,-159127,411739
