,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,65014,257961,4584,450956,1584459905.7135541,1584459905.7140794,1584459905.7145488,1584459905.7150095,65014,257961,4584,450956
1,63521,310696,19041,448134,1584459905.715472,1584459905.726102,1584459905.7265587,1584459905.727017,63521,310696,19041,448134
2,68680,299169,20557,453235,1584459905.7274876,1584459905.7381709,1584459905.7386417,1584459905.7390947,68680,299169,20557,453235
3,79031,325816,33328,456647,1584459905.7395587,1584459905.750313,1584459905.750775,1584459905.751228,79031,325816,33328,456647
4,78883,324372,26360,454050,1584459905.7516928,1584459905.7624054,1584459905.7628949,1584459905.7633672,78883,324372,26360,454050
5,79444,312700,17681,454414,1584459905.7638526,1584459905.77458,1584459905.775079,1584459905.7755592,79444,312700,17681,454414
6,85005,314734,22437,458627,1584459905.7760396,1584459905.786878,1584459905.7873616,1584459905.7878282,85005,314734,22437,458627
7,88028,326336,30165,461546,1584459905.7883162,1584459905.7992873,1584459905.79979,1584459905.8003953,88028,326336,30165,461546
8,93006,337760,40683,466247,1584459905.8008687,1584459905.8114667,1584459905.811928,1584459905.8123815,93006,337760,40683,466247
9,96511,352589,50038,468742,1584459905.8128462,1584459905.8234265,1584459905.8238852,1584459905.8243384,96511,352589,50038,468742
10,99740,359118,55374,472738,1584459905.8247995,1584459905.8353813,1584459905.8358397,1584459905.8362918,99740,359118,55374,472738
11,104646,367864,62068,476300,1584459905.8468585,1584459905.847312,1584459905.847767,1584459905.848218,104646,367864,62068,476300
12,108363,375654,68226,480325,1584459905.8588343,1584459905.8592901,1584459905.8597462,1584459905.8603222,108363,375654,68226,480325
13,113377,385296,76751,485353,1584459905.8708928,1584459905.871346,1584459905.8718019,1584459905.8722532,113377,385296,76751,485353
14,117877,397992,86663,489925,1584459905.8828454,1584459905.8832986,1584459905.8837538,1584459905.8842065,117877,397992,86663,489925
15,121905,409144,95772,494916,1584459905.89477,1584459905.8952274,1584459905.8956878,1584459905.896149,121905,409144,95772,494916
16,126841,421074,105815,499788,1584459905.9067461,1584459905.907206,1584459905.9076662,1584459905.9081213,126841,421074,105815,499788
17,131873,433620,114904,503971,1584459905.9187207,1584459905.91918,1584459905.9196372,1584459905.9201818,131873,433620,114904,503971
18,136430,442402,120985,506792,1584459905.9307573,1584459905.9312105,1584459905.9316657,1584459905.9321167,136430,442402,120985,506792
19,139462,448949,125657,508266,1584459905.9427018,1584459905.9431555,1584459905.9436123,1584459905.9440622,139462,448949,125657,508266
20,141684,453559,127797,507171,1584459905.9546537,1584459905.9551103,1584459905.9555678,1584459905.9560173,141684,453559,127797,507171
21,140671,451336,123988,503890,1584459905.9665952,1584459905.9670491,1584459905.967505,1584459905.9679554,140671,451336,123988,503890
22,137049,440498,113923,499579,1584459905.9785774,1584459905.9790297,1584459905.9794836,1584459905.9799318,137049,440498,113923,499579
