,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,87737,221483,-62128,373602,1587474370.769146,1587474370.769629,1587474370.770063,1587474370.7806504,1587474370.7696245,1587474370.7700589,1587474370.780646,1587474370.7810838
1,103194,222724,-62792,374664,1587474370.7810953,1587474370.7815259,1587474370.7819555,1587474370.792609,1587474370.7815216,1587474370.7819517,1587474370.7926042,1587474370.7930408
2,262143,225553,-63195,373855,1587474370.7930534,1587474370.7935996,1587474370.7940328,1587474370.804588,1587474370.793595,1587474370.7940283,1587474370.804584,1587474370.8050163
3,104380,224079,-61590,375576,1587474370.8050268,1587474370.8562744,1587474370.8567142,1587474370.8571627,1587474370.8562694,1587474370.8567104,1587474370.8571577,1587474370.8575969
4,109553,225624,-62081,375539,1587474370.85761,1587474370.868156,1587474370.868594,1587474370.869036,1587474370.8681507,1587474370.8685894,1587474370.8690314,1587474370.869467
5,114651,226393,-61934,376503,1587474370.8694777,1587474370.8800118,1587474370.8804424,1587474370.880878,1587474370.880008,1587474370.8804386,1587474370.8808742,1587474370.8914053
6,122691,227953,-62547,377081,1587474370.8914154,1587474370.891846,1587474370.8922772,1587474370.8927119,1587474370.8918424,1587474370.8922737,1587474370.8927083,1587474370.9033175
7,127902,228587,-62491,377652,1587474370.9033275,1587474370.90376,1587474370.904192,1587474370.9046304,1587474370.9037561,1587474370.9041884,1587474370.9046268,1587474370.9152095
8,136002,230583,-62547,378374,1587474370.9152193,1587474370.9156573,1587474370.916094,1587474370.916533,1587474370.9156525,1587474370.9160895,1587474370.9165287,1587474370.9270723
9,145995,232661,-63186,378287,1587474370.9270833,1587474370.9275146,1587474370.9279468,1587474370.9283834,1587474370.9275107,1587474370.9279432,1587474370.9283793,1587474370.938915
10,157327,236122,-64345,377947,1587474370.938925,1587474370.939358,1587474370.9397898,1587474370.9402254,1587474370.9393542,1587474370.939786,1587474370.9402215,1587474370.9507554
11,174653,240692,-67084,376553,1587474370.9507656,1587474370.9511967,1587474370.9516284,1587474370.952066,1587474370.951193,1587474370.9516246,1587474370.9520621,1587474370.9625976
12,192869,243082,-70444,375712,1587474370.9626079,1587474370.9630437,1587474370.963547,1587474370.9639845,1587474370.9630396,1587474370.9635427,1587474370.9639804,1587474370.974518
13,201224,243953,-68673,377271,1587474370.9745283,1587474370.9749603,1587474370.9753945,1587474370.975831,1587474370.9749568,1587474370.975391,1587474370.9758272,1587474370.9863596
14,205997,247329,-66746,377530,1587474370.9863696,1587474370.9868016,1587474370.987234,1587474370.987672,1587474370.9867976,1587474370.9872305,1587474370.9876685,1587474370.9982076
15,206730,248397,-66576,377704,1587474370.9982178,1587474370.99865,1587474370.999083,1587474371.0096273,1587474370.9986463,1587474370.9990795,1587474371.0096233,1587474371.0100584
16,209766,248945,-66646,378029,1587474371.0100684,1587474371.010504,1587474371.0109394,1587474371.021514,1587474371.0104992,1587474371.0109348,1587474371.0215092,1587474371.0219429
17,216078,250038,-68872,376679,1587474371.0219533,1587474371.0223825,1587474371.022812,1587474371.0334194,1587474371.0223787,1587474371.0228083,1587474371.033415,1587474371.0338483
