,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,83338,215327,-57929,371481,1587834646.401006,1587834646.4015296,1587834646.4019878,1587834646.402453,1587834646.401525,1587834646.401984,1587834646.402449,1587834646.40291
1,83519,215305,-57636,371540,1587834646.4029198,1587834646.4136891,1587834646.4141595,1587834646.414624,1587834646.413684,1587834646.414156,1587834646.4146204,1587834646.4150777
2,83377,214929,-57763,371239,1587834646.4150896,1587834646.4257524,1587834646.4262142,1587834646.4266777,1587834646.4257476,1587834646.4262059,1587834646.4266737,1587834646.4271305
3,83203,215236,-57642,371580,1587834646.427142,1587834646.4377072,1587834646.4381573,1587834646.4386115,1587834646.437703,1587834646.4381535,1587834646.438608,1587834646.4390616
4,83858,214943,-57720,371450,1587834646.4390714,1587834646.4498713,1587834646.4503827,1587834646.4508753,1587834646.4498625,1587834646.450378,1587834646.4508696,1587834646.4513392
5,83325,214963,-57898,371226,1587834646.451353,1587834646.4620836,1587834646.4625413,1587834646.4630113,1587834646.4620776,1587834646.462537,1587834646.4630072,1587834646.4635942
6,83752,215116,-57622,371489,1587834646.4636075,1587834646.4741855,1587834646.474637,1587834646.4751034,1587834646.4741814,1587834646.4746332,1587834646.4750996,1587834646.4755547
7,83549,214988,-57931,371323,1587834646.4755645,1587834646.486121,1587834646.4865744,1587834646.4870286,1587834646.4861171,1587834646.4865694,1587834646.4870245,1587834646.4874737
8,83439,215475,-57730,371573,1587834646.487484,1587834646.498052,1587834646.4985044,1587834646.4989686,1587834646.4980464,1587834646.4984999,1587834646.498964,1587834646.4994178
9,83758,215136,-57692,371750,1587834646.4994295,1587834646.5099812,1587834646.5104334,1587834646.510887,1587834646.5099773,1587834646.5104296,1587834646.510883,1587834646.5113351
10,83448,215402,-57925,371446,1587834646.511345,1587834646.5218973,1587834646.5223463,1587834646.5228035,1587834646.521893,1587834646.5223424,1587834646.5227997,1587834646.5232494
11,83872,215435,-57685,371582,1587834646.5232592,1587834646.533887,1587834646.5343416,1587834646.534796,1587834646.5338829,1587834646.5343378,1587834646.5347924,1587834646.5352454
12,83494,214961,-58070,371376,1587834646.5352557,1587834646.5458124,1587834646.5462627,1587834646.546722,1587834646.5458083,1587834646.546259,1587834646.546718,1587834646.5471687
13,83535,215262,-57928,371485,1587834646.5471785,1587834646.5577362,1587834646.5581872,1587834646.558641,1587834646.557732,1587834646.5581834,1587834646.5586374,1587834646.55909
14,83457,214865,-57704,371634,1587834646.5591,1587834646.5696535,1587834646.570105,1587834646.5705605,1587834646.5696495,1587834646.5701013,1587834646.5705566,1587834646.5710073
15,83121,214958,-57818,371332,1587834646.571017,1587834646.5815709,1587834646.5820203,1587834646.5824714,1587834646.5815668,1587834646.5820165,1587834646.5824676,1587834646.5829177
16,83673,215191,-57645,371578,1587834646.5829275,1587834646.593558,1587834646.5940146,1587834646.5944724,1587834646.593553,1587834646.5940099,1587834646.594468,1587834646.5949183
17,83200,214771,-58070,371426,1587834646.5949292,1587834646.6054876,1587834646.6059372,1587834646.6063967,1587834646.6054835,1587834646.6059337,1587834646.606393,1587834646.6068466
18,83766,215001,-57893,371383,1587834646.6068563,1587834646.6174114,1587834646.6178668,1587834646.6183212,1587834646.6174073,1587834646.617863,1587834646.6183176,1587834646.6187656
19,83615,214868,-57802,371722,1587834646.6187754,1587834646.6293342,1587834646.6297834,1587834646.6302433,1587834646.6293304,1587834646.6297793,1587834646.6302395,1587834646.6306875
20,83581,215132,-57870,371341,1587834646.6306984,1587834646.641252,1587834646.6417089,1587834646.6421647,1587834646.641248,1587834646.641705,1587834646.642161,1587834646.6426125
21,83751,221183,-57633,371492,1587834646.6426225,1587834646.653182,1587834646.6537058,1587834646.6541648,1587834646.6531777,1587834646.6537018,1587834646.654161,1587834646.6546109
22,83126,215050,-57646,371471,1587834646.6546206,1587834646.6652198,1587834646.71616,1587834646.7166212,1587834646.6652155,1587834646.716156,1587834646.7166169,1587834646.7170744
23,83184,214993,-57869,371525,1587834646.7170844,1587834646.7175317,1587834646.7280948,1587834646.7285497,1587834646.7175279,1587834646.7280905,1587834646.728546,1587834646.729005
24,83763,214804,-57991,371384,1587834646.729015,1587834646.729463,1587834646.740017,1587834646.7404778,1587834646.7294593,1587834646.740013,1587834646.7404737,1587834646.740925
25,83177,215209,-57822,371899,1587834646.740935,1587834646.7413924,1587834646.7519557,1587834646.7524147,1587834646.7413876,1587834646.751949,1587834646.75241,1587834646.7528682
26,83580,214812,-58028,371534,1587834646.7528791,1587834646.7533274,1587834646.7638936,1587834646.7643523,1587834646.7533236,1587834646.7638893,1587834646.7643485,1587834646.7648005
27,83529,215275,-57675,371490,1587834646.7648106,1587834646.7652695,1587834646.7758317,1587834646.776292,1587834646.765266,1587834646.7758276,1587834646.7762883,1587834646.7767491
28,83438,215215,-57913,371848,1587834646.7767594,1587834646.777211,1587834646.787767,1587834646.7882211,1587834646.7772074,1587834646.787763,1587834646.7882173,1587834646.7886646
29,83676,214887,-57944,371425,1587834646.7886744,1587834646.7891295,1587834646.799686,1587834646.8001506,1587834646.7891257,1587834646.799682,1587834646.8001463,1587834646.8005993
30,83135,215404,-57926,371697,1587834646.800609,1587834646.801057,1587834646.8116152,1587834646.8120687,1587834646.8010533,1587834646.8116114,1587834646.812065,1587834646.8125117
31,83857,214766,-58196,371552,1587834646.8125215,1587834646.8129795,1587834646.8235981,1587834646.8240633,1587834646.8129756,1587834646.823594,1587834646.8240592,1587834646.8245065
32,83385,214774,-57907,371321,1587834646.8245163,1587834646.8249695,1587834646.8355293,1587834646.8359838,1587834646.8249657,1587834646.835525,1587834646.83598,1587834646.8364284
33,83451,214939,-57989,371769,1587834646.8364382,1587834646.8368883,1587834646.8474386,1587834646.8479047,1587834646.8368845,1587834646.8474345,1587834646.8479009,1587834646.8483517
34,83536,214859,-57842,371535,1587834646.8483617,1587834646.848806,1587834646.8593605,1587834646.8598123,1587834646.8488023,1587834646.8593564,1587834646.8598084,1587834646.8602622
35,83138,215156,-57707,371790,1587834646.8602722,1587834646.860724,1587834646.8712819,1587834646.8717468,1587834646.8607194,1587834646.871277,1587834646.8717422,1587834646.8822973
36,83324,214849,-58105,371786,1587834646.8823087,1587834646.8827615,1587834646.8832116,1587834646.8837323,1587834646.8827574,1587834646.883208,1587834646.8837283,1587834646.894287
37,83588,215248,-57781,371369,1587834646.8942974,1587834646.894745,1587834646.8951933,1587834646.8956475,1587834646.8947413,1587834646.8951895,1587834646.895644,1587834646.9061952
38,83414,215302,-57864,371721,1587834646.9062066,1587834646.9066565,1587834646.9071074,1587834646.9075618,1587834646.9066527,1587834646.9071035,1587834646.907558,1587834646.918125
39,83246,214979,-57812,371653,1587834646.9181347,1587834646.9185839,1587834646.9190335,1587834646.9194853,1587834646.91858,1587834646.91903,1587834646.9194815,1587834646.9300337
40,83704,215339,-57563,371397,1587834646.9300442,1587834646.930495,1587834646.9309409,1587834646.931395,1587834646.9304912,1587834646.930937,1587834646.9313912,1587834646.941942
41,83140,214900,-57897,371594,1587834646.941954,1587834646.942403,1587834646.942857,1587834646.943309,1587834646.9423995,1587834646.9428532,1587834646.9433055,1587834646.953866
42,83671,215163,-57716,371180,1587834646.9538763,1587834646.9543252,1587834646.954771,1587834646.9552307,1587834646.9543202,1587834646.954767,1587834646.955227,1587834646.9657753
43,83438,215202,-57882,371412,1587834646.9657853,1587834646.9662306,1587834646.9666796,1587834646.9671307,1587834646.9662266,1587834646.966676,1587834646.9671268,1587834646.9776804
44,83457,214978,-57888,371331,1587834646.9776907,1587834646.9781408,1587834646.9785903,1587834646.9790483,1587834646.978137,1587834646.9785867,1587834646.9790444,1587834646.9895952
45,83660,215353,-57688,371271,1587834646.9896054,1587834646.9900527,1587834646.9905045,1587834646.9909573,1587834646.990049,1587834646.9905007,1587834646.9909534,1587834647.0015125
46,83186,215059,-57958,371708,1587834647.0015225,1587834647.001975,1587834647.0024278,1587834647.0028923,1587834647.0019703,1587834647.0024233,1587834647.002888,1587834647.0135226
47,83889,215353,-57715,371457,1587834647.0135348,1587834647.0139863,1587834647.0144315,1587834647.0148811,1587834647.0139825,1587834647.0144277,1587834647.014877,1587834647.0254316
48,83484,215545,-57935,371683,1587834647.0254421,1587834647.0258877,1587834647.0263348,1587834647.0267844,1587834647.025884,1587834647.026329,1587834647.0267808,1587834647.037336
49,83731,215064,-57954,371577,1587834647.0373461,1587834647.037798,1587834647.0382457,1587834647.0386984,1587834647.037794,1587834647.0382419,1587834647.0386937,1587834647.0492523
50,83490,215474,-57609,371324,1587834647.0492625,1587834647.0497093,1587834647.0501578,1587834647.0506134,1587834647.0497053,1587834647.0501542,1587834647.0506096,1587834647.0611653
51,83282,215173,-58010,371690,1587834647.0611753,1587834647.0616252,1587834647.0620723,1587834647.0625224,1587834647.0616212,1587834647.0620675,1587834647.0625188,1587834647.0730996
52,83813,215217,-57791,371559,1587834647.07311,1587834647.073633,1587834647.0740876,1587834647.074538,1587834647.073629,1587834647.0740838,1587834647.0745342,1587834647.085099
53,83323,215089,-57877,371425,1587834647.0851092,1587834647.0855572,1587834647.0860045,1587834647.086462,1587834647.0855534,1587834647.086001,1587834647.0864582,1587834647.0970151
54,83803,214877,-58134,371651,1587834647.097025,1587834647.0974734,1587834647.097925,1587834647.0983787,1587834647.0974698,1587834647.0979211,1587834647.0983748,1587834647.1089306
55,83440,215341,-57748,371482,1587834647.1089406,1587834647.1093903,1587834647.1098366,1587834647.1102915,1587834647.1093864,1587834647.1098328,1587834647.1102877,1587834647.1208394
56,83494,214897,-58030,371700,1587834647.1208498,1587834647.1213,1587834647.121752,1587834647.1222029,1587834647.1212962,1587834647.1217482,1587834647.122199,1587834647.132758
57,83683,215252,-57715,371500,1587834647.1327682,1587834647.1332202,1587834647.1337395,1587834647.1341982,1587834647.1332161,1587834647.1337354,1587834647.1341934,1587834647.1447482
58,83265,215362,-57764,371305,1587834647.1447585,1587834647.1452198,1587834647.1456711,1587834647.1461263,1587834647.1452148,1587834647.1456661,1587834647.1461215,1587834647.1566808
59,83812,215068,-57855,371538,1587834647.1566925,1587834647.1571443,1587834647.1575952,1587834647.1580522,1587834647.1571405,1587834647.1575913,1587834647.1580486,1587834647.1686122
60,83253,215521,-57837,371346,1587834647.1686237,1587834647.169078,1587834647.1695247,1587834647.1699772,1587834647.169074,1587834647.1695209,1587834647.1699736,1587834647.1805623
