,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,77836,227693,-65348,371649,1587913259.9168203,1587913259.9173243,1587913259.917769,1587913259.918223,1587913259.9173203,1587913259.917765,1587913259.9182186,1587913259.9186606
1,78379,227500,-65144,371854,1587913259.918671,1587913259.929304,1587913259.9297519,1587913259.9302034,1587913259.929299,1587913259.929748,1587913259.9301994,1587913259.9306405
2,77912,227329,-65339,371791,1587913259.9306517,1587913259.9412944,1587913259.9417408,1587913259.9421961,1587913259.9412901,1587913259.9417372,1587913259.9421923,1587913259.942635
3,77785,227506,-65264,371552,1587913259.9426453,1587913259.953197,1587913259.9536383,1587913259.9540854,1587913259.953193,1587913259.9536345,1587913259.9540813,1587913259.954519
4,77916,227128,-65442,372000,1587913259.954529,1587913259.965346,1587913259.9658153,1587913259.9662943,1587913259.9653394,1587913259.9658096,1587913259.9662871,1587913259.96676
5,False,227569,-65290,371899,1587913259.966777,1587913259.9774966,1587913259.977973,1587913259.9784286,1587913259.977491,1587913259.977969,1587913259.9784236,1587913259.978865
6,78134,227625,-65531,372004,1587913259.978878,1587913259.999535,1587913259.9999804,1587913260.0004272,1587913259.9995308,1587913259.9999764,1587913260.0004234,1587913260.0008621
7,78360,227913,-65262,371786,1587913260.0008724,1587913260.0114167,1587913260.0118575,1587913260.0123034,1587913260.0114126,1587913260.0118535,1587913260.0122995,1587913260.0228415
8,78059,227583,-65364,372049,1587913260.0228522,1587913260.023293,1587913260.0237346,1587913260.02418,1587913260.0232882,1587913260.0237293,1587913260.0241754,1587913260.034786
9,77936,228008,-65257,371874,1587913260.034797,1587913260.035236,1587913260.0356727,1587913260.0361164,1587913260.0352318,1587913260.0356688,1587913260.0361128,1587913260.046656
10,78290,227693,-65096,371913,1587913260.0466661,1587913260.0471053,1587913260.0475416,1587913260.0479841,1587913260.0471015,1587913260.0475378,1587913260.0479803,1587913260.0585227
11,77863,227442,-65354,371893,1587913260.0585322,1587913260.0589695,1587913260.0594063,1587913260.0598495,1587913260.0589657,1587913260.0594025,1587913260.0598457,1587913260.0703876
12,78106,227688,-64938,371583,1587913260.0703979,1587913260.070836,1587913260.0712755,1587913260.07172,1587913260.070832,1587913260.0712717,1587913260.0717163,1587913260.082266
13,77765,227124,-65164,371954,1587913260.082276,1587913260.0827136,1587913260.0831506,1587913260.0835924,1587913260.0827098,1587913260.0831468,1587913260.0835886,1587913260.0941272
