,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,110771,203237,-49189,346517,1587915461.581013,1587915461.5815203,1587915461.581973,1587915461.5824318,1587915461.581516,1587915461.5819693,1587915461.5824277,1587915461.5930474
1,110665,202257,-49540,346427,1587915461.5930605,1587915461.5935185,1587915461.5939674,1587915461.5944283,1587915461.5935147,1587915461.5939639,1587915461.5944247,1587915461.6053329
2,111576,203191,-49506,346319,1587915461.6053512,1587915461.605827,1587915461.6062825,1587915461.6067584,1587915461.6058226,1587915461.606279,1587915461.606754,1587915461.6174152
3,109986,202925,-49000,347043,1587915461.6174283,1587915461.617882,1587915461.6183336,1587915461.6188002,1587915461.6178782,1587915461.61833,1587915461.6187963,1587915461.6294818
4,111413,202211,-49794,346057,1587915461.6294956,1587915461.6299675,1587915461.6304262,1587915461.6308944,1587915461.6299627,1587915461.6304214,1587915461.6308894,1587915461.641736
5,110274,203503,-49052,346657,1587915461.641751,1587915461.6422083,1587915461.6426558,1587915461.6431155,1587915461.6422045,1587915461.6426516,1587915461.643112,1587915461.6536763
6,111080,202199,-49463,346718,1587915461.6536863,1587915461.6541371,1587915461.6546774,1587915461.6551356,1587915461.6541336,1587915461.6546721,1587915461.6551318,1587915461.665684
7,111308,202956,-49365,346022,1587915461.6656942,1587915461.6661417,1587915461.6665866,1587915461.6670845,1587915461.6661377,1587915461.666583,1587915461.6670806,1587915461.6776328
8,110372,202679,-48950,346787,1587915461.6776428,1587915461.678095,1587915461.6785433,1587915461.6790023,1587915461.6780906,1587915461.6785388,1587915461.678998,1587915461.6895545
9,110128,203309,-49556,346029,1587915461.6895654,1587915461.7001164,1587915461.7005608,1587915461.7010121,1587915461.7001123,1587915461.700557,1587915461.7010086,1587915461.7014549
10,111318,202028,-48932,346351,1587915461.7014647,1587915461.70191,1587915461.7124605,1587915461.7129147,1587915461.7019062,1587915461.7124565,1587915461.712911,1587915461.7133594
11,110757,202780,-49444,346728,1587915461.7133694,1587915461.7138162,1587915461.7243674,1587915461.724897,1587915461.7138126,1587915461.7243633,1587915461.724893,1587915461.7253447
