,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,100060,238996,-49178,380497,1587913463.2365499,1587913463.2370658,1587913463.2375402,1587913463.238007,1587913463.23706,1587913463.237536,1587913463.2380033,1587913463.23846
1,100057,239272,-49470,380800,1587913463.2384703,1587913463.249138,1587913463.2496045,1587913463.250087,1587913463.2491333,1587913463.2496,1587913463.250083,1587913463.2505436
2,99641,238560,-49215,380536,1587913463.2505553,1587913463.261475,1587913463.2619894,1587913463.2624795,1587913463.2614682,1587913463.261985,1587913463.2624757,1587913463.2629428
3,100010,238600,-49323,380804,1587913463.2629554,1587913463.273657,1587913463.2741227,1587913463.2747386,1587913463.2736523,1587913463.2741187,1587913463.2747338,1587913463.275212
4,99279,238656,-49156,380802,1587913463.2752237,1587913463.2860394,1587913463.2865524,1587913463.2870545,1587913463.2860324,1587913463.2865474,1587913463.28705,1587913463.2875395
5,99636,238576,-49175,380687,1587913463.287554,1587913463.2982447,1587913463.2987092,1587913463.299178,1587913463.2982397,1587913463.298705,1587913463.299174,1587913463.2996347
6,99833,238830,-49437,380773,1587913463.2996473,1587913463.310227,1587913463.3106806,1587913463.3111436,1587913463.3102229,1587913463.3106766,1587913463.3111398,1587913463.3217025
7,99613,238733,-49204,380355,1587913463.321713,1587913463.3221674,1587913463.3226259,1587913463.323088,1587913463.3221633,1587913463.322622,1587913463.323084,1587913463.33365
8,100081,239128,-49399,380620,1587913463.3336608,1587913463.3341236,1587913463.3346548,1587913463.3351305,1587913463.3341188,1587913463.3345728,1587913463.3351257,1587913463.3456879
9,99532,239269,-49317,380853,1587913463.3457,1587913463.346157,1587913463.3466108,1587913463.34707,1587913463.346153,1587913463.3466067,1587913463.3470662,1587913463.3576832
10,100174,238920,-49172,380596,1587913463.3576949,1587913463.3581517,1587913463.3586078,1587913463.3590689,1587913463.3581479,1587913463.358604,1587913463.3590648,1587913463.3696256
11,99808,239291,-49337,380882,1587913463.369636,1587913463.370097,1587913463.3705502,1587913463.3710089,1587913463.370093,1587913463.3705463,1587913463.3710048,1587913463.3815749
12,99653,238818,-49269,380720,1587913463.3815851,1587913463.382041,1587913463.3825014,1587913463.3829608,1587913463.382037,1587913463.3824975,1587913463.382957,1587913463.3935187
13,100034,238873,-49345,380528,1587913463.3935294,1587913463.3939888,1587913463.394441,1587913463.3949878,1587913463.393985,1587913463.3944361,1587913463.394984,1587913463.4055898
14,99489,238812,-49440,380674,1587913463.4056003,1587913463.406056,1587913463.406516,1587913463.4069717,1587913463.406052,1587913463.406512,1587913463.4069679,1587913463.41754
15,99788,238496,-49251,380372,1587913463.4175506,1587913463.418006,1587913463.418461,1587913463.4189253,1587913463.4180021,1587913463.4184573,1587913463.4189217,1587913463.429531
16,99466,238643,-49453,380461,1587913463.4295413,1587913463.4300096,1587913463.4304686,1587913463.4309316,1587913463.430005,1587913463.430464,1587913463.4309268,1587913463.4415035
17,99538,238347,-49318,380586,1587913463.441515,1587913463.4419742,1587913463.4424274,1587913463.4428897,1587913463.4419703,1587913463.4424238,1587913463.4428859,1587913463.4534526
