,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,110767,201924,-1,347386,1587915259.0835738,1587915259.0840755,1587915259.0845196,1587915259.085049,1587915259.0840714,1587915259.0845158,1587915259.0850444,1587915259.0956454
1,109663,200733,-47086,347470,1587915259.0956585,1587915259.0961056,1587915259.0965476,1587915259.14807,1587915259.0961015,1587915259.0965438,1587915259.1480649,1587915259.1485193
2,110399,202085,-47821,347297,1587915259.1485338,1587915259.1489785,1587915259.1494226,1587915259.1599844,1587915259.1489747,1587915259.1494188,1587915259.1599803,1587915259.160426
3,109706,200965,-47134,346998,1587915259.1604357,1587915259.1608746,1587915259.1613154,1587915259.171866,1587915259.1608706,1587915259.1613116,1587915259.1718616,1587915259.172306
4,111057,201644,-47593,347718,1587915259.1723163,1587915259.1727614,1587915259.1732032,1587915259.183754,1587915259.1727564,1587915259.1731987,1587915259.1837494,1587915259.1841953
5,109543,201635,-47829,347115,1587915259.184206,1587915259.1847732,1587915259.185213,1587915259.1957693,1587915259.1847694,1587915259.1852093,1587915259.1957653,1587915259.2063165
6,109739,202232,-47161,347459,1587915259.206327,1587915259.2067688,1587915259.2072082,1587915259.2076528,1587915259.2067645,1587915259.2072043,1587915259.207649,1587915259.218203
7,109822,200944,-47938,347454,1587915259.2182136,1587915259.2186546,1587915259.2190952,1587915259.2195418,1587915259.2186508,1587915259.2190917,1587915259.219538,1587915259.2300863
8,110519,201762,-47309,346958,1587915259.2300966,1587915259.2305381,1587915259.2309823,1587915259.2314324,1587915259.2305336,1587915259.2309778,1587915259.231428,1587915259.2419796
9,109365,201747,-47501,347811,1587915259.2419906,1587915259.2424312,1587915259.2428722,1587915259.2433202,1587915259.2424273,1587915259.2428684,1587915259.2433164,1587915259.253864
10,110869,200919,-47647,347255,1587915259.2538738,1587915259.2543135,1587915259.2548327,1587915259.2552822,1587915259.2543097,1587915259.2548285,1587915259.255278,1587915259.2658248
11,109540,202095,-47058,347408,1587915259.265835,1587915259.2662766,1587915259.2667193,1587915259.267169,1587915259.2662728,1587915259.2667158,1587915259.2671654,1587915259.2777176
12,110205,200976,-47836,347750,1587915259.277728,1587915259.2781708,1587915259.2786112,1587915259.2790587,1587915259.2781668,1587915259.2786074,1587915259.2790549,1587915259.2896032
13,110053,201682,-47185,346944,1587915259.2896137,1587915259.2900543,1587915259.2904952,1587915259.2909443,1587915259.2900505,1587915259.2904913,1587915259.2909405,1587915259.3014925
14,109337,201923,-47517,347777,1587915259.3015025,1587915259.3019478,1587915259.302392,1587915259.3028414,1587915259.301944,1587915259.3023882,1587915259.3028376,1587915259.3133857
15,110584,201243,-47873,347409,1587915259.313396,1587915259.3138373,1587915259.3142774,1587915259.3148055,1587915259.3138335,1587915259.3142738,1587915259.3148017,1587915259.3253515
16,110358,202359,-48084,347773,1587915259.3253617,1587915259.325807,1587915259.3262515,1587915259.3772225,1587915259.3258026,1587915259.3262467,1587915259.3772173,1587915259.3776724
17,109217,201241,-47209,347555,1587915259.377684,1587915259.3781247,1587915259.3785655,1587915259.3891168,1587915259.378121,1587915259.3785617,1587915259.3891125,1587915259.3895564
18,110677,202517,-48012,347228,1587915259.3895664,1587915259.3900054,1587915259.3904438,1587915259.4009912,1587915259.3900018,1587915259.3904402,1587915259.4009871,1587915259.401431
19,109272,201256,-47652,348006,1587915259.401441,1587915259.4018815,1587915259.4023237,1587915259.4128735,1587915259.4018774,1587915259.40232,1587915259.4128695,1587915259.4133148
20,109954,201869,-47105,347166,1587915259.4133246,1587915259.4137638,1587915259.4142067,1587915259.424847,1587915259.41376,1587915259.414203,1587915259.4248428,1587915259.4252892
21,109878,202007,-47387,347415,1587915259.4252994,1587915259.4257393,1587915259.4261782,1587915259.4872184,1587915259.4257355,1587915259.4261744,1587915259.487214,1587915259.487662
22,109490,202016,-48207,347572,1587915259.487672,1587915259.4881122,1587915259.4885528,1587915259.499102,1587915259.4881084,1587915259.4885488,1587915259.499098,1587915259.4995415
23,109733,201123,-47502,347994,1587915259.4995515,1587915259.49999,1587915259.5004306,1587915259.5109782,1587915259.4999862,1587915259.5004268,1587915259.5109742,1587915259.5114186
24,110414,202458,-47799,347271,1587915259.5114284,1587915259.5118666,1587915259.5123074,1587915259.5228546,1587915259.5118625,1587915259.5123036,1587915259.5228505,1587915259.523296
25,109027,201306,-47617,347931,1587915259.523306,1587915259.5237503,1587915259.5241938,1587915259.5348194,1587915259.5237458,1587915259.5241895,1587915259.5348148,1587915259.5352643
26,110483,201894,-48136,347802,1587915259.535275,1587915259.5357158,1587915259.5361574,1587915259.5971792,1587915259.535712,1587915259.5361538,1587915259.5971751,1587915259.5976214
27,108975,201957,-47193,347646,1587915259.5976317,1587915259.5980742,1587915259.5985181,1587915259.609066,1587915259.5980704,1587915259.598514,1587915259.6090622,1587915259.609508
28,110387,202057,-47943,347407,1587915259.609518,1587915259.6099565,1587915259.6103973,1587915259.620947,1587915259.6099527,1587915259.6103935,1587915259.620943,1587915259.6213894
29,109267,201518,-47645,348044,1587915259.621399,1587915259.621841,1587915259.622282,1587915259.6328309,1587915259.6218374,1587915259.6222782,1587915259.6328268,1587915259.6332724
30,109374,202507,-47597,347237,1587915259.6332824,1587915259.6337206,1587915259.6341586,1587915259.6447892,1587915259.633717,1587915259.6341548,1587915259.6447852,1587915259.6452324
31,110101,201378,-48175,347829,1587915259.6452427,1587915259.645682,1587915259.646122,1587915259.6566725,1587915259.6456785,1587915259.6461184,1587915259.6566684,1587915259.6571124
32,108944,202239,-47391,347979,1587915259.6571224,1587915259.6575613,1587915259.6580026,1587915259.6685498,1587915259.6575577,1587915259.657999,1587915259.6685457,1587915259.6689904
33,110490,202287,-48121,346973,1587915259.6690001,1587915259.6694396,1587915259.6698802,1587915259.680428,1587915259.669436,1587915259.6698766,1587915259.680424,1587915259.6808689
34,108985,201353,-47668,347820,1587915259.6808789,1587915259.681318,1587915259.6817582,1587915259.692312,1587915259.6813142,1587915259.6817544,1587915259.6923077,1587915259.6927547
35,109958,202454,-47528,347408,1587915259.6927645,1587915259.6932092,1587915259.6936517,1587915259.7042046,1587915259.6932044,1587915259.6936471,1587915259.7042,1587915259.7047217
36,109858,201465,-48163,347431,1587915259.7047331,1587915259.7051742,1587915259.7056131,1587915259.7161617,1587915259.7051704,1587915259.7056096,1587915259.7161577,1587915259.716602
