,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,78440,222826,-64812,365087,1587914398.0728414,1587914398.073331,1587914398.073777,1587914398.07423,1587914398.0733273,1587914398.0737731,1587914398.0742261,1587914398.074934
1,81905,222138,-62909,366918,1587914398.0749862,1587914398.0856557,1587914398.086105,1587914398.086566,1587914398.085651,1587914398.0861015,1587914398.0865624,1587914398.087009
2,83274,225519,-62156,367686,1587914398.087021,1587914398.1001945,1587914398.100748,1587914398.1012802,1587914398.1001873,1587914398.100743,1587914398.1012764,1587914398.10174
3,83282,225429,-62396,367738,1587914398.1017547,1587914398.1125627,1587914398.113018,1587914398.1135485,1587914398.1125555,1587914398.1130142,1587914398.1135445,1587914398.113997
4,131071,225067,-62536,367918,1587914398.1140084,1587914398.125091,1587914398.1255999,1587914398.126136,1587914398.1250834,1587914398.1255932,1587914398.1261315,1587914398.1265962
5,82909,222911,-62415,367557,1587914398.1266108,1587914398.187832,1587914398.1883368,1587914398.1888235,1587914398.1878266,1587914398.1883328,1587914398.1888196,1587914398.1892712
6,82729,223534,-62341,367466,1587914398.1892924,1587914398.1998806,1587914398.200353,1587914398.2008593,1587914398.1998768,1587914398.200349,1587914398.2008555,1587914398.201321
7,82655,224053,-62262,367718,1587914398.2013307,1587914398.2119024,1587914398.2123945,1587914398.212854,1587914398.2118983,1587914398.2123907,1587914398.2128503,1587914398.2133443
8,83395,224962,-62031,367866,1587914398.2133539,1587914398.2239203,1587914398.2243938,1587914398.2249663,1587914398.2239153,1587914398.224389,1587914398.2249615,1587914398.225445
9,83037,224922,-62354,367571,1587914398.2254565,1587914398.2360594,1587914398.2365472,1587914398.2370327,1587914398.2360554,1587914398.2365277,1587914398.2370262,1587914398.2374976
10,83167,225008,-62431,367968,1587914398.2375073,1587914398.2480805,1587914398.24859,1587914398.2490501,1587914398.2480764,1587914398.2485862,1587914398.2490463,1587914398.2495296
11,82929,225039,-62341,367979,1587914398.2495565,1587914398.2601187,1587914398.2605805,1587914398.2610717,1587914398.2601147,1587914398.2605767,1587914398.2610679,1587914398.2615197
12,82967,224489,-62440,368022,1587914398.2615294,1587914398.272129,1587914398.272616,1587914398.273083,1587914398.2721252,1587914398.2726119,1587914398.2730792,1587914398.2735868
13,83294,224346,-62378,367777,1587914398.2735965,1587914398.2841797,1587914398.2848296,1587914398.2852964,1587914398.2841759,1587914398.2848258,1587914398.2852924,1587914398.2857742
14,82985,223807,-62478,367400,1587914398.2858021,1587914398.2862563,1587914398.2968535,1587914398.2973597,1587914398.2862525,1587914398.2968495,1587914398.297356,1587914398.2978282
15,83156,223547,-62428,367474,1587914398.297838,1587914398.2983308,1587914398.3088903,1587914398.3093607,1587914398.298327,1587914398.3088865,1587914398.3093567,1587914398.3098433
16,82382,223740,-62286,367476,1587914398.3098528,1587914398.3103118,1587914398.3209186,1587914398.321392,1587914398.3103054,1587914398.320914,1587914398.3213878,1587914398.321867
17,82538,223566,-62472,367556,1587914398.321878,1587914398.3223755,1587914398.3329504,1587914398.3334513,1587914398.3223715,1587914398.332946,1587914398.3334475,1587914398.3338993
18,82645,223845,-62167,367910,1587914398.333912,1587914398.3343716,1587914398.345027,1587914398.3455184,1587914398.3343678,1587914398.345023,1587914398.3455143,1587914398.3460107
19,82773,224234,-62330,367656,1587914398.3460207,1587914398.3464932,1587914398.3570938,1587914398.357557,1587914398.3464894,1587914398.35709,1587914398.3575532,1587914398.3580048
20,83414,224779,-62118,367655,1587914398.358014,1587914398.3585045,1587914398.3690648,1587914398.3695712,1587914398.3585007,1587914398.3690608,1587914398.3695674,1587914398.3700197
21,83330,225023,-62209,367627,1587914398.3700292,1587914398.3705025,1587914398.3810945,1587914398.3815563,1587914398.370499,1587914398.3810906,1587914398.3815525,1587914398.3820286
22,83668,224514,-62496,367772,1587914398.3820624,1587914398.3825128,1587914398.393082,1587914398.393591,1587914398.3825092,1587914398.393078,1587914398.393587,1587914398.3940418
23,83367,224758,-62410,368006,1587914398.3940518,1587914398.394557,1587914398.4051259,1587914398.4055965,1587914398.3945525,1587914398.4051218,1587914398.4055922,1587914398.406077
24,83303,224606,-62400,367820,1587914398.406087,1587914398.4065392,1587914398.4171405,1587914398.4176311,1587914398.4065351,1587914398.4171367,1587914398.4176273,1587914398.4180903
25,83505,224214,-62223,367645,1587914398.4180999,1587914398.418612,1587914398.4291759,1587914398.4296825,1587914398.4186075,1587914398.4291708,1587914398.4296777,1587914398.4301317
26,83216,224138,-62134,367471,1587914398.4301424,1587914398.4306052,1587914398.441183,1587914398.4416697,1587914398.4306014,1587914398.4411788,1587914398.4416656,1587914398.44216
27,83475,223430,-62381,367253,1587914398.4421704,1587914398.4426577,1587914398.4532475,1587914398.4537249,1587914398.4426515,1587914398.4532435,1587914398.453721,1587914398.4541757
28,82872,223732,-62127,367522,1587914398.4541857,1587914398.4547522,1587914398.4653263,1587914398.4658413,1587914398.4547484,1587914398.4653223,1587914398.4658377,1587914398.4663086
29,82934,223960,-62308,367635,1587914398.466319,1587914398.4667993,1587914398.4773889,1587914398.4778485,1587914398.4667954,1587914398.4773848,1587914398.4778447,1587914398.4783385
30,82981,224202,-62381,367714,1587914398.4783487,1587914398.4788017,1587914398.4893763,1587914398.4898741,1587914398.478798,1587914398.4893725,1587914398.48987,1587914398.4903433
31,83019,224747,-62221,367831,1587914398.490353,1587914398.4908607,1587914398.501419,1587914398.5018854,1587914398.490857,1587914398.501415,1587914398.5018814,1587914398.502367
32,83231,224680,-62344,367605,1587914398.502377,1587914398.5028267,1587914398.5134432,1587914398.5139039,1587914398.5028229,1587914398.5134392,1587914398.5139,1587914398.5143714
33,83019,224944,-62189,367865,1587914398.5143812,1587914398.5149543,1587914398.5255165,1587914398.5260193,1587914398.51495,1587914398.5255127,1587914398.5260155,1587914398.52647
34,83517,224690,-62167,367748,1587914398.5264792,1587914398.5269532,1587914398.5375516,1587914398.5380104,1587914398.5269496,1587914398.5375476,1587914398.5380065,1587914398.538509
35,83421,224465,-62265,367587,1587914398.5385187,1587914398.538992,1587914398.5495954,1587914398.550059,1587914398.5389876,1587914398.5495906,1587914398.5500546,1587914398.550508
36,83288,224230,-62280,367800,1587914398.5505188,1587914398.5510118,1587914398.5616016,1587914398.5621035,1587914398.551008,1587914398.5615976,1587914398.5620997,1587914398.5625904
37,83193,223787,-62455,367508,1587914398.5626004,1587914398.563062,1587914398.5736508,1587914398.5741127,1587914398.563058,1587914398.5736468,1587914398.5741088,1587914398.574669
38,82654,223815,-62050,367614,1587914398.5746803,1587914398.575134,1587914398.5857434,1587914398.5862203,1587914398.5751302,1587914398.5857394,1587914398.5862162,1587914398.5867057
39,82721,223662,-62215,367727,1587914398.5867157,1587914398.5872047,1587914398.5977623,1587914398.5982468,1587914398.5872009,1587914398.5977585,1587914398.598243,1587914398.5987134
40,82483,223798,-62275,367566,1587914398.5987234,1587914398.5991747,1587914398.6097848,1587914398.6102436,1587914398.599171,1587914398.6097782,1587914398.6102395,1587914398.610752
41,82857,224176,-62282,367747,1587914398.6107626,1587914398.6112294,1587914398.621796,1587914398.6222868,1587914398.6112256,1587914398.6217918,1587914398.622283,1587914398.6227348
42,83180,224317,-62441,367691,1587914398.6227443,1587914398.6232188,1587914398.6338036,1587914398.634264,1587914398.623215,1587914398.6337993,1587914398.63426,1587914398.6348395
43,83182,224816,-62057,367764,1587914398.6348498,1587914398.6353037,1587914398.6459074,1587914398.6463683,1587914398.6353,1587914398.645901,1587914398.6463645,1587914398.646828
44,83563,224850,-62073,367823,1587914398.646838,1587914398.6473231,1587914398.6578944,1587914398.6584003,1587914398.6473193,1587914398.6578906,1587914398.6583965,1587914398.658873
45,83655,224690,-62191,367660,1587914398.658883,1587914398.669468,1587914398.6699426,1587914398.6704013,1587914398.6694639,1587914398.669939,1587914398.6703978,1587914398.67089
46,83321,224577,-62215,367784,1587914398.6708996,1587914398.6713564,1587914398.6819427,1587914398.682443,1587914398.671352,1587914398.681938,1587914398.6824384,1587914398.6829104
47,83236,224080,-62371,367688,1587914398.6829216,1587914398.6834135,1587914398.693973,1587914398.694458,1587914398.6834097,1587914398.693969,1587914398.694454,1587914398.694996
48,83304,224048,-62116,367509,1587914398.6950061,1587914398.6954577,1587914398.706061,1587914398.706562,1587914398.695454,1587914398.7060566,1587914398.7065578,1587914398.7070518
49,83098,223813,-62334,367558,1587914398.7070627,1587914398.7075126,1587914398.7180822,1587914398.7185738,1587914398.7075088,1587914398.7180781,1587914398.71857,1587914398.7190204
50,83183,223671,-62263,367479,1587914398.7190323,1587914398.7195046,1587914398.7300687,1587914398.7305667,1587914398.719501,1587914398.7300649,1587914398.7305624,1587914398.7310507
