,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,152215,156059,-5648,300068,1585002323.5067801,1585002323.507301,1585002323.507756,1585002323.5082176,152215,156059,-5648,300068
1,152315,156404,-5652,299819,1585002323.508679,1585002323.5193727,1585002323.5198336,1585002323.520295,152315,156404,-5652,299819
2,152507,156492,-5555,299869,1585002323.5207577,1585002323.5314307,1585002323.5319026,1585002323.5323665,152507,156492,-5555,299869
3,152335,156298,-5677,299922,1585002323.5328243,1585002323.5434873,1585002323.5439491,1585002323.544412,152335,156298,-5677,299922
4,152454,156206,-5735,300193,1585002323.5448751,1585002323.5555491,1585002323.5561311,1585002323.5566013,152454,156206,-5735,300193
5,152219,155967,-5716,300106,1585002323.557059,1585002323.5676346,1585002323.5680811,1585002323.5685344,152219,155967,-5716,300106
6,152280,155921,-5713,299807,1585002323.5689867,1585002323.5795398,1585002323.579983,1585002323.580434,152280,155921,-5713,299807
7,152311,156144,-5607,299900,1585002323.5808856,1585002323.5914588,1585002323.5919044,1585002323.592355,152311,156144,-5607,299900
8,152139,156351,-5633,300098,1585002323.5928042,1585002323.6033597,1585002323.6038153,1585002323.6042747,152139,156351,-5633,300098
9,152278,156432,-5509,300198,1585002323.6148672,1585002323.6153128,1585002323.615754,1585002323.6163194,152278,156432,-5509,300198
10,152271,156200,-5613,300085,1585002323.6268795,1585002323.6273243,1585002323.6277637,1585002323.628211,152271,156200,-5613,300085
11,152196,156220,-5769,299959,1585002323.6388023,1585002323.639248,1585002323.6396914,1585002323.6401432,152196,156220,-5769,299959
12,152151,156033,-5661,299906,1585002323.6507277,1585002323.6511767,1585002323.6516206,1585002323.6520715,152151,156033,-5661,299906
13,152093,156214,-5753,299851,1585002323.6626391,1585002323.6630862,1585002323.6635273,1585002323.6639767,152093,156214,-5753,299851
14,152161,156329,-5696,299873,1585002323.6745572,1585002323.6750042,1585002323.6754456,1585002323.6758933,152161,156329,-5696,299873
15,152071,156297,-5815,299945,1585002323.6865516,1585002323.6869998,1585002323.6874425,1585002323.6878922,152071,156297,-5815,299945
16,152131,156281,-5738,299997,1585002323.6985137,1585002323.6989734,1585002323.6994214,1585002323.699879,152131,156281,-5738,299997
17,152157,156128,-5640,300042,1585002323.7104895,1585002323.710944,1585002323.7113879,1585002323.711843,152157,156128,-5640,300042
18,152349,156207,-5512,299898,1585002323.7224162,1585002323.7228649,1585002323.7233086,1585002323.723759,152349,156207,-5512,299898
19,152279,156341,-5456,299892,1585002323.7343395,1585002323.7347863,1585002323.7352314,1585002323.7356825,152279,156341,-5456,299892
