,0.0 g,72.65 g,269.84 g,470.02 g,669.36 g,870.88 g,1070.5 g,1347.91 g,1549.41 g,1748.85 g,1945.82 g,2145.44 g,2272.46 g,2469.43 g,2668.86 g,2870.37 g,3069.99 g,3350.48 g,3549.81 g,3749.24 g,3946.21 g,4145.83 g,4315.0 g,4511.98 g,4713.46 g,4813.52 g,4992.03 g,5193.54 g,5390.52 g,5589.85 g
0,230051,238470,260685,283200,305757,328687,351549,383259,405840,428381,450853,473501,487385,510184,532636,555348,578143,610361,632766,655515,677681,700079,719583,741944,764599,775986,796009,818850,841378,863670
1,230103,238631,260696,283223,305748,328699,351279,383055,405914,428491,450697,473677,487493,510077,FALSE,555467,577992,610078,632716,655430,677478,700064,719533,741504,764590,775844,795873,818890,841260,863506
2,230303,238328,260682,283172,306080,328806,351309,382840,405784,428673,450509,473723,488040,510157,532778,555758,577944,610061,632621,655166,677308,699764,719351,741086,764278,775552,795954,818621,841226,863495
3,230057,238273,260658,283188,305946,328988,351309,382816,405863,428481,450820,473246,487944,509857,532935,556056,578272,609993,632754,655266,677552,699874,719400,741314,764183,775801,795992,818848,841456,863534
4,230079,238466,260633,283357,305824,328699,351391,382821,405659,428488,450970,473290,487902,510013,532794,556272,578221,609804,632563,654982,677594,700126,719297,741480,764327,775941,795865,818769,841126,863653
5,230124,238198,FALSE,283274,305695,328658,FALSE,382983,405739,428479,450921,473477,487930,510176,532760,556057,578488,609899,FALSE,655054,678071,700441,719205,741887,764406,776103,796180,818883,841237,863988
6,230110,238358,1041951,283211,305749,328810,351349,383105,405872,FALSE,450862,473578,487784,510301,532985,555586,578622,609887,632035,655285,677915,700483,719498,742224,764869,776468,796272,819023,841453,FALSE
7,230204,238413,130775,283316,305974,328722,351596,383191,405750,1713275,450474,473687,488020,510615,532660,555285,FALSE,610033,632276,655272,677493,FALSE,719752,742050,764960,776196,796334,818980,841413,-4050945
8,229910,238344,260574,282980,305819,328831,351549,382962,405674,214691,450638,473554,487810,517335,532636,554773,-655361,610049,632736,655463,677349,700107,719942,742106,764769,775877,796277,819130,841290,864222
9,230098,238538,260534,283018,305828,328854,351388,382764,405418,428444,450684,473465,487792,509774,532649,555100,578333,610044,632881,655268,676871,700282,719603,741705,764474,775518,796002,819040,840970,863730
10,230415,238255,260608,283274,305854,328752,351471,382959,405724,428353,450799,473257,487671,509533,532475,555597,577899,610059,632903,655169,677054,700493,719142,741376,764185,775330,795931,818837,840874,863486
11,230188,238323,260568,283266,305839,328774,351387,382994,405774,428555,450882,473207,487510,509878,532704,555825,577928,609948,632627,655217,677263,700599,718977,741337,764283,775765,795587,818764,840941,863204
12,230166,238376,260471,283361,305996,328734,351525,383123,405704,428701,450861,473427,487762,510101,533002,556291,578027,610026,632534,654948,677458,700459,718860,740999,764284,775906,795344,818562,840904,863287
13,229982,238356,260651,283275,305823,328707,351509,383165,406075,428445,450966,473503,487872,510650,533241,556016,578205,609974,632480,655283,678238,700464,719260,741383,764319,FALSE,795606,818746,841249,863632
14,229973,238319,260593,283302,305778,328617,351349,382883,405892,428481,450751,473546,488094,510830,533025,555871,578565,609805,632216,655256,678329,700242,719669,741774,764719,FALSE,796012,818882,841315,863735
