,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,38682,199311,-48348,419864,1584460412.1047118,1584460412.1052299,1584460412.105694,1584460412.1061661,38682,199311,-48348,419864
1,38580,199201,-48420,419642,1584460412.106629,1584460412.117295,1584460412.1280046,1584460412.1284773,38580,199201,-48420,419642
2,38577,199083,-48554,419668,1584460412.1289456,1584460412.129398,1584460412.1399996,1584460412.1406152,38577,199083,-48554,419668
3,38628,199109,-48583,419802,1584460412.1410813,1584460412.141535,1584460412.1521695,1584460412.152646,38628,199109,-48583,419802
4,38516,199127,-48499,419959,1584460412.1531181,1584460412.153595,1584460412.1644874,1584460412.165013,38516,199127,-48499,419959
5,38641,198945,-48418,419843,1584460412.165532,1584460412.1660209,1584460412.1665034,1584460412.1772442,38641,198945,-48418,419843
6,38684,199177,-48180,419731,1584460412.1777294,1584460412.1781917,1584460412.178656,1584460412.1895633,38684,199177,-48180,419731
7,38656,199120,-48276,419649,1584460412.1903222,1584460412.1908216,1584460412.1913002,1584460412.1917996,38656,199120,-48276,419649
8,38527,199071,-48518,419645,1584460412.1922915,1584460412.202966,1584460412.203428,1584460412.2038996,38527,199071,-48518,419645
9,38572,199186,-48349,419740,1584460412.204366,1584460412.2149286,1584460412.2153883,1584460412.2158542,38572,199186,-48349,419740
10,38519,198943,-48309,419762,1584460412.2264473,1584460412.2269027,1584460412.2273564,1584460412.2278218,38519,198943,-48309,419762
11,38570,198985,-48346,419755,1584460412.2384,1584460412.2388551,1584460412.2393117,1584460412.2397764,38570,198985,-48346,419755
12,38451,199086,-48339,419804,1584460412.2504451,1584460412.250903,1584460412.2513595,1584460412.2518227,38451,199086,-48339,419804
13,38489,199188,-48436,419735,1584460412.2623968,1584460412.2628512,1584460412.263309,1584460412.2637713,38489,199188,-48436,419735
14,38445,199098,-48399,419660,1584460412.274344,1584460412.2747977,1584460412.2752542,1584460412.2757194,38445,199098,-48399,419660
15,38520,198933,-48418,419761,1584460412.2863004,1584460412.2867541,1584460412.2872097,1584460412.2876723,38520,198933,-48418,419761
16,38668,198976,-48434,419687,1584460412.2982454,1584460412.298707,1584460412.2991655,1584460412.3097749,38668,198976,-48434,419687
17,38493,198948,-48413,419724,1584460412.310353,1584460412.31081,1584460412.3112667,1584460412.3117285,38493,198948,-48413,419724
