,Raw Data LC1,Raw Data LC2,Raw Data LC3,Raw Data LC4,Pretimes LC1,Pretimes LC2,Pretimes LC3,Pretimes LC4,Post Times LC1,Post Times LC2,Post Times LC3,Post Times LC4
0,151310,156094,-5468,301086,1585002893.8136752,1585002893.814207,1585002893.8147502,1585002893.8152387,151310,156094,-5468,301086
1,150979,156188,-5491,300985,1585002893.8157663,1585002893.8265665,1585002893.8270402,1585002893.8275762,150979,156188,-5491,300985
2,151149,156253,-5450,300993,1585002893.8280907,1585002893.8388464,1585002893.8393185,1585002893.8398411,151149,156253,-5450,300993
3,151163,155936,-5516,301133,1585002893.840317,1585002893.8511205,1585002893.8516107,1585002893.8521442,151163,155936,-5516,301133
4,151178,156128,-5572,301025,1585002893.8526778,1585002893.8634148,1585002893.8639297,1585002893.8644087,151178,156128,-5572,301025
5,151219,156426,-5550,301204,1585002893.8649306,1585002893.8756409,1585002893.876335,1585002893.87681,151219,156426,-5550,301204
6,151234,156238,-5635,301329,1585002893.8773146,1585002893.8879397,1585002893.8884172,1585002893.8889287,151234,156238,-5635,301329
7,151354,156247,-5616,301039,1585002893.8894334,1585002893.900638,1585002893.9011476,1585002893.9016213,151354,156247,-5616,301039
8,151130,156174,-5735,300947,1585002893.902121,1585002893.902628,1585002893.9133098,1585002893.913835,151130,156174,-5735,300947
9,151381,156147,-5638,301009,1585002893.914316,1585002893.9148054,1585002893.9254458,1585002893.9259279,151381,156147,-5638,301009
10,151495,156228,-5460,301016,1585002893.9265375,1585002893.9270017,1585002893.9376764,1585002893.9381542,151495,156228,-5460,301016
11,151476,156083,-5376,300950,1585002893.9386654,1585002893.9391341,1585002893.9498043,1585002893.9503577,151476,156083,-5376,300950
12,151185,156210,-5281,301119,1585002893.9609737,1585002893.9614768,1585002893.9619424,1585002893.9624522,151185,156210,-5281,301119
13,151268,156202,-5448,301248,1585002893.9731143,1585002893.9736378,1585002893.9741023,1585002893.9745831,151268,156202,-5448,301248
14,151145,False,-5506,301056,1585002893.9852204,1585002893.9856846,1585002893.9861574,1585002893.9866335,151145,False,-5506,301056
15,151188,156110,-5450,301103,1585002893.997284,1585002893.9977703,1585002894.0590239,1585002894.0595024,151188,156110,-5450,301103
16,151313,156127,-5704,300990,1585002894.0600286,1585002894.0605268,1585002894.0715213,1585002894.0721066,151313,156127,-5704,300990
17,151422,156102,-5538,300962,1585002894.072611,1585002894.073109,1585002894.0837548,1585002894.0842724,151422,156102,-5538,300962
18,151331,156107,-5632,301163,1585002894.0847876,1585002894.0852501,1585002894.0958736,1585002894.0964756,151331,156107,-5632,301163
