,0.0 g,72.65 g,272.25 g,471.56 g,673.02 g,872.42 g,1148.61 g,1345.57 g,1544.88 g,1744.3 g,1943.91 g,2073.13 g,2272.74 g,2472.04 g,2671.46 g,2868.42 g,3149.09 g,3345.72 g,3545.14 g,3716.65 g,3913.6 g,4113.02 g,4312.33 g,4513.81 g,4792.61 g,4992.03 g,5193.52 g,5392.82 g,5589.76 g,5789.34 g,5889.38 g,172.7 g,118.07 g
0,112744,121014,144024,166609,189617,212188,243803,266474,288961,311792,335206,False,372720,403556,417832,440220,472040,494673,517468,536675,559412,582586,605128,627856,659893,682668,705359,728094,750397,773863,784752,False,126309
1,112894,121046,144135,166831,189670,212056,243337,266316,289056,311866,335269,349923,372462,401745,417549,440428,472172,495041,517584,537038,559451,582520,604913,628421,659666,682170,705734,728728,750281,773394,784886,4245311,False
2,112455,120947,143732,166494,189571,211931,243603,266190,289537,311752,334484,349671,372208,396361,417756,440046,472156,494864,517504,537284,559744,582455,604781,628445,660098,682514,705733,728804,750091,773282,784675,132653,4035615
3,112720,121026,143740,166639,189523,212432,244139,266200,289224,311800,334339,349690,False,False,417750,440028,472473,494880,517611,537530,559469,582028,605011,628189,660060,682492,705821,729012,750663,773480,785202,132287,126255
4,112573,121286,143712,166536,189361,212352,244115,266482,289069,312200,334092,349283,371914,403492,417526,440201,472086,494548,517004,537180,559389,581925,605132,628100,659930,682450,705507,728908,751156,773382,785383,132627,126156
5,112693,121020,143920,166454,False,212430,244180,266338,289036,311949,334319,349204,371835,402053,417853,439791,471987,494360,False,537009,559360,581632,605300,627606,659677,682763,705287,728218,751214,773836,785403,132454,126140
6,112870,121097,143965,166739,-1767169,212381,243666,266567,288989,312065,335003,349112,372239,397643,417644,440094,472018,494432,517676,537093,559478,581939,605489,627915,659425,682674,705190,728078,751550,773853,785535,132454,126430
7,112777,120990,143568,166644,189741,212024,243598,266361,289313,311813,334923,348886,372399,391594,417690,440233,471868,494475,517290,536623,559510,582189,605076,628094,659474,682927,705152,727771,751232,773859,785131,132533,126061
8,113007,False,143915,166670,189505,212404,243683,266263,289060,311622,334883,349325,372128,387306,417570,440408,471988,494926,517455,536760,559383,582380,604609,627902,659425,682757,705526,728067,750852,773905,784925,132378,126296
9,112683,242213,143798,166443,189682,212351,243646,266378,289101,312110,334467,349426,372002,386231,417428,440561,471986,494726,517094,536892,559651,582873,604589,628217,659910,682694,705404,728204,750277,773317,784837,132690,126337
10,112573,17397,143856,166513,189459,212480,244083,266116,289028,312111,333997,349587,371697,389223,False,440230,472307,494662,517050,537083,False,582740,604510,627919,660137,682540,705556,728145,749918,773435,784670,False,126120
11,112879,121241,143844,False,189827,212289,243848,266555,288881,312273,334293,349901,371972,395260,417957,440138,472407,494935,517476,537365,559341,582557,604883,627945,659928,682210,705762,728626,750348,773249,785038,-1,126393
