,3946.21 g,4145.83 g,4315.0 g,4511.98 g,4713.46 g,4813.52 g,4992.03 g,5193.54 g,5390.52 g,5589.85 g
0,677681,700079,719583,741944,764599,775986,796009,818850,841378,863670
1,677478,700064,719533,741504,764590,775844,795873,818890,841260,863506
2,677308,699764,719351,741086,764278,775552,795954,818621,841226,863495
3,677552,699874,719400,741314,764183,775801,795992,818848,841456,863534
4,677594,700126,719297,741480,764327,775941,795865,818769,841126,863653
5,678071,700441,719205,741887,764406,776103,796180,818883,841237,863988
6,677915,700483,719498,742224,764869,776468,796272,819023,841453,False
7,677493,False,719752,742050,764960,776196,796334,818980,841413,-4050945
8,677349,700107,719942,742106,764769,775877,796277,819130,841290,864222
9,676871,700282,719603,741705,764474,775518,796002,819040,840970,863730
10,677054,700493,719142,741376,764185,775330,795931,818837,840874,863486
11,677263,700599,718977,741337,764283,775765,795587,818764,840941,863204
12,677458,700459,718860,740999,764284,775906,795344,818562,840904,863287
13,678238,700464,719260,741383,764319,False,795606,818746,841249,863632
14,678329,700242,719669,741774,764719,False,796012,818882,841315,863735
15,678121,699934,719820,742119,764654,776271,796534,818928,841430,863983
16,677832,699971,719992,742416,764800,776241,796438,819103,841457,864210
17,677261,699969,719572,742004,764776,775994,796354,819073,841110,864230
18,677163,700249,719344,741581,764403,775767,796361,819025,841173,864046
19,676931,700270,719353,741105,764354,775581,795871,818889,840963,863528
20,677084,700217,719078,740931,764248,775470,795793,818813,840862,863440
21,677686,700380,718995,741420,764209,775683,795646,818818,840958,863375
22,677929,700213,718930,741638,764433,775758,795595,818484,840952,863451
23,678269,False,719060,741807,764482,776039,796130,818648,841323,863950
24,678163,-3276801,719488,742147,False,776334,796346,819037,841380,864118
25,677724,699927,719771,False,6291455,776121,796403,819170,841320,864242
26,677454,699709,719913,741655,764955,776130,796516,819441,841631,864155
27,676901,700132,719704,742050,764716,775914,796405,819330,841360,863749
28,677027,700288,719137,742096,764611,775648,796205,818935,841159,863752
29,677460,700603,718846,742305,764171,775554,795712,818738,841012,863487
30,677601,700724,718783,741952,764091,775542,795555,818533,840776,863487
31,678142,700442,719108,741423,764205,775859,795821,818715,841200,863767
32,678173,700135,719574,741256,764283,776305,795978,819004,841355,863856
33,677992,699819,719781,741264,764786,776200,796466,819227,841471,864106
34,False,699869,719760,741417,764681,776175,796588,False,841493,864050
35,-5278209,700079,719583,741641,764732,776090,False,818751,841271,863879
36,677094,700174,719374,741981,764559,775705,4194303,819014,841373,863875
37,677014,700521,719267,742331,764222,False,796146,819248,841185,863564
38,677085,700315,718941,False,764346,7340031,795886,819224,840910,863457
39,677458,700241,718958,3145727,764327,775591,795765,819334,840996,863405
40,678070,700401,718957,742028,False,775565,795762,818956,840932,863726
41,678029,700168,719218,741420,764644,775843,795967,818867,841255,864153
42,678188,699963,False,741081,764837,775923,796311,818774,841376,864149
43,677844,699898,718624,741272,764806,776113,796323,818474,841338,864003
44,677318,699878,718872,741352,764540,776101,796516,818690,841488,863860
45,677063,700153,719795,741793,764368,776119,796287,818892,841227,863606
46,676904,700348,720130,742271,763915,776120,795955,819087,841079,863800
47,677310,700477,720494,742349,763994,775798,795875,819291,841085,863559
48,677559,700549,720090,742118,764421,775706,795708,819060,840875,863531
49,677702,700023,719158,741543,764563,775613,795673,818953,841077,863586
50,677966,699974,718633,741085,764897,775854,796054,False,841143,863810
51,677956,699833,717792,741073,764945,775966,796111,-5373953,841233,864073
52,677528,699936,718177,741224,764699,775841,796366,818765,841308,863995
53,677471,700379,719140,741826,764489,776094,796341,818850,841281,863715
54,677162,700332,719573,False,764240,776112,796132,818788,841315,863771
55,677228,700500,False,741242,764342,775867,796174,818840,841272,False
56,677312,700420,2882055,741314,False,775898,795940,819028,841221,-5011457
57,677399,700419,360040,741800,764462,775676,795838,818950,False,863532
58,677902,700335,720184,742086,764108,775709,795903,819151,841248,863825
59,678096,699769,719364,742354,764226,775784,795798,819051,841368,863768
60,678092,699745,718650,742034,764254,775636,796111,818908,841044,863952
61,677818,700003,718229,741393,764567,775897,796215,818879,841109,863788
62,677317,699925,718535,741313,764680,776129,796247,818548,841245,863741
63,677281,700488,718931,741332,764549,776108,796298,818708,841175,863808
64,677283,700457,719610,741714,764741,775888,796067,818782,841204,863733
65,677371,700499,720287,742025,764617,775713,796034,818802,841066,863773
66,677694,700112,720237,742059,764397,775944,795872,819063,841303,863568
67,677806,699794,719967,742306,764427,775853,795604,False,841354,863582
