t,LC1,LC2,LC3,LC4
0,0,,,
1,5947,,,
2,6002,,,
3,5961,,,
4,5973,,,
5,5974,,,
6,5968,,,
7,5936,,,
8,5958,,,
9,5943,,,
10,5946,,,
11,5941,,,
12,5947,,,
13,6072,,,
14,5977,,,
15,5966,,,
16,5977,,,
17,6009,,,
18,5935,,,
19,5993,,,
20,5969,,,
21,6011,,,
22,5957,,,
23,5969,,,
24,5995,,,
25,6035,,,
26,9181,,,
27,6004,,,
28,-3156,,,
29,7126,,,
30,7074,,,
31,6946,,,
32,7849,,,
33,10105,,,
34,12830,,,
35,15299,,,
36,15808,,,
37,21942,,,
38,20162,,,
39,8245,,,
40,7286,,,
41,7228,,,
42,7267,,,
43,7150,,,
44,7202,,,
45,7088,,,
46,7122,,,
47,7048,,,
48,7110,,,
49,7156,,,
50,7113,,,
51,7144,,,
52,7148,,,
53,7096,,,
54,7132,,,
55,7121,,,
56,7198,,,
57,7049,,,
58,7139,,,
59,7125,,,
60,7139,,,
61,7070,,,
62,7155,,,
63,7130,,,
64,7095,,,
65,15664,,,
66,788613,,,
67,7480,,,
68,7484,,,
69,7397,,,
70,7380,,,
71,7425,,,
72,7364,,,
73,7367,,,
74,7370,,,
75,7272,,,
76,7345,,,
77,7271,,,
78,7294,,,
79,7294,,,
80,7290,,,
81,7257,,,
82,7337,,,
83,7296,,,
84,7254,,,
85,7248,,,
86,7181,,,
87,7222,,,
88,7265,,,
89,7252,,,
90,7284,,,
91,7728,,,
92,7178,,,
93,7235,,,
94,7248,,,
95,7196,,,
96,7152,,,
97,7153,,,
98,7160,,,
99,7114,,,
100,7213,,,
101,916900,,,
102,7239,,,
103,7321,,,
104,7341,,,
105,7270,,,
106,7209,,,
107,7256,,,
108,7230,,,
109,7229,,,
110,20197,,,
111,11590,,,
112,7061,,,
113,7086,,,
114,7150,,,
115,7101,,,
116,7052,,,
117,7131,,,
118,7266,,,
119,6861,,,
120,6583,,,
121,848079,,,
122,1685963,,,
123,1593583,,,
124,1611460,,,
125,1645481,,,
126,1568751,,,
127,1608252,,,
128,1641206,,,
129,1598047,,,
130,1466362,,,
131,False,,,
132,1522501,,,
133,1237682,,,
134,6368,,,
135,6531,,,
136,6493,,,
137,6537,,,
138,6463,,,
139,6486,,,
140,6409,,,
141,6572,,,
142,6434,,,
143,6447,,,
144,6402,,,
145,6328,,,
146,3148,,,
147,6363,,,
148,6333,,,
149,6392,,,
150,6413,,,
151,6440,,,
152,6514,,,
153,6435,,,
154,6526,,,
155,6565,,,
156,6518,,,
157,6546,,,
158,6588,,,
159,6589,,,
160,6636,,,
161,6694,,,
162,6727,,,
163,6666,,,
164,6678,,,
165,6743,,,
166,False,,,
167,6839,,,
168,6740,,,
169,6785,,,
170,6777,,,
